科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"64,753,781.40","235,626,203.46","124,980,766.73","267,230,826.70","146,863,125.37","232,885,573.39","294,633,557.38","67,728,696.62","149,847,978.53","243,676,496.44","314,699,751.71","116,252,942.78","240,394,980.53","353,414,560.39","481,038,879.97","129,111,938.83","280,538,981.20","397,348,879.14","451,460,275.35","154,002,101.25","338,939,004.48","474,411,838.57","771,379,830.66","160,823,352.50","369,478,268.83","521,679,699.57","599,902,012.38","141,360,978.48","336,417,257.50","501,436,072.83","664,584,792.47","154,246,276.71","340,005,473.19","537,203,054.71","692,557,176.69"
二、营业利润,"7,266,413.75","22,237,860.40","10,418,385.01","26,601,893.63","12,790,830.45","23,453,265.35","27,753,258.14","6,557,821.86","13,901,648.75","26,222,192.25","31,374,081.71","3,650,549.78","14,512,854.52","26,975,505.59","27,335,168.95","3,793,945.43","12,906,643.62","24,727,020.35","1,822,536.36","5,515,747.12","19,063,648.32","28,971,461.47","10,549,671.19","3,391,122.82","15,511,462.66","10,026,672.29","-116,943,025.97","-15,577,074.35","-29,067,718.77","-66,646,690.48","-150,034,064.52","-17,900,283.53","-49,300,497.59","-82,971,835.65","-349,019,518.00"
减:营业成本,"52,358,815.17","203,323,965.09","107,447,341.18","227,181,964.00","126,305,835.13","197,718,281.37","249,814,033.45","57,431,488.43","128,855,101.46","206,774,478.00","263,149,778.68","100,895,779.91","201,594,806.45","291,016,975.00","408,028,237.29","111,401,031.35","239,160,773.25","328,785,316.93","375,117,122.18","131,391,446.50","283,328,078.27","386,323,512.76","657,843,600.25","135,766,423.80","304,171,422.81","421,981,199.70","566,572,603.53","124,604,922.45","293,857,734.13","454,310,464.42","617,170,525.98","131,192,712.25","312,311,952.04","488,522,637.85","660,650,281.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"30,840.89","6,922.56","21,928.64","6,997.87","2,852.20","3,436.27","80,421.49","1,330.27","22,939.95","30,567.21","77,208.23","208,271.12","226,749.39","260,005.12","539,064.70","278,326.74","352,386.10","502,084.23","209,577.88","68,282.14","189,340.50","249,479.42","399,510.85","38,173.23","142,770.19","408,804.96","419,223.54","71,625.70","83,891.70","84,586.39","2,629,222.53","32,066.10","1,612,862.85","2,132,443.64","3,882,834.39"
营业外收入,"2,568,881.07","1,468,709.20","1,697,718.00","4,095,014.28","1,614,080.10","4,622,480.10","7,477,355.10","340,445.84","1,513,124.99","3,800,031.22","8,209,374.94","102,926.60","1,087,029.42","2,143,415.70","7,034,984.05","243,547.36","3,225,249.79","4,251,368.04","30,640,979.71","596,396.98","2,741,022.46","5,622,433.48","31,300,932.69","4,468,420.00","8,341,820.00","15,446,536.50","177,884,853.64","1,000,100.00","1,099,377.26","10,478,061.80","127,551,021.74","2,397,859.60","19,742,099.37","21,083,334.37","3,520,741.95"
销售费用,"2,228,076.26","2,442,223.50","1,379,073.53","2,929,110.33","1,389,316.13","2,844,801.45","2,894,238.61","1,256,287.90","1,686,142.68","3,639,247.81","3,318,571.65","3,493,480.22","6,497,641.83","9,377,025.15","12,041,640.99","3,797,206.60","7,138,996.70","10,259,529.53","24,131,134.88","4,485,032.69","10,311,740.82","15,936,784.91","30,100,523.29","4,333,480.10","12,332,059.44","26,960,636.42","41,659,041.84","7,233,197.38","18,471,950.78","32,234,507.73","58,509,810.61","16,620,594.19","34,355,461.05","52,033,047.65","74,701,622.60"
减:营业外支出,"417,975.00","1,056,117.82","90,485.63","423,790.71","49,664.44","156,075.02","1,021,353.90",,"2,000.00","2,000.00","934,814.21","15,937.08","18,337.08","149,390.78","3,169,198.03",,,"69,395.13","1,797,068.73",,"9,900.00","62,597.93","8,864,308.78",,"2,000.00","24,000.00","43,414,500.04",805.42,805.42,"118,450.05","28,349,878.19","1,263,404.58","12,659,220.45","15,766,086.34","24,046,788.19"
管理费用,"3,940,603.60","7,752,162.04","3,117,431.49","7,416,032.75","2,788,955.73","4,255,089.95","7,652,453.85","2,149,841.34","4,225,985.94","5,663,787.12","12,985,899.13","5,467,608.03","11,580,954.24","16,585,171.86","21,905,212.18","5,114,013.63","10,863,881.10","18,161,485.92","27,352,497.49","5,660,512.49","13,068,996.32","22,216,317.26","35,559,223.06","6,135,906.33","15,817,298.69","25,405,068.69","43,585,233.52","10,538,567.40","24,196,410.99","29,957,384.90","54,506,080.65","10,376,137.21","14,916,804.05","29,412,086.97","78,070,476.07"
其中:非流动资产处置净损失,"398,475.00","854,356.45","78,185.63","390,394.27",,,,,,,"896,814.21",,,,"3,100,531.62",,,,"1,604,272.15",,,,"8,803,337.18",,,,"36,199,449.18",,,,"12,307,711.78",,"12,610,053.45","15,343,629.48",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"508,430.27","515,955.36","1,396,849.56","3,020,602.51","3,299,735.73","4,083,899.00","5,022,906.70","331,926.82","1,156,159.75","1,346,224.05","1,489,382.98","2,537,253.72","5,937,380.03","9,139,225.11","10,671,345.91","4,727,415.08","10,069,877.78","14,841,561.53","20,496,734.15","6,881,080.31","14,099,781.59","22,155,950.87","32,451,938.02","11,339,861.49","21,629,867.20","37,112,732.05","46,732,366.54","14,497,806.26","28,972,024.12","42,275,037.35","33,107,173.39","13,935,047.33","26,136,728.80","47,868,058.93","51,810,861.34"
