科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,789,934,549.00","3,175,827,875.93","2,583,656,264.69","3,829,335,884.73","2,220,573,375.52","3,105,863,925.96","4,249,316,176.39","1,100,452,399.29","2,240,225,540.40","3,598,245,108.87","5,223,135,102.39","1,475,565,684.18","2,926,743,117.22","4,791,053,830.20","6,390,851,354.32","1,437,843,423.11","4,185,445,525.19","6,338,085,062.94","9,360,210,334.75","2,953,214,349.53","4,873,157,018.58","8,740,421,336.35","12,928,102,496.16","2,458,734,431.61","6,523,186,053.19","8,851,323,638.43","12,570,027,738.24","1,836,422,512.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"225,031,890.14",,,,"302,080,874.77",,,,,
收到的税费返还,"23,278,588.65","15,856,693.35",,,,,,,,,"28,443,446.14",,,,"10,111,490.61",,,,"12,130,978.40","283,410.18","8,227,304.56","14,812,864.97","21,369,407.40",,"2,247,428.91","7,950,476.27","8,027,958.70",
支付其他与投资活动有关的现金,,,,,,,,,,,,,"10,000,000.00","10,800,000.00","50,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,"82,044,992.00","3,799,221.60",,,"100,000,000.00",
收到其他与经营活动有关的现金,"38,282,750.10","55,042,326.31","38,962,965.06","45,211,452.95","18,989,115.78","33,327,059.69","33,641,493.01","4,800,933.40","9,793,918.88","30,097,698.24","31,671,515.35","20,582,279.68","57,837,748.98","103,127,913.57","77,292,993.50","4,705,152.03","12,061,440.38","15,961,663.18","108,942,919.67","7,104,275.18","21,383,037.80","21,386,197.59","114,506,100.93","12,211,051.64","16,262,663.48","22,661,836.62","79,896,137.70","4,705,547.86"
投资活动现金流出小计,"216,521,179.89","165,691,195.04","75,133,837.18","79,534,139.68","33,587,405.97","65,489,422.24","73,209,646.44","36,657,495.95","72,053,402.18","208,263,048.92","219,275,849.15","74,001,062.42","278,522,508.58","356,751,355.00","284,995,327.30","98,908,636.50","273,958,056.86","430,138,264.13","559,507,870.63","35,111,249.50","184,990,768.39","413,219,234.43","762,794,235.85","207,886,039.43","623,042,088.17","651,573,720.86","572,625,613.30","62,216,596.89"
经营活动现金流入小计,"1,851,495,887.75","3,246,726,895.59","2,622,619,229.75","3,874,547,337.68","2,239,562,491.30","3,139,190,985.65","4,282,957,669.40","1,105,253,332.69","2,250,019,459.28","3,628,342,807.11","5,283,250,063.88","1,496,147,963.86","2,984,580,866.20","4,894,181,743.77","6,478,255,838.43","1,442,548,575.14","4,197,506,965.57","6,354,046,726.12","9,481,284,232.82","2,960,602,034.89","4,902,767,360.94","8,776,620,398.91","13,063,978,004.49","2,470,945,483.25","6,541,696,145.58","8,881,935,951.32","12,657,951,834.64","1,841,128,060.30"
投资活动产生的现金流量净额,"-216,521,179.89","-165,691,195.04","-64,639,847.58","-69,040,150.08","-33,587,405.97","-65,489,422.24","-58,358,993.71","-36,657,495.95","-72,053,402.18","-206,984,548.92","-215,898,757.66","-74,001,062.42","-231,722,508.58","-309,951,355.00","-236,467,045.25","-46,608,636.50","-221,658,056.86","-377,838,264.13","-482,823,036.72","-13,902,255.13","-154,799,825.38","-383,517,872.79","-719,339,036.87","-127,799,447.31","-543,033,088.17","-571,564,720.86","-478,106,186.40","-61,186,406.26"
购买商品、接受劳务支付的现金,"1,811,509,586.22","3,096,844,305.95","2,922,480,847.80","3,820,747,959.39","1,494,531,936.67","2,710,313,290.42","3,663,865,886.01","1,020,391,512.18","2,090,091,042.97","3,287,911,152.96","5,177,043,604.25","1,183,658,697.25","2,500,700,729.86","4,048,893,753.80","5,603,430,126.68","1,239,748,320.21","3,811,464,498.69","6,056,627,704.62","9,105,702,848.25","2,586,978,368.34","4,654,742,664.34","8,056,924,792.30","12,278,431,487.61","2,327,230,158.11","6,089,195,854.01","8,674,668,329.58","12,329,937,995.66","1,746,337,866.11"
吸收投资收到的现金,"120,196,000.00",,,,,,,"689,635,699.47","689,635,699.47","689,635,699.47","689,635,699.47",,,,,,"148,000,000.00","148,000,000.00",,,"1,192,319,215.56","1,192,319,215.56","1,195,240,912.12",,,,,
