科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"120,265,594.13","142,092,811.65","114,024,542.34","951,904,439.35","970,005,596.15","876,135,788.83","704,912,693.15","612,772,005.81","622,821,213.22","657,275,314.25","604,623,000.01","418,092,502.16","452,697,899.39","496,014,974.59","594,931,671.98","453,320,014.93","407,886,532.08","407,183,828.64","305,639,640.37","432,143,142.84","415,719,942.39","419,951,099.27","410,623,188.40","340,407,856.58","207,938,729.37","294,664,228.01","610,875,745.01","316,366,533.65","254,061,107.75","265,380,870.72","269,527,399.66","309,542,387.84","201,575,334.69","233,567,153.38","266,906,805.79","269,692,493.95","241,600,575.67","367,004,307.59","166,200,219.01","291,649,364.21","154,517,496.29","207,157,273.86"
短期借款,"20,000,000.00","86,500,000.00","137,850,000.00","93,260,000.00","164,260,000.00","183,860,000.00","188,500,000.00","135,000,000.00","164,000,000.00","163,570,000.00","145,600,000.00","117,000,000.00","172,000,000.00","197,000,000.00","197,000,000.00","195,600,000.00","264,700,000.00","290,483,144.50","410,483,144.50","354,232,908.24","394,673,555.27","358,280,410.77","321,739,763.74","524,460,686.00","226,345,000.00","233,935,000.00","234,780,000.00","156,500,000.00","176,740,000.00","156,740,000.00","272,000,000.00","200,000,000.00","117,000,000.00","194,000,000.00","264,500,000.00","284,500,000.00","295,052,294.00","347,909,128.00","230,962,930.00","445,762,930.00","463,220,636.00","513,310,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"18,758,799.25","18,415,082.65","28,006,572.04","1,345,037.40","14,068,136.88","30,876,914.65","26,856,573.35","3,377,664.27","5,447,641.36","19,547,262.39","5,261,365.98","16,885,975.64","7,732,159.83","5,905,453.45","10,696,129.26","7,764,967.47","7,669,984.22","8,341,925.84",,"1,556,022.07","1,556,022.07","668,996.16",,,"750,000.00",,,,,"200,000.00","200,000.00",,"2,840,818.64",,,,"100,000.00","2,460,874.81",,
应付票据,"103,408,000.00","166,507,999.40","117,164,271.00","186,242,623.00","212,717,802.00","185,362,848.00","103,042,880.00","100,016,342.80","111,325,195.00","220,814,339.00","281,305,917.00","234,256,664.00","225,595,018.00","282,177,194.70","305,004,675.00","224,840,160.00","199,494,137.00","244,972,734.05","276,834,286.00","208,504,993.67","229,251,499.06","325,622,647.80","297,528,085.50","278,994,285.77","298,404,072.00","245,482,560.90","346,654,461.00","330,356,385.00","297,946,366.00","375,164,041.00","364,682,681.00","287,028,942.00","316,941,414.00","371,142,767.00","351,154,882.80","392,313,816.22","374,607,934.00","329,088,701.00","309,387,489.00",,"210,740,987.00",
应收账款,"123,053,511.20","169,964,637.44","175,338,239.29","174,997,294.18","222,508,166.61","223,200,389.04","215,218,949.45","218,636,384.96","313,819,341.16","363,204,017.67","376,312,126.56","367,601,197.51","482,532,703.60","499,637,951.98","539,707,419.69","561,463,415.27","657,279,445.01","659,133,923.49","666,819,122.91","667,476,909.50","696,711,053.65","695,138,608.72","698,641,030.24","692,978,614.30","725,712,942.09","761,820,200.08","755,689,033.21","748,283,277.32","707,566,471.28","719,229,928.83","707,615,157.43","697,951,106.39","712,932,971.23","795,512,949.32","824,925,382.13","814,486,551.88","757,212,976.57","751,301,949.54","741,978,806.53","712,604,095.53","777,460,272.95","1,038,776,153.99"
应付账款,"26,555,683.43","28,933,864.78","52,440,583.98","11,390,101.90","27,258,557.81","7,980,378.88","10,692,184.96","17,931,915.15","9,510,926.92","8,858,319.62","8,045,991.01","3,578,251.54","17,617,451.62","15,444,537.97","13,160,080.10","16,434,840.50","97,721,903.06","49,089,639.86","46,701,012.00","33,681,100.17","70,727,296.89","51,218,381.18","51,554,193.50","51,853,544.06","78,399,812.89","74,048,748.07","19,868,092.95","11,293,473.18","57,767,872.12","56,086,526.69","19,527,163.60","14,634,735.40","81,119,514.57","79,259,868.05","56,175,323.86","58,365,673.68","79,918,653.72","64,809,894.01","85,266,597.87",,"203,769,691.35",
预付款项,"10,058,967.61","32,580,143.69","36,145,798.63","41,192,539.91","35,422,816.13","68,737,589.38","92,264,466.23","46,878,515.22","37,707,852.77","48,761,838.97","48,197,265.15","71,804,361.01","66,167,815.12","65,469,220.73","69,713,945.92","61,333,782.89","65,949,136.00","69,328,467.04","76,709,199.67","75,419,480.32","95,230,667.99","94,362,811.90","95,678,245.00","81,126,238.90","70,579,730.82","76,538,852.87","87,705,041.03","86,062,771.83","58,209,935.46","84,987,133.97","88,509,140.95","28,313,979.64","49,746,001.41","53,507,324.13","55,853,250.02","64,339,477.49","66,634,803.67","79,725,864.39","65,724,479.34","30,783,648.89","3,855,064.36","117,972,984.19"
预收款项,"8,247,188.31","20,385,126.61","3,634,263.92","6,666,097.95","13,932,286.18","16,721,421.69","26,339,539.76","33,737,840.36","1,117,134.36","1,644,532.34","5,982,486.35","7,755,196.33","7,305,672.37","7,784,517.57","7,518,833.65","7,775,433.65","27,130,922.36","27,764,810.29","17,663,343.66","17,272,296.16","28,490,155.94","27,529,858.89","9,138,577.13","7,475,205.28","22,510,178.58","26,343,758.70","13,168,765.26","11,788,754.49","12,415,870.71","13,857,903.44","15,517,989.87","12,491,567.22","19,350,817.28","11,574,475.12","18,747,988.85","22,432,205.30","13,214,317.61","13,364,978.20","16,553,249.22","9,038,715.26","8,005,936.76","21,429,980.30"
其他应收款,"5,361,321.37","11,174,875.63","10,933,726.97","14,679,014.19","10,117,688.95","8,723,394.16","11,147,426.05","11,952,751.89","11,391,502.84","11,832,539.40","12,790,546.47","15,032,431.03","15,138,416.39","18,589,173.74","16,914,251.22","17,417,748.71","19,419,175.15","24,786,347.46","29,212,109.03","25,272,015.80","21,441,813.93","25,714,251.18","22,694,097.70","21,967,903.75","24,370,291.99","20,966,508.14","23,715,374.20","18,847,396.51","23,081,230.34","30,627,818.82","25,792,646.63","31,652,508.77","25,679,207.53","30,769,677.93","34,533,492.20","36,059,634.38","29,637,265.47","39,633,017.80","38,596,291.24","38,042,332.70","47,369,005.51","82,269,730.98"
应付职工薪酬,"8,133,600.30","14,138,074.50","11,803,151.20","11,536,983.80","9,549,255.39","8,658,679.01","7,476,594.07","9,957,331.00","15,983,764.00","16,394,114.62","11,055,796.23","16,226,983.73","17,094,450.20","20,116,073.79","18,879,853.32","22,024,322.78","25,991,657.37","25,248,207.78","26,284,941.02","29,302,742.59","30,836,958.51","27,986,808.38","31,999,115.24","32,057,920.81","31,999,981.68","27,176,643.09","27,914,668.43","27,275,766.45","24,531,772.41","18,630,027.38","22,621,730.92","25,090,324.83","26,290,469.26","32,072,835.21","31,568,418.77","32,427,827.41","26,911,956.85","28,535,823.22","31,556,807.27","32,438,753.33","31,578,158.97","35,399,370.12"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"20,713,867.36","12,465,739.80","14,234,640.12","8,958,693.09","8,047,434.32","3,839,957.73","8,292,930.63","7,990,661.23","32,823,257.42","46,684,795.89","9,012,715.55","-4,537,990.88","25,256,455.86","43,051,603.25","37,334,970.19","34,412,113.01","49,274,326.84","24,671,960.46","15,534,502.16","23,985,602.70","29,082,952.10","28,179,430.88","30,985,275.36","14,963,844.30","37,017,930.04","31,864,511.69","36,540,572.20","32,895,487.67","51,425,834.12","31,976,009.34","38,991,146.17","38,660,378.93","43,440,334.20","63,611,129.08","67,629,828.33","65,400,771.22","52,988,560.17","42,172,986.99","38,781,679.39","32,073,532.56","74,345,140.97","79,732,080.91"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,"378,739.73","3,258,739.73","6,138,739.73","9,018,739.73",,"1,745,768.04","5,470,161.29","9,574,529.13","16,000,561.64","1,589,500.07","1,720,480.03","6,336,852.66","9,558,957.82","11,361,711.16","14,900,410.96","14,709,436.85",,"6,850,607.67","15,071,058.59","23,273,202.12","29,284,228.38","25,992,532.11","11,699,274.58","9,496,817.82","13,301,605.81",,"17,039,526.56","18,875,074.65"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"72,025,000.00","1,920,485.00","946,976.96","946,976.96",,,,,,"11,158,849.00","8,345,879.10","8,345,879.10","8,345,879.10",,,,,,,,,"8,345,879.10",,,,,,,,,,,,,,,
