科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"100,427,180.31","25,170,301.93","26,028,704.06","10,907,475.32","21,764,287.71","130,095,042.68","70,764,790.25","18,683,662.17","43,391,528.82","21,361,974.91","24,275,947.84","572,485,907.16","116,578,024.78","76,592,309.75","148,373,922.78","162,141,482.05","153,461,414.60","110,597,480.39","98,911,686.30"
短期借款,"155,000,000.00","110,000,000.00","165,300,000.00","175,000,000.00","200,000,000.00","120,000,000.00","60,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","60,000,000.00","40,000,000.00","20,000,000.00","158,190,000.00","100,000,000.00","90,000,000.00","70,000,000.00","100,000,000.00","105,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"16,163,950.83","12,373,197.07","43,961,415.35","13,751,606.19","27,161,826.23","14,606,367.89","23,571,181.00","25,588,594.23","35,251,325.13","25,557,207.63","29,504,537.15","25,229,132.54","48,704,255.93","51,191,208.35","51,573,138.67","37,424,285.99","69,186,755.00","42,505,564.25","37,615,309.48"
应付票据,,"5,387,400.00",,,,,,,,,,,,,,,,,
应收账款,"106,169,758.84","115,791,927.57","131,388,530.95","149,056,431.15","143,205,973.24","164,524,887.96","155,206,128.16","164,631,489.74","169,366,204.68","191,534,928.99","185,703,267.62","192,228,385.84","184,362,388.12","254,120,058.53","235,127,202.78","233,657,101.64","235,855,976.20","243,442,854.32","244,999,446.48"
应付账款,"41,123,227.18","45,380,495.48","50,808,380.18","68,990,547.54","68,816,348.34","52,860,657.87","54,992,249.10","37,696,045.59","60,809,692.42","44,023,005.56","43,263,016.61","38,813,613.07","61,753,304.12","60,403,257.23","65,105,539.48","68,553,679.31","104,893,551.57","91,179,219.76","99,755,272.38"
预付款项,"8,977,712.55","1,888,487.99","970,112.43","4,298,839.31","2,226,796.80","3,146,967.18","2,197,084.60","2,393,228.99","852,149.35","6,259,578.83","6,736,058.45","7,685,834.22","8,495,829.08","13,438,878.79","15,873,671.00","9,973,487.30","3,457,898.81","17,424,428.84","33,319,053.41"
预收款项,"464,928.07","543,727.47","178,486.17","144,427.53","133,994.38","136,066.42","109,306.20","146,367.26","119,447.04","76,789.96","109,472.42","214,960.13","698,321.61","1,330,462.52","2,500,341.09","6,340,763.62","312,238.97","691,135.92","2,586,876.60"
其他应收款,"104,760.00","1,013,739.62","1,669,266.98","2,289,947.77","3,232,407.59","52,615.00","223,339.53","354,700.00",,,"103,473.82","448,625.82","100,369.61","397,216.53","145,112.44","922,207.92","204,700.30","957,327.45","1,099,967.23"
应付职工薪酬,"1,102,838.43","1,031,408.00","1,272,343.00","107,976.90","377,504.46","34,396.31","314,247.64","1,515,726.76","971,030.00","270,713.29","456,531.12","342,970.30","2,056,031.65","4,088,531.97","4,226,015.71","3,810,232.06","6,398,671.23","5,025,441.64","2,850,972.30"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"463,341.39","1,123,523.38","1,629,531.48","2,810,114.34","3,242,536.45","3,465,612.31","3,093,123.13","4,070,868.74","5,934,301.32","2,716,765.41","1,312,555.74","1,627,423.47","4,879,930.40","12,056,943.37","7,466,713.57","5,821,256.90","5,947,552.99","3,551,445.66","7,506,543.88"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,"26,583.33","25,254.16","68,875.00","45,916.67","25,254.17","227,903.69","365,218.76","568,702.10","76,982.94","86,891.27","80,245.43"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,"34,347,227.80",,"2,250,000.00","33,344,880.00","31,094,880.00",,,,,,,,,,,,,,
存货,"88,176,847.97","92,825,792.86","101,401,563.93","121,282,943.60","116,510,563.05","123,627,730.93","123,429,433.01","126,861,663.31","115,051,092.77","111,489,127.06","108,699,516.56","97,195,458.34","99,735,688.02","135,039,743.94","148,462,616.17","158,608,670.38","147,756,640.05","170,779,213.83","175,085,910.76"
其他应付款,"1,123,239.46","828,432.49","1,216,843.11","22,845,043.54","665,177.13","1,470,725.24","666,919.20","1,540,424.52","1,707,775.44","3,579,947.23","3,793,610.58","1,051,071.97","2,864,040.21","121,817,918.85","87,973,630.09","88,837,269.09","128,024,360.65","72,335,416.87","63,518,115.97"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"884,408.18","884,408.18","1,044,408.18","884,408.18",,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,"1,835,067.89",,,,"404,445,079.57","408,555,115.99","206,168,407.58","205,583,750.31","248,330,925.31","248,224,580.80","247,725,272.02"
其他流动负债,,,,,,,,,,,,,,,,,,,
流动资产合计,"320,020,210.50","249,063,447.04","305,419,593.70","301,587,243.34","314,101,854.62","436,053,611.64","375,391,956.55","338,513,338.44","365,747,368.64","356,202,817.42","355,022,801.44","895,273,343.92","862,421,635.11","939,334,531.88","805,724,071.42","808,310,985.59","858,254,310.27","833,931,449.88","838,756,645.68"
流动负债合计,"234,509,210.51","165,179,395.00","223,699,992.12","304,127,398.03","304,330,440.76","177,967,458.15","119,175,845.27","64,969,432.87","89,568,829.55","70,692,475.61","109,004,061.47","82,095,955.61","92,276,882.16","358,115,017.63","267,637,458.70","263,931,903.08","315,653,358.35","272,869,551.12","281,298,026.56"
可供出售金融资产,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,
固定资产,"141,359,712.75","163,343,481.72","166,144,392.01","257,469,280.47","269,689,615.33","263,187,814.29","259,130,073.66","253,475,950.49","267,866,756.08","264,107,757.38","260,267,528.86","257,791,750.72","281,161,948.49","335,703,522.55","328,566,339.91","388,582,863.71","456,533,464.65","456,238,466.14","436,691,774.05"
递延所得税负债,,,,,,,,,,,,,,"5,829,316.20","5,783,180.29","5,435,119.59","4,734,984.75","4,627,417.61","2,400,736.84"
在建工程,"3,523,595.00","20,823,827.57","31,316,645.48","6,211,965.81","6,211,965.81","6,905,253.81","8,313,057.79","9,816,164.39","9,197,520.94","13,583,863.60","15,513,863.60","15,513,863.60","7,306,812.90","75,042,714.98","67,198,763.65","38,424,392.99","41,556,266.62","38,005,004.11","40,112,220.00"
其他非流动负债,"12,561,021.29","11,676,613.13","10,792,204.97","12,128,898.85",,,,,,,,,,,,,,"26,814,175.81",
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,"12,561,021.29","11,676,613.13","10,792,204.97","12,128,898.85","17,792,204.99","20,571,102.95","30,100,000.91","26,628,898.87","26,407,796.83","26,186,694.79","27,465,592.75","26,894,490.71","27,041,554.31","32,419,543.61","31,922,080.80","31,122,693.20","30,428,462.46","31,441,593.42","28,845,710.75"
固定资产清理,,,,,,,,,,,,,,,,,,,
