科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"618,615,444.89","1,082,415,083.61","1,669,920,500.45","1,793,768,213.74","4,500,226,513.09","4,275,707,835.25","4,722,630,235.42","4,755,953,116.84","4,226,638,188.49","4,753,422,183.01","4,473,252,972.99","4,354,592,379.41","4,494,822,741.28","4,308,287,464.00","3,758,479,477.34","4,330,847,745.88","4,414,699,988.00","5,224,043,996.59","3,884,555,804.20","4,294,043,462.06","4,034,800,638.75","3,963,834,818.31","3,556,879,427.20","3,933,602,885.13","4,785,944,724.77","3,452,615,756.73","3,300,849,170.80"
短期借款,"2,746,000,000.00","2,083,000,000.00","2,090,735,092.61","2,325,556,864.81","2,297,380,533.53","2,180,984,057.22","1,824,910,257.89","1,803,733,494.53","1,780,261,699.33","1,668,646,386.87","2,092,368,200.98","2,021,889,186.03","2,660,398,750.00","2,521,010,090.00","2,707,748,890.00","2,589,006,584.00","2,984,669,144.00","2,809,039,360.00","4,704,831,360.00","3,976,448,120.00","3,723,664,632.52","3,767,797,509.54","3,516,044,250.00","3,449,224,325.40","3,556,831,976.20","3,170,539,430.02","4,489,257,216.78"
交易性金融资产,,,,,,,,,,,,,,"188,500.00",,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"281,571,513.80","355,399,808.17","441,666,881.95","485,586,563.43","349,116,654.43","293,934,217.70","327,959,198.20","238,515,127.20","347,602,901.72","235,343,545.24","185,535,657.00","139,819,193.52","187,437,257.26","417,506,938.42","72,593,807.98","113,065,221.30","138,559,332.06","164,792,324.65","160,419,900.72","146,241,938.63","208,871,039.72","141,686,089.62","235,550,986.66","288,653,971.00","405,007,463.35","542,150,431.08","542,544,814.74"
应付票据,"871,268,799.00","814,227,240.95","576,366,832.71","458,486,643.01","492,440,399.11","466,800,544.09","551,850,367.90","433,574,056.02","460,562,151.66","487,715,907.24","440,116,427.38","652,670,606.56","859,575,197.41","760,953,801.00","579,447,788.22","971,091,338.46","976,074,004.86","949,577,983.41","1,004,411,058.56","663,452,825.10","560,017,338.68","410,411,309.31","391,078,822.26","366,724,525.96","464,807,053.53","546,947,604.24","543,634,313.65"
应收账款,"795,359,736.80","1,173,478,646.58","1,925,894,936.95","1,925,591,826.43","2,156,224,250.12","2,383,505,670.80","2,487,674,445.90","2,488,883,044.64","2,351,982,778.78","2,513,275,663.70","2,393,420,131.40","2,763,471,478.77","2,916,882,402.09","2,669,611,618.96","2,678,970,038.69","2,580,577,894.53","2,548,652,006.19","2,432,916,488.65","2,942,722,817.11","2,941,933,357.82","2,804,849,844.98","2,765,873,935.03","2,890,836,367.88","2,747,349,575.26","2,600,799,724.84","2,467,716,708.21","2,356,884,546.60"
应付账款,"1,683,543,367.63","1,757,512,365.28","2,205,976,056.33","2,332,740,735.26","2,244,505,819.62","2,299,123,779.75","2,177,683,237.77","2,165,941,066.02","2,124,214,645.78","1,933,888,950.57","2,007,019,442.68","2,535,894,868.16","2,516,203,413.78","2,470,143,496.85","2,036,263,745.75","2,122,760,955.49","2,118,248,100.83","2,175,785,129.92","2,263,126,591.25","2,216,600,571.73","2,413,045,477.46","2,436,628,876.70","2,766,366,602.70","2,695,488,209.48","2,592,063,874.54","2,341,887,342.48","2,206,107,637.23"
预付款项,"879,728,990.35","633,471,953.79","758,896,971.47","848,180,973.28","818,247,066.23","587,597,414.91","627,302,548.84","567,951,394.15","640,028,748.84","378,582,520.49","665,409,424.11","684,676,684.76","929,922,356.46","530,575,534.79","540,723,417.95","639,913,668.29","653,293,014.16","579,800,023.46","702,710,300.41","699,174,628.16","668,265,923.93","315,515,247.94","404,892,481.04","327,489,020.91","464,120,773.50","244,796,005.04","310,804,330.44"
预收款项,"3,196,657,808.53","2,866,392,090.02","2,473,815,897.02","2,489,451,332.96","2,444,898,404.42","1,831,561,924.53","1,905,551,190.89","2,108,098,168.87","2,069,591,386.56","2,019,893,319.21","1,934,479,859.85","1,784,548,479.03","1,647,210,785.57","1,441,511,725.11","1,400,724,334.39","1,429,931,657.63","1,313,068,529.55","1,171,618,485.83","1,081,917,110.30","1,034,089,941.05","1,059,193,010.71","869,605,897.42","1,128,053,511.26","989,096,618.26","1,160,238,897.81","949,045,687.45","1,088,156,639.24"
