科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"246,635,249.54","341,819,381.09","892,540,234.35","867,650,973.94","1,270,876,898.88","1,571,544,092.64","410,092,347.87","799,654,065.97","1,196,149,559.18","1,866,385,850.03","713,692,634.88"
取得子公司及其他营业单位支付的现金净额,,"28,093,315.14",,,,,,,,,
收到的税费返还,"4,783,452.18","10,777,792.59","16,473,031.35","10,030,061.66","14,922,084.57","22,951,730.78","15,301,980.60","31,462,691.21","61,034,024.47","82,959,454.65","12,639,430.82"
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,636,445.86","1,588,070.22","7,887,358.96","1,809,777.88","2,333,514.25","5,019,863.23","472,916.46","3,668,811.17","7,294,475.85","13,775,792.97","5,328,132.94"
投资活动现金流出小计,"34,528,635.71","174,452,507.37","315,158,558.63","42,172,631.83","126,146,564.44","243,724,460.21","257,757,724.29","1,180,120,931.75","1,552,408,945.51","1,643,177,092.05","350,326,627.03"
经营活动现金流入小计,"259,055,147.58","354,185,243.90","916,900,624.66","879,490,813.48","1,288,132,497.70","1,599,515,686.65","425,867,244.93","834,785,568.35","1,264,478,059.50","1,963,121,097.65","731,660,198.64"
投资活动产生的现金流量净额,"-32,817,418.77","-172,952,507.37","-297,207,597.57","-42,172,631.83","-116,646,564.44","-231,924,460.21","-239,857,724.29","-827,529,233.00","-941,318,539.91","-1,022,595,757.35","-274,426,627.03"
购买商品、接受劳务支付的现金,"146,001,887.84","215,368,971.63","575,868,663.79","521,040,870.68","738,401,607.39","818,797,303.23","222,416,695.23","412,952,675.20","872,305,061.81","1,265,255,144.58","515,334,118.26"
吸收投资收到的现金,,"70,840,000.00",,,,,"933,201,295.00","937,552,938.12","937,552,938.12","975,655,305.40",
支付给职工以及为职工支付的现金,"45,602,718.99","72,536,252.97","165,122,934.68","118,762,143.49","170,869,760.14","257,283,979.51","77,806,041.46","173,105,490.35","276,230,452.95","382,671,751.76","118,641,048.93"
取得借款收到的现金,"106,570,900.00","230,212,453.33","427,496,033.63","112,769,755.88","247,769,755.88","272,917,800.00","86,429,970.00","316,429,970.00","516,284,670.00","771,284,670.00","353,013,000.00"
支付的各项税费,"17,267,462.03","7,078,743.46","39,881,431.15","48,094,075.53","73,794,670.26","70,675,058.55","26,857,376.02","37,498,882.16","47,200,497.35","53,783,967.97","18,183,073.05"
收到其他与筹资活动有关的现金,"46,345,896.15","13,082,726.65","73,562,030.00","20,000,000.00","20,000,000.00","20,000,000.00","911,983.29",,,,
支付其他与经营活动有关的现金,"13,144,840.50","24,030,877.21","34,303,361.09","21,280,901.91","41,072,607.04","52,646,098.89","16,369,106.41","46,166,000.38","64,835,239.33","86,916,705.02","15,210,664.36"
筹资活动现金流入小计,"152,916,796.15","314,135,179.98","501,058,063.63","132,769,755.88","267,769,755.88","292,917,800.00","1,020,543,248.29","1,253,982,908.12","1,453,837,608.12","1,746,939,975.40","353,013,000.00"
经营活动现金流出小计,"222,016,909.36","319,014,845.27","815,176,390.71","709,177,991.61","1,024,138,644.83","1,199,402,440.18","343,449,219.12","669,723,048.09","1,260,571,251.44","1,788,627,569.33","667,368,904.60"
偿还债务支付的现金,"108,700,000.00","120,294,900.00","215,660,398.33","275,550,563.29","357,550,563.29","415,697,363.29","22,000,000.00","169,942,290.00","239,942,290.00","421,849,820.06","220,000,000.00"
经营活动产生的现金流量净额,"37,038,238.22","35,170,398.63","101,724,233.95","170,312,821.87","263,993,852.87","400,113,246.47","82,418,025.81","165,062,520.26","3,906,808.06","174,493,528.32","64,291,294.04"
分配股利、利润或偿还利息支付的现金,"13,194,201.43","14,908,315.08","13,897,818.98","7,172,609.50","9,525,694.24","12,113,327.89","2,968,764.22","39,465,024.13","45,475,226.47","53,426,870.34","9,796,741.35"
收回投资收到的现金,,,,,,,,"331,000,000.00","582,000,000.00","582,000,000.00",
支付其他与筹资活动有关的现金,"13,299,713.40","21,181,181.96","32,145,733.80","23,753,102.24","36,109,171.44","47,451,336.72","28,458,695.46","39,594,055.92","50,176,966.31","59,390,732.31","1,484,157.72"
取得投资收益收到的现金,,,,,,,,"3,691,698.75","5,190,405.60","4,077,334.70",
筹资活动现金流出小计,"135,193,914.83","156,384,397.04","261,703,951.11","306,476,275.03","403,185,428.97","475,262,027.90","53,427,459.68","249,001,370.05","335,594,482.78","534,667,422.71","231,280,899.07"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,711,216.94","1,500,000.00","1,012,983.06",,,,,,,"604,000.00","50,000,000.00"
筹资活动产生的现金流量净额,"17,722,881.32","157,750,782.94","239,354,112.52","-173,706,519.15","-135,415,673.09","-182,344,227.90","967,115,788.61","1,004,981,538.07","1,118,243,125.34","1,212,272,552.69","121,732,100.93"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"252,176.67","297,529.40","2,056,701.29","-943,651.36","-1,577,094.88","5,461,145.98","-1,111,817.33","1,813,628.22","317,447.99","-14,067,879.29","-3,452,280.34"
收到其他与投资活动有关的现金,,,"16,937,978.00",,"9,500,000.00","11,800,000.00","17,900,000.00","17,900,000.00","23,900,000.00","33,900,000.00","25,900,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"1,711,216.94","1,500,000.00","17,950,961.06",,"9,500,000.00","11,800,000.00","17,900,000.00","352,591,698.75","611,090,405.60","620,581,334.70","75,900,000.00"
五、现金及现金等价物净增加额,"22,195,877.44","20,266,203.60","45,927,450.19","-46,509,980.47","10,354,520.46","-8,694,295.66","808,564,272.80","344,328,453.55","181,148,841.48","350,102,444.37","-91,855,512.40"
购建固定资产、无形资产和其他长期资产支付的现金,"31,528,635.71","146,359,192.23","315,158,558.63","42,172,631.83","126,146,564.44","243,724,460.21","257,757,724.29","768,120,931.75","970,408,945.51","1,061,177,092.05","350,326,627.03"
期初现金及现金等价物余额,"2,986,284.24","25,182,161.68","45,448,365.28","91,375,815.47","91,375,815.47","91,375,815.47","82,681,519.81","82,681,519.81","82,681,519.81","82,681,519.81","432,783,964.18"
投资支付的现金,"3,000,000.00",,,,,,,"412,000,000.00","582,000,000.00","582,000,000.00",
期末现金及现金等价物余额,"25,182,161.68","45,448,365.28","91,375,815.47","44,865,835.00","101,730,335.93","82,681,519.81","891,245,792.61","427,009,973.36","263,830,361.29","432,783,964.18","340,928,451.78"
