科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,437,521,368.05","1,705,616,688.98","2,287,632,469.90","993,500,135.49","1,782,063,375.04","2,761,917,217.71","653,863,342.31","1,542,405,656.09","2,663,081,213.08","3,526,502,241.41","902,468,117.52","1,803,947,245.38","2,949,301,921.34","4,345,939,727.93","1,099,685,437.74","2,426,697,260.01","3,896,719,346.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"84,970,418.71",,,,,,,
收到的税费返还,"14,621,688.78","13,721,905.38","18,200,427.32","6,778,594.87","17,318,056.30","15,141,735.55","4,711,738.91","9,921,901.81","19,404,523.18","24,102,809.65","5,053,940.68","11,231,117.54","15,747,965.40","32,450,070.79","3,736,281.50","11,013,195.05","19,876,309.06"
支付其他与投资活动有关的现金,,"4,745,579.10","2,633,185.93",,"180,000.00","3,519,500.00",,,,"1,091,325.80","612,712,440.77","612,712,440.77","622,770,672.70","614,941,717.58",,,
收到其他与经营活动有关的现金,"107,519,388.56","227,202,171.06","162,650,929.21","49,004,625.37","94,494,526.74","78,825,595.64","25,650,168.79","82,775,920.73","140,659,572.10","245,204,312.90","79,354,524.79","108,881,140.61","175,713,567.93","198,728,346.62","130,696,501.78","104,796,638.03","614,303,539.60"
投资活动现金流出小计,"204,505,051.58","252,375,418.41","270,324,435.12","31,642,875.51","51,304,466.99","228,829,218.59","30,830,738.30","88,805,910.13","102,645,122.85","363,837,044.63","948,509,396.74","976,467,867.25","1,082,766,327.95","1,226,117,884.56","95,157,192.02","165,624,640.97","312,462,057.14"
经营活动现金流入小计,"1,559,662,445.39","1,946,540,765.42","2,468,483,826.43","1,049,283,355.73","1,893,875,958.08","2,855,884,548.90","684,225,250.01","1,635,103,478.63","2,823,145,308.36","3,795,809,363.96","986,876,582.99","1,924,059,503.53","3,140,763,454.67","4,577,118,145.34","1,234,118,221.02","2,542,507,093.09","4,530,899,195.60"
投资活动产生的现金流量净额,"-204,395,890.58","-179,899,617.48","-263,023,298.96","-31,471,850.89","-43,910,713.94","-226,548,680.59","-30,830,409.24","-86,640,595.48","-98,795,484.76","-201,211,480.95","-928,609,280.42","-953,943,950.51","-1,035,943,951.64","-1,167,443,473.31","-95,155,279.12","-164,992,514.22","-310,728,922.39"
购买商品、接受劳务支付的现金,"832,931,186.84","1,305,978,009.16","1,677,147,387.46","915,402,462.34","1,716,870,643.72","2,159,362,376.96","815,362,323.04","1,621,526,522.09","2,711,688,996.89","2,940,979,796.65","1,050,089,141.78","2,116,466,066.02","3,170,480,093.54","3,894,883,278.15","1,010,406,254.92","2,640,021,511.90","4,184,893,263.26"
吸收投资收到的现金,,,"315,000.00",,,"348,500,000.00",,"425,000.00","36,415,000.00","38,725,000.00","406,250,000.00","1,790,249,983.80","1,825,791,483.72","1,832,006,483.72","7,164,000.00","43,744,599.86","48,724,599.86"
支付给职工以及为职工支付的现金,"142,404,475.89","188,299,277.18","218,851,110.99","143,426,603.97","206,847,288.87","258,651,421.14","121,831,704.47","193,178,811.82","275,342,903.98","351,555,915.17","115,626,627.80","182,801,001.38","264,897,918.75","342,556,057.55","135,869,441.35","217,799,709.83","332,413,003.03"
取得借款收到的现金,"144,000,000.00","578,077,718.74","585,000,000.00","422,670,000.00","802,670,000.00","802,670,000.00","520,000,000.00","1,007,700,000.00","1,507,700,000.00","2,177,700,000.00","420,000,000.00","635,000,000.00","985,000,000.00","1,575,000,000.00","350,000,000.00","1,810,000,000.00","2,629,927,747.24"
支付的各项税费,"145,851,931.87","72,130,108.50","110,786,217.95","63,283,436.47","94,422,038.91","114,020,597.16","42,060,768.13","50,638,243.36","114,244,925.72","171,556,443.06","46,799,609.62","75,918,520.88","120,403,662.74","172,670,674.52","65,401,814.34","101,723,652.41","145,540,393.29"
收到其他与筹资活动有关的现金,"115,017,549.14","154,970,304.07","48,532,800.65",,"50,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","193,000,000.00","193,000,000.00",,"200,000,000.00","350,000,000.00","283,200,000.00","50,000,000.00","400,000,000.00","450,000,000.00"
支付其他与经营活动有关的现金,"260,451,605.59","269,336,092.90","269,373,584.87","86,849,643.56","139,866,550.46","293,097,893.44","35,238,094.32","134,366,631.04","256,781,767.87","301,848,064.68","54,776,707.70","158,054,901.94","235,847,717.15","408,113,768.97","88,166,342.21","204,532,795.97","511,116,302.94"
筹资活动现金流入小计,"259,017,549.14","733,048,022.81","633,847,800.65","422,670,000.00","852,670,000.00","1,181,170,000.00","570,000,000.00","1,058,125,000.00","1,737,115,000.00","2,409,425,000.00","826,250,000.00","2,625,249,983.80","3,160,791,483.72","3,690,206,483.72","407,164,000.00","2,253,744,599.86","3,128,652,347.10"
经营活动现金流出小计,"1,381,639,200.19","1,835,743,487.74","2,276,158,301.27","1,208,962,146.34","2,158,006,521.96","2,825,132,288.70","1,014,492,889.96","1,999,710,208.31","3,358,058,594.46","3,765,940,219.56","1,267,292,086.90","2,533,240,490.22","3,791,629,392.18","4,818,223,779.19","1,299,843,852.82","3,164,077,670.11","5,173,962,962.52"
偿还债务支付的现金,"24,000,000.00","342,507,718.74","359,570,000.00","422,670,000.00","792,670,000.00","955,000,000.00","467,670,000.00","765,170,000.00","1,085,170,000.00","1,392,670,000.00","130,000,000.00","658,199,983.80","1,289,700,000.00","1,797,700,000.00","150,000,000.00","397,000,000.00","697,000,000.00"
经营活动产生的现金流量净额,"178,023,245.20","110,797,277.68","192,325,525.16","-159,678,790.61","-264,130,563.88","30,752,260.20","-330,267,639.95","-364,606,729.68","-534,913,286.10","29,869,144.40","-280,415,503.91","-609,180,986.69","-650,865,937.51","-241,105,633.85","-65,725,631.80","-621,570,577.02","-643,063,766.92"
分配股利、利润或偿还利息支付的现金,"7,711,567.54","20,292,346.81","51,508,843.47","19,993,319.63","29,531,827.76","40,037,528.10","7,511,125.52","39,652,027.96","50,053,359.66","63,898,761.01","16,602,257.43","76,543,844.82","89,301,549.73","99,940,212.23","14,899,260.42","86,670,896.79","116,133,247.51"
收回投资收到的现金,,,,,,,,,,,"19,890,000.00","22,510,000.00","42,598,000.00","40,778,000.00",,,"1,000,000.00"
支付其他与筹资活动有关的现金,"104,304,222.60","192,151,657.66","49,751,257.72",,"41,271,458.33","2,518,347.21","51,349,526.06","51,349,526.06","102,911,186.07","121,111,186.07","94,000,000.00","141,456,388.88","202,211,388.88","306,757,051.74","150,000,000.00","354,472,027.78","505,260,684.41"
取得投资收益收到的现金,,,,,,"479,019.61",,,,,,,"4,100,968.21","6,720,968.21",,"623,811.15","723,811.15"
筹资活动现金流出小计,"136,015,790.14","554,951,723.21","460,830,101.19","442,663,319.63","863,473,286.09","997,555,875.31","526,530,651.58","856,171,554.02","1,238,134,545.73","1,577,679,947.08","240,602,257.43","876,200,217.50","1,581,212,938.61","2,204,397,263.97","314,899,260.42","838,142,924.57","1,318,393,931.92"
