科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"345,069,330.41","304,400,024.42","315,605,070.80","60,824,333.69","148,105,418.83",,"316,268,692.95","57,460,017.86","143,119,809.51","213,063,383.40","314,172,374.79","45,148,815.52","114,754,275.35","185,334,924.04","280,666,095.67","65,083,910.32","170,830,409.18","256,716,486.48","384,264,897.68","119,818,153.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,"1,050,000.00","6,495.09","6,495.09","6,495.09",,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"50,000,000.00","50,000,000.00","140,000,000.00","260,000,000.00","30,000,000.00","200,000,000.00","285,000,000.00","374,168,753.42",,,"144,000,000.00","232,800,000.00","55,270.80",
收到其他与经营活动有关的现金,"8,939,844.96","4,430,732.85","8,287,451.88","1,977,466.95","3,129,220.42",,"6,472,376.36","1,285,939.43","2,183,751.55","5,177,680.18","7,527,985.39","4,770,687.32","4,878,133.82","11,524,534.05","10,299,970.39","1,277,080.96","180,830,596.70","297,072,580.79","72,514,427.76","84,299,138.99"
投资活动现金流出小计,"37,199,415.09","8,455,674.52","33,840,655.39","7,291,678.49","18,711,695.45",,"77,291,279.57","57,733,844.36","147,296,621.08","278,103,687.80","48,845,579.82","200,204,844.61","311,798,980.65","403,517,837.21","588,659,128.31","80,069,997.13","154,259,056.26","244,488,620.15","320,468,018.98","115,539,751.41"
经营活动现金流入小计,"354,009,175.37","308,830,757.27","323,892,522.68","62,801,800.64","151,234,639.25","225,512,957.24","323,791,069.31","58,752,452.38","145,310,056.15","218,247,558.67","321,700,360.18","49,919,502.84","119,632,409.17","196,859,458.09","290,966,066.06","66,360,991.28","351,661,005.88","553,789,067.27","456,779,325.44","204,117,292.83"
投资活动产生的现金流量净额,"-37,199,415.09","-8,454,674.52","-33,836,155.39","-7,291,678.49","-18,711,695.45","-26,063,012.45","-77,291,279.57","-7,479,431.37","13,383,627.53","-17,162,370.70","-47,687,358.62","-84,652,652.82","-115,511,651.87","-125,906,301.78","-129,398,732.60","2,761,138.76","9,059,180.06","-19,658,217.99","48,365,455.59","13,514,321.45"
购买商品、接受劳务支付的现金,"205,850,805.43","200,975,241.38","184,088,855.29","38,237,930.48","96,564,716.53",,"205,228,967.51","57,648,246.74","112,320,784.07","146,378,744.42","192,985,026.39","41,114,642.48","77,998,110.16","120,279,673.79","159,573,385.37","60,889,654.31","138,912,132.28","184,318,393.33","260,739,110.18","111,243,777.92"
吸收投资收到的现金,,,,,,,"280,000,000.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"16,211,063.69","17,408,683.60","17,798,411.21","6,383,231.99","11,136,765.81",,"21,554,042.61","5,207,753.48","13,033,031.27","15,636,266.58","23,880,577.22","7,709,228.57","13,857,080.64","20,041,320.23","27,553,837.43","8,709,576.99","15,808,661.32","22,522,340.53","31,090,332.10","9,495,947.32"
取得借款收到的现金,"38,000,000.00","20,000,000.00",,,,,,,,,,,,,,,"11,740,523.00","11,740,523.00","11,740,523.00",
支付的各项税费,"40,073,484.18","29,609,170.76","32,210,654.65","8,145,363.24","16,172,721.67",,"32,820,100.34","5,662,071.80","16,469,530.58","22,176,918.68","27,530,337.45","6,730,919.15","12,967,944.89","19,122,471.22","26,402,978.50","8,080,587.37","17,474,527.72","24,961,072.12","34,261,916.65","7,390,861.70"
收到其他与筹资活动有关的现金,"1,166,793.11",,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"16,662,143.11","11,771,027.04","15,887,347.56","3,881,796.41","8,683,284.39",,"18,298,205.66","5,843,029.65","9,792,789.91","17,829,738.16","20,262,933.96","7,579,535.55","12,691,281.14","22,917,463.19","158,159,192.31","146,902,057.59","177,200,061.44","340,176,141.13","96,484,969.13","103,854,878.56"
筹资活动现金流入小计,"39,166,793.11","20,000,000.00",,,,,"280,000,000.00",,,,,,,,,,"11,740,523.00","11,740,523.00","11,740,523.00",
经营活动现金流出小计,"278,797,496.41","259,764,122.78","249,985,268.71","56,648,322.12","132,557,488.40","202,269,561.90","277,901,316.12","74,361,101.67","151,616,135.83","202,021,667.84","264,658,875.02","63,134,325.75","117,514,416.83","182,360,928.43","371,689,393.61","224,581,876.26","349,395,382.76","571,977,947.11","422,576,328.06","231,985,465.50"
偿还债务支付的现金,"43,000,000.00","34,000,000.00","10,000,000.00",,,,,,,,,,,,,,,"8,468,023.00","11,740,523.00",
经营活动产生的现金流量净额,"75,211,678.96","49,066,634.49","73,907,253.97","6,153,478.52","18,677,150.85","23,243,395.34","45,889,753.19","-15,608,649.29","-6,306,079.68","16,225,890.83","57,041,485.16","-13,214,822.91","2,117,992.34","14,498,529.66","-80,723,327.55","-158,220,884.98","2,265,623.12","-18,188,879.84","34,202,997.38","-27,868,172.67"
分配股利、利润或偿还利息支付的现金,"1,660,548.35","855,555.55","396,672.18",,,,,,"18,000,000.00","18,000,000.00","18,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00",,"15,029,882.86","15,173,565.27","115,995,076.51",
收回投资收到的现金,,,,,,,,,,,,,,,"452,000,000.00","82,000,000.00",,,"360,300,000.00","126,000,000.00"
支付其他与筹资活动有关的现金,"4,468,481.66",,,,,,"9,001,164.00",,,109.20,,,,,,,,,,
