科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,376,632,234.83","2,156,947,369.73","1,947,342,344.66","576,298,509.51","856,179,669.57","1,143,196,463.86","292,029,027.61","729,700,644.67","1,088,507,830.77","1,500,234,527.48","280,277,745.50","694,678,925.24","985,823,497.71","1,568,891,927.34","218,848,323.91","555,751,528.38","760,713,718.44","1,202,892,485.60","220,550,540.04","693,467,707.30","1,081,274,983.84","1,654,689,489.80","374,319,309.78","1,077,373,740.97","1,650,581,762.45"
二、营业利润,"97,309,244.45","151,428,691.67","240,044,945.59","151,434,783.50","226,840,854.95","327,672,785.20","70,981,122.48","175,690,775.49","271,044,448.89","439,411,491.87","70,141,438.59","141,020,321.94","188,561,564.02","298,605,111.94","81,042,027.66","122,008,134.52","167,763,735.36","349,768,490.71","70,002,699.00","131,427,188.23","230,877,784.39","364,228,466.58","81,358,342.91","149,946,287.57","240,758,102.63"
减:营业成本,"1,193,987,024.74","1,885,091,830.60","1,560,198,999.36","351,467,727.46","517,464,521.64","665,614,579.58","192,141,280.12","509,239,470.85","722,451,315.63","937,065,799.35","186,283,762.08","485,466,975.29","687,138,279.58","1,134,729,695.86","120,493,000.19","350,520,413.30","462,759,801.13","704,231,538.73","113,480,993.78","461,571,813.52","715,751,676.48","1,109,269,670.17","254,496,077.11","822,312,121.19","1,244,362,810.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,737,395.68","25,628,056.26","31,988,485.57","14,314,438.24","21,845,328.07","33,996,038.50","4,238,794.63","10,632,624.81","14,432,904.64","17,376,590.49","809,256.43","1,488,130.42","2,578,877.28","6,090,816.95","861,823.72","2,184,913.43","4,380,008.80","8,266,370.79","586,522.29","2,269,503.77","3,646,700.92","16,240,947.22","1,532,432.35","10,309,803.94","18,570,792.32"
营业外收入,"3,438,529.26","36,717,430.56","13,406,267.92","19,639,593.22","19,833,437.35","30,516,638.33","60,795.28","156,320.41","555,347.48","55,043,328.46","7,045,751.11","39,019,713.50","189,054,031.67","197,396,533.91","302,242.45","2,525,155.74","4,294,863.34","17,817,199.10","3,237,805.68","6,893,945.69","11,874,130.39","39,291,993.23","5,847,659.91","11,528,940.14","19,250,404.49"
销售费用,"21,912,940.85","29,826,230.67","28,909,293.55","14,085,290.48","22,783,220.71","33,010,870.47","6,943,400.50","13,506,293.23","22,410,671.19","33,104,584.16","8,249,272.03","16,856,671.38","24,862,421.71","35,074,796.76","9,311,451.99","18,978,315.57","28,360,152.77","38,823,775.90","8,788,267.06","23,631,028.37","35,124,815.53","50,637,050.03","7,925,403.47","25,719,112.44","41,341,768.42"
减:营业外支出,"325,562.37","365,035.75","794,964.16","1,225,302.71","1,305,082.93","1,359,148.38","274,915.63","299,115.59","313,779.27","1,361,063.00","317,158.81","394,958.62","672,529.03","1,259,105.64","67,951.85","120,484.19","699,899.10","839,328.90","151,962.84","829,680.97","1,111,995.56","1,670,200.54","32,474.48","213,368.92","1,669,983.56"
管理费用,"59,629,507.03","79,245,056.94","85,146,841.42","45,638,128.95","70,017,015.59","94,587,792.72","21,687,781.81","45,841,057.42","86,806,830.41","124,081,076.19","30,525,416.82","71,871,456.88","113,396,464.35","142,153,073.67","30,952,992.71","80,137,630.87","119,809,841.81","148,789,087.33","34,294,004.99","88,561,697.57","134,229,045.06","174,646,407.74","32,538,156.05","81,053,200.49","127,181,215.66"
其中:非流动资产处置净损失,,,,"6,898.44",,"24,248.05","1,690.40",,"18,240.24","755,216.53",,"4,305.86","170,879.07","295,745.42","14,819.99","17,746.95","27,449.73","27,449.73",,"19,221.83","37,417.91","151,192.15","13,667.64","181,046.20","1,188,028.48"
