科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"874,990,896.09","1,260,357,260.95","1,279,359,415.27","931,054,218.96","1,304,797,730.86","200,876,447.51","417,996,296.89","786,645,467.54","1,009,357,951.78","331,781,605.39","877,736,221.97","1,423,184,366.34","2,093,923,967.92","311,035,281.67","709,901,402.76","1,003,841,656.61","2,124,220,114.81","184,856,153.13","570,070,452.71","940,653,473.92","2,454,244,194.84","353,422,864.96","783,368,096.29","1,460,706,639.17","1,684,342,407.68","309,423,084.79","933,555,521.77","1,837,306,302.56","2,643,174,599.31","279,633,817.66","783,197,867.18","1,484,459,141.97","2,024,543,781.65","294,372,301.68","813,768,461.63","1,571,219,669.82","2,311,843,806.59","366,949,362.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,158,867.49","-3,158,867.49","-15,422.61",,,,,,,,,
收到的税费返还,,"8,445,600.00","449,000.00",,,,"3,898,430.00","4,242,525.22",,,,,,"3,207,100.00","3,207,100.00","5,597,100.00",,"4,240,100.00",,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,"40,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"80,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",
收到其他与经营活动有关的现金,"83,812,903.20","8,714,364.85","16,411,494.54","10,636,294.28","6,551,355.96","10,107,696.29","5,886,155.92","9,243,137.18","14,398,764.89","14,583,557.54","42,152,253.07","50,455,507.51","32,609,594.72","36,041,416.11","23,324,506.19","33,214,274.33","62,697,768.43","11,550,189.25","31,480,740.86","43,407,509.40","37,293,876.23","15,573,577.97","15,145,809.15","27,682,925.41","34,690,468.35","76,310,379.06","88,367,607.46","98,602,220.86","67,433,307.47","33,961,065.79","33,360,707.79","66,376,118.00","31,240,911.42","12,671,071.03","27,077,389.94","40,662,638.86","75,941,229.79","13,364,003.78"
投资活动现金流出小计,"45,322,077.43","44,325,477.99","35,001,490.64","85,254,083.97","86,818,086.79","3,867,249.12","54,219,190.37","95,665,576.83","212,915,487.60","81,176,767.58","198,398,489.55","306,476,231.64","388,293,522.72","43,763,197.58","133,964,640.00","170,239,842.21","259,222,027.36","28,794,962.87","43,370,799.50","63,843,712.74","228,092,400.61","114,352,770.16","129,110,341.72","281,337,968.16","525,312,459.28","422,772,347.79","1,068,290,205.95","1,521,244,941.68","2,970,217,752.37","995,236,250.58","2,677,016,854.53","3,820,153,157.44","4,649,158,644.38","103,663,861.02","273,665,190.34","311,143,475.19","302,359,913.39","39,585,340.64"
经营活动现金流入小计,"958,803,799.29","1,277,517,225.80","1,296,219,909.81","941,690,513.24","1,311,349,086.82","210,984,143.80","427,780,882.81","800,131,129.94","1,023,756,716.67","346,365,162.93","919,888,475.04","1,473,639,873.85","2,126,533,562.64","350,283,797.78","736,433,008.95","1,042,653,030.94","2,186,917,883.24","200,646,442.38","601,551,193.57","984,060,983.32","2,491,538,071.07","368,996,442.93","798,513,905.44","1,488,389,564.58","1,719,032,876.03","385,733,463.85","1,021,923,129.23","1,935,908,523.42","2,710,607,906.78","313,594,883.45","816,558,574.97","1,550,835,259.97","2,055,784,693.07","307,043,372.71","840,845,851.57","1,611,882,308.68","2,387,785,036.38","380,313,366.17"
投资活动产生的现金流量净额,"-45,003,057.43","-43,526,500.18","-14,951,490.64","-65,142,129.59","-55,162,728.56","-3,867,249.12","-54,057,190.37","-95,503,576.83","-212,756,179.91","-81,170,767.58","-198,375,189.55","-306,443,431.64","-388,050,546.76","-42,721,197.58","-133,920,940.00","-170,196,142.21","-259,001,537.36","-28,794,962.87","-43,370,799.50","-63,843,712.74","-228,092,400.61","-114,342,770.16","-129,100,341.72","-281,327,968.16","-525,018,708.58","-210,476,197.11","-443,344,942.94","-544,007,341.07","-979,528,551.12","192,069,995.16","239,981,165.28","136,583,805.09","527,646,580.02","17,804,522.54","-152,196,253.54","-185,936,279.42","-176,456,566.35","-39,585,340.64"
购买商品、接受劳务支付的现金,"734,615,862.65","1,061,637,208.23","909,729,858.39","767,041,915.91","1,105,347,131.61","377,893,280.29","516,112,092.78","997,301,508.81","1,267,947,505.54","348,035,273.41","711,084,967.11","954,342,569.37","1,805,907,359.87","252,166,806.96","436,009,480.97","554,276,332.98","1,849,303,587.97","336,490,083.62","499,637,682.13","555,552,818.09","2,147,545,924.74","192,031,048.04","493,936,485.23","759,026,655.92","914,877,835.09","563,790,637.09","832,433,143.62","1,335,739,153.08","1,682,912,251.91","433,720,105.79","818,515,533.65","1,324,143,832.80","1,549,349,312.87","314,814,644.93","776,549,701.29","1,409,135,154.52","1,681,145,769.79","353,160,765.71"
吸收投资收到的现金,,,,,,"988,000,000.00","951,120,000.00","951,120,000.00","941,668,188.41",,,,,"-50,000,000.00",,,,,,,,,,"1,029,619,999.84","1,027,528,097.84",,,,,,,,,,,,,
