科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"79,579,868.75","105,076,822.57","116,949,109.52","497,001,957.09","361,703,813.70","300,631,367.58","297,513,580.27","360,896,464.52","408,894,076.29","356,944,013.07","247,420,733.61","296,325,115.86","433,293,051.01","443,583,568.17"
短期借款,"40,000,000.00","28,000,000.00","21,000,000.00","700,000.00",,,,"100,128,560.00","174,128,560.00","53,000,000.00",,"30,000,000.00","40,000,000.00","70,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"500,000.00","1,140,000.00","2,885,040.00","2,099,126.40","3,243,600.00","2,082,000.00","4,707,402.71","2,395,609.00","1,136,587.50","2,171,215.80","2,740,035.00","7,944,632.50","2,761,392.05","2,493,700.00"
应付票据,,,"11,750,000.00","15,050,000.00","15,000,000.00","16,350,000.00","17,200,000.00","19,600,000.00","28,700,000.00","36,590,000.00","31,830,000.00","31,530,000.00","46,528,124.53","65,741,644.53"
应收账款,"25,061,090.15","53,159,815.71","76,007,147.79","101,638,640.15","94,683,054.55","94,722,623.66","101,127,515.16","105,245,791.90","149,114,757.26","167,219,853.59","177,719,766.58","250,778,399.51","294,200,379.77","323,875,149.03"
应付账款,"37,961,409.50","46,957,775.05","59,937,200.79","48,885,067.98","78,032,734.16","85,468,676.23","105,973,933.26","96,470,384.99","105,217,707.79","114,533,735.50","148,458,147.13","148,500,008.46","164,380,657.90","185,558,162.21"
预付款项,"2,768,621.20","1,929,066.91","2,056,647.51","2,542,802.27","6,794,563.75","1,972,699.33","5,553,446.74","8,064,201.84","4,839,713.01","5,144,283.05","7,259,234.97","6,113,536.93","5,285,783.97","7,003,994.54"
预收款项,"5,638,465.68","9,383,157.59","4,651,628.86","7,142,692.02","3,580,145.31","3,238,546.55","7,818,450.32","5,135,323.62","5,754,324.23","9,205,321.78","10,288,935.67","10,387,421.66","7,143,125.73","4,677,476.74"
其他应收款,"2,143,746.68","3,994,332.04","4,011,904.06","5,956,322.75","2,055,364.08","5,119,686.26","4,245,819.21","37,006,430.49","80,940,213.41","4,058,009.23","1,015,769.66","2,287,706.56","11,778,592.60","11,977,873.58"
应付职工薪酬,"197,150.68","1,502,140.51","2,099,776.32","1,809,482.52","1,806,994.46","2,188,437.75","3,031,646.60","3,156,275.40","2,585,800.97","1,374,862.04","5,989,988.37","5,380,970.92","8,426,052.14","5,993,446.36"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"10,942,346.80","17,000,455.19","17,002,755.92","16,165,773.52","11,562,250.05","13,899,978.22","17,652,835.12","9,331,815.61","13,081,857.75","21,085,935.98","26,049,828.14","27,045,474.40","30,207,209.00","43,035,437.88"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"74,076,183.17","84,249,057.15","88,522,371.22","95,866,019.20","103,646,817.86","124,383,210.23","137,707,371.21","156,717,341.69","156,763,349.60","164,861,090.72","179,108,331.78","178,084,596.49","195,906,013.57","206,107,097.65"
其他应付款,"455,818.17","940,154.15","965,675.53","11,111,911.72","8,960,446.24","8,033,402.21","5,795,464.17","4,966,401.97","4,552,033.96","39,989,315.69","50,448,629.48","51,983,736.92","33,535,318.83","61,666,613.13"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,"105,644,280.08","120,706,983.60","77,582,378.81","125,869,915.90"
一年内到期的非流动负债,,,,,,,,,,,,,"12,206,107.00","16,820,600.44"
其他流动资产,"1,740.59","732,672.53","4,068,266.79","11,016,457.75","154,426,096.11","233,635,172.20","265,545,991.82","152,535,733.19","163,153,669.79","34,063,684.96","123,830,833.62","20,459,005.30","10,352,504.25","15,663,692.39"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"184,131,250.54","250,281,766.91","294,500,486.89","716,121,325.61","726,553,310.05","762,546,759.26","816,401,127.12","822,861,572.63","964,842,366.86","734,462,150.42","844,738,985.30","882,699,976.75","1,031,160,096.03","1,136,574,991.26"
流动负债合计,"95,195,190.83","103,783,682.49","117,407,037.42","100,864,927.76","118,942,570.22","129,179,040.96","157,472,329.47","238,788,761.59","334,020,284.70","275,779,170.99","273,065,528.79","304,827,612.36","342,426,595.13","453,493,381.29"
可供出售金融资产,,,,,,,"2,000,000.00","2,000,000.00","107,030,937.50","107,030,937.50","105,030,937.50","105,030,937.50","105,030,937.50","105,030,937.50"
长期借款,,,,,,,,,,,,"32,267,822.00","17,107,457.00","18,396,197.45"
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,"225,219,384.02","150,656,110.32","143,765,102.34","70,888,500.95","145,568,114.06"
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,"2,000,000.00",,"105,030,937.50",,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,"427,750.33","819,454.02","1,324,705.08","1,214,833.74","1,396,746.06","1,691,354.70","1,945,848.93","1,689,306.86","2,119,877.50","1,314,529.72","894,550.64","632,695.44","1,245,246.97","796,775.34"
固定资产,"63,720,231.51","65,945,621.20","60,910,695.16","59,522,623.78","174,755,342.31","216,025,660.40","214,885,153.07","213,772,218.52","213,161,231.59","212,852,965.98","214,246,383.74","210,618,440.33","213,608,231.49","210,535,639.03"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"14,805,873.00","41,354,765.82","102,049,165.63","115,550,795.50","38,193,331.24","5,128,224.20","6,186,751.53","6,879,051.53","7,269,889.00","6,021,965.79","5,690,085.68","5,798,345.32","1,094,630.63","12,813,022.87"
其他非流动负债,,"13,300,000.00","13,300,000.00","13,300,000.00",,"13,189,166.67",,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"427,750.33","14,119,454.02","14,624,705.08","14,514,833.74","14,696,746.06","14,880,521.37","14,802,515.60","14,213,473.53","14,311,544.17","13,174,186.39","12,421,217.31","44,094,684.11","29,214,370.64","29,722,139.46"
固定资产清理,,,,,,,,,,,,,,
负债合计,"95,622,941.16","117,903,136.51","132,031,742.50","115,379,761.50","133,639,316.28","144,059,562.33","172,274,845.07","253,002,235.12","348,331,828.87","288,953,357.38","285,486,746.10","348,922,296.47","371,640,965.77","483,215,520.75"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"48,750,000.00","48,750,000.00","48,750,000.00","65,000,000.00","65,000,000.00","162,500,000.00","162,500,000.00","162,500,000.00","162,500,000.00","162,500,000.00","162,500,000.00","162,500,000.00","162,500,000.00","162,500,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"62,740,389.22","62,740,389.22","62,740,389.22","486,364,675.05","486,364,675.05","388,864,675.05","388,864,675.05","388,864,675.05","388,864,675.05","388,864,675.05","388,864,675.05","388,864,675.05","388,864,675.05","388,864,675.05"
无形资产,"30,893,606.84","35,264,027.74","34,514,142.82","34,326,671.59","51,101,369.97","50,857,777.32","50,515,578.88","50,208,310.90","49,901,042.92","49,593,774.94","49,406,053.84","148,229,312.32","147,454,770.67","146,680,229.02"
盈余公积,"8,796,053.71","17,147,227.67","26,355,900.00","26,355,900.00","26,355,900.00","26,355,900.00","39,017,774.24","39,017,774.24","39,017,774.24","39,017,774.24","56,462,888.84","56,462,888.84","56,462,888.84","56,462,888.84"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,
未分配利润,"76,932,671.32","147,069,566.83","222,309,024.62","237,185,794.42","275,991,401.20","307,543,761.18","320,593,389.17","349,412,369.87","397,497,174.18","446,868,665.80","470,618,089.47","537,783,341.61","590,891,793.27","668,838,399.18"
长期待摊费用,,,,,,,"698,954.63","629,059.16","559,163.69",,"54,348.65","54,807.16","119,814.05","208,476.71"
少数股东权益,,,,,"6,009,341.55","6,030,823.31","6,016,240.92","6,011,340.43","6,042,143.08","6,217,953.10",,,,
递延所得税资产,"679,009.99","3,136,896.55","3,427,307.24","3,454,217.81","3,426,361.16","3,494,661.36","2,258,170.30","2,332,596.76","2,436,732.13","1,521,073.76","657,526.92","616,036.10","735,328.82","516,045.44"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,"1,000.00","349,660.00","908,969.20","5,818,728.00","4,351,907.60","568,000.00","1,984,700.00","1,186,400.00","3,557,860.00","2,658,560.00","811,675.00","5,234,240.00","8,163,140.00","9,909,640.00"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"110,099,721.34","146,050,971.31","201,810,280.05","218,673,036.68","271,828,312.28","278,074,323.28","278,529,308.41","382,038,574.37","383,916,856.83","604,898,661.99","526,553,121.65","619,347,221.07","547,095,354.11","631,262,104.63"
