科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,098,893,604.19","1,633,075,388.76","2,198,391,064.13","1,228,895,595.82","2,950,500,412.75","672,955,315.99","1,715,747,106.36","3,117,002,328.61","4,234,326,436.49","1,155,328,443.64","3,028,186,114.72","6,625,122,422.67","8,190,922,850.26","2,105,796,922.34","4,517,287,265.35","8,149,368,423.79","9,960,920,718.86","2,374,962,753.31","5,482,026,050.29","9,479,181,750.79","12,151,477,784.09","2,647,273,520.55","5,933,507,746.82","9,627,195,202.63","12,147,488,370.02","2,729,445,581.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"-8,103,421.13","-62,752,755.32","-62,752,755.32","-38,456,015.77","-35,863,271.83","9,361,429.20","13,296,851.32","13,296,851.32","15,215,293.36",,"-6,957,423.07","140,725,906.61","240,151,307.83","7,350,869.49","22,170,869.49","22,170,869.49","-456,751.29",
收到的税费返还,,,,,,,,,,,,,,,,,,,,"10,686,968.42","12,209,894.33","88,670.30","88,670.30","117,595.19","88,670.30",
支付其他与投资活动有关的现金,,,,,,,,,"47,850,000.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,105,898.41","23,944,231.18","15,437,804.25","35,947,924.65","53,170,754.25","11,545,555.00","33,380,748.10","67,466,480.60","50,818,005.67","29,698,931.10","41,705,796.77","66,950,083.33","99,147,318.84","32,671,825.31","39,265,679.54","60,640,438.72","79,490,351.92","32,312,116.08","40,711,621.28","92,889,555.15","50,974,859.86","26,022,396.47","43,075,763.66","67,700,497.85","199,127,394.95","33,715,432.48"
投资活动现金流出小计,"377,663.83","1,310,753.82","10,965,042.24","2,852,104.20","7,853,951.16","1,619,219.22","4,483,039.28","53,793,240.70","111,503,977.61","-7,712,643.35","40,720,922.66","113,319,414.30","246,280,936.44","190,982,575.42","219,987,398.56","231,931,493.24","303,581,221.80","60,525,203.83","71,309,140.64","226,607,628.45","415,141,359.42","68,708,462.75","407,355,910.61","734,380,396.23","1,064,101,020.75","2,199,934.43"
经营活动现金流入小计,"1,117,999,502.60","1,657,019,619.94","2,213,828,868.38","1,264,843,520.47","3,003,671,167.00","684,500,870.99","1,749,127,854.46","3,184,468,809.21","4,285,144,442.16","1,185,027,374.74","3,069,891,911.49","6,692,072,506.00","8,290,070,169.10","2,139,370,845.61","4,560,000,922.54","8,216,006,348.98","10,048,135,220.85","2,410,272,463.49","5,525,952,793.20","9,594,662,907.11","12,227,678,410.74","2,687,467,674.31","6,000,142,634.82","9,738,792,690.94","12,401,049,886.34","2,774,303,037.26"
投资活动产生的现金流量净额,"-375,963.83","-1,227,703.82","-10,955,892.24","-2,849,204.20","-7,843,351.16","-1,361,219.22","-4,108,135.32","-45,959,006.26","-111,245,977.61","7,724,203.35","-40,708,862.66","-113,305,254.30","-246,185,374.22","-190,982,375.42","-201,986,698.56","-213,930,793.24","-285,356,921.80","53,722,036.22","42,940,099.41","-111,337,281.85","-244,051,783.82","24,190,773.48","-179,874,992.68","-502,201,091.00","-606,164,418.70","8,710,846.92"
购买商品、接受劳务支付的现金,"1,003,639,338.45","1,473,530,633.66","1,956,215,617.16","1,070,782,899.60","2,618,413,677.04","762,787,410.73","1,547,706,142.17","2,927,514,365.08","3,827,995,232.68","1,146,798,036.82","2,926,263,570.90","6,150,348,667.92","7,442,868,044.75","2,213,813,025.52","4,260,456,983.96","7,450,059,567.01","8,926,508,647.16","2,191,928,694.42","4,666,506,848.88","8,188,159,018.05","10,693,177,551.15","2,675,951,814.52","5,581,966,816.31","8,761,962,678.14","11,276,077,729.14","2,335,273,622.57"
吸收投资收到的现金,"32,000,000.00",,,,,"158,107,922.12","156,718,579.72","156,718,579.72","190,170,579.72","203,989,654.79","211,423,705.34","211,423,705.34","211,423,705.34",,"104,354,351.00","103,959,001.09","104,308,664.13",,"-2,831,324.40","-73,917,373.40","9,247,988.60",,"-1,216,900.00","-4,450,648.00","11,887,801.37","65,100.00"
支付给职工以及为职工支付的现金,"21,302,216.86","29,177,599.27","57,437,085.23","35,160,838.29","80,508,918.10","25,260,470.95","52,537,359.38","84,227,542.68","110,118,236.91","42,239,851.36","95,608,498.06","177,905,662.55","249,078,976.10","87,318,798.02","172,506,802.98","266,377,493.38","357,493,136.03","106,523,201.43","212,603,201.92","333,576,263.79","439,743,188.94","136,792,268.82","275,713,135.50","423,594,131.06","574,727,726.83","159,181,066.30"
取得借款收到的现金,"14,000,000.00","20,000,000.00","40,000,000.00","20,000,000.00","50,000,000.00","29,000,000.00","49,000,000.00","67,630,000.00","155,670,000.00","132,814,070.02","282,437,204.81","549,854,188.24","980,894,350.05","203,855,447.50","570,918,258.33","845,849,871.88","1,014,709,150.86","110,000,000.00","519,147,800.24","625,456,227.26","839,754,585.11","275,967,400.00","578,611,240.20","721,840,847.45","975,622,979.84","641,446,950.00"
支付的各项税费,"18,508,929.79","24,742,863.03","27,380,760.49","16,863,820.52","51,961,885.08","7,127,700.60","18,061,635.92","34,002,320.11","62,887,777.40","10,817,860.86","39,148,015.42","75,785,192.25","125,209,356.06","23,084,919.33","48,823,682.39","87,026,283.67","115,866,669.33","32,961,630.10","61,879,030.01","103,282,187.24","123,923,653.23","39,079,242.15","71,219,246.10","104,528,124.91","129,958,156.04","71,305,258.28"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"54,212,801.00","76,853,630.68","110,281,582.83","69,747,394.12","184,555,641.46","38,289,272.77","112,071,945.67","183,180,395.13","214,687,562.77","98,622,147.30","146,504,632.50","377,248,959.58","372,106,334.51","196,483,287.15","360,499,777.20","491,382,768.63","517,565,534.41","279,884,520.93","519,821,476.60","599,907,789.62","649,851,934.92","324,433,514.90","383,719,635.53","590,027,383.21","403,464,603.87","359,221,481.67"
筹资活动现金流入小计,"46,000,000.00","20,000,000.00","40,000,000.00","20,000,000.00","50,000,000.00","187,107,922.12","205,718,579.72","224,348,579.72","345,840,579.72","336,803,724.81","493,860,910.15","761,277,893.58","1,192,318,055.39","203,855,447.50","675,272,609.33","949,808,872.97","1,119,017,814.99","110,000,000.00","516,316,475.84","551,538,853.86","1,539,132,573.71","275,967,400.00","577,394,340.20","717,390,199.45","987,510,781.21","641,512,050.00"
经营活动现金流出小计,"1,097,663,286.10","1,604,304,726.64","2,151,315,045.71","1,192,554,952.53","2,935,440,121.68","833,464,855.05","1,730,377,083.14","3,228,924,623.00","4,215,688,809.76","1,298,477,896.34","3,207,524,716.88","6,781,288,482.30","8,277,562,711.42","2,532,420,380.86","4,947,619,298.55","8,349,789,018.98","9,997,747,561.01","2,625,049,194.58","5,522,789,938.84","9,264,476,794.52","12,034,739,933.35","3,102,694,845.67","6,311,844,891.92","9,861,069,324.45","12,403,564,581.73","2,912,219,296.09"
偿还债务支付的现金,"14,000,000.00","10,000,000.00","30,000,000.00","20,000,000.00","70,000,000.00","20,000,000.00","49,000,000.00","67,630,000.00","149,530,000.00","6,140,000.00","96,140,000.00","325,653,728.24","396,555,450.00","30,000,000.00","253,000,208.49","633,547,637.51","839,294,797.87","150,607,524.00","523,281,772.16","688,233,227.04","1,008,896,259.38","131,015,676.86","390,900,793.84","445,636,660.38","722,972,403.54","381,564,492.24"
经营活动产生的现金流量净额,"20,336,216.50","52,714,893.30","62,513,822.67","72,288,567.94","68,231,045.32","-148,963,984.06","18,750,771.32","-44,455,813.79","69,455,632.40","-113,450,521.60","-137,632,805.39","-89,215,976.30","12,507,457.68","-393,049,535.25","-387,618,376.01","-133,782,670.00","50,387,659.84","-214,776,731.09","3,162,854.36","330,186,112.59","192,938,477.39","-415,227,171.36","-311,702,257.10","-122,276,633.51","-2,514,695.39","-137,916,258.83"
分配股利、利润或偿还利息支付的现金,"14,282,974.73","13,456,278.16","816,612.50","561,244.45","843,577.78","123,200.00","11,225,296.97","12,480,070.94","12,574,343.00","1,132,137.42","14,590,004.63","18,704,736.07","22,891,558.44","5,980,259.71","34,590,866.85","45,023,777.42","55,270,765.61","9,719,115.60","39,268,722.50","46,949,981.62","54,405,805.10","7,160,780.80","40,381,892.44","65,670,501.92","103,011,645.83","14,928,980.54"
收回投资收到的现金,,,,,,,,,,,,,,,,,"15,000,000.00","113,960,001.00","113,960,001.00","113,016,207.55","168,133,432.55","86,552,400.00","203,503,028.63","205,803,028.63","424,129,431.93","10,552,922.62"
支付其他与筹资活动有关的现金,,"2,694,406.78","633,691.73","400,000.00","845,351.70",,,,,,,,,"340,704.00",,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"3,000,000.00","287,239.05","287,239.05","287,239.05","2,940,843.05","6,259,236.23","24,904,588.12","27,302,975.42","37,232,337.52","357,208.73"
筹资活动现金流出小计,"28,282,974.73","26,150,684.94","31,450,304.23","20,961,244.45","71,688,929.48","20,123,200.00","60,225,296.97","80,110,070.94","162,104,343.00","7,272,137.42","110,730,004.63","344,358,464.31","419,447,008.44","36,320,963.71","287,591,075.34","678,571,414.93","894,565,563.48","160,326,639.60","562,550,494.66","735,183,208.66","1,063,302,064.48","138,176,457.66","431,282,686.28","511,307,162.30","825,984,049.37","396,493,472.78"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,700.00","83,050.00","9,150.00","2,900.00","10,600.00","258,000.00","258,000.00","258,000.00","258,000.00","11,560.00","12,060.00","14,160.00","95,562.22",200.00,700.00,700.00,"224,300.00",,"2,000.00","6,900.00","15,300.00","87,600.00","177,001.72","177,001.72","180,587.35",650.00
筹资活动产生的现金流量净额,"17,717,025.27","-6,150,684.94","8,549,695.77","-961,244.45","-21,688,929.48","166,984,722.12","145,493,282.75","144,238,508.78","183,736,236.72","329,531,587.39","383,130,905.52","416,919,429.27","772,871,046.95","167,534,483.79","387,681,533.99","271,237,458.04","224,452,251.51","-50,326,639.60","-46,234,018.82","-183,644,354.80","475,830,509.23","137,790,942.34","146,111,653.92","206,083,037.15","161,526,731.84","245,018,577.22"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"18,000,000.00","18,000,000.00",,,,"1,960,000.00",,,"-1,103,700.54","-1,103,700.54","-3,605,754.75",
四、汇率变动对现金的影响,"-448,444.53","-443,509.37","-1,167,423.85","-27,967.10","59,845.00","14,954.94","-36,229.91","-1,175,583.47","294,526.66","-267,160.58","-347,268.29","1,505,986.46","3,642,870.78","410,534.23","3,199,253.75","1,890,092.92","-345,095.73","941,649.64","3,177,027.33","4,728,623.74","9,872,571.35","-995,600.52","-112,754.98","2,302,997.29","1,795,434.89","-1,493,198.14"
收到其他与投资活动有关的现金,,,,,,,"116,903.96","7,576,234.44",,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,700.00","83,050.00","9,150.00","2,900.00","10,600.00","258,000.00","374,903.96","7,834,234.44","258,000.00","11,560.00","12,060.00","14,160.00","95,562.22",200.00,"18,000,700.00","18,000,700.00","18,224,300.00","114,247,240.05","114,249,240.05","115,270,346.60","171,089,575.60","92,899,236.23","227,480,917.93","232,179,305.23","457,936,602.05","10,910,781.35"
五、现金及现金等价物净增加额,"37,228,833.41","44,892,995.17","58,940,202.35","68,450,152.19","38,758,609.68","16,674,473.78","160,099,688.84","52,648,105.26","142,240,418.17","223,538,108.56","204,441,969.18","215,904,185.13","542,836,001.19","-416,086,892.65","-198,724,286.83","-74,585,912.28","-10,862,106.18","-210,439,684.83","3,045,962.28","39,933,099.68","434,589,774.15","-254,241,056.06","-345,578,350.84","-416,091,690.07","-445,356,947.36","114,319,967.17"
购建固定资产、无形资产和其他长期资产支付的现金,"377,663.83","1,310,753.82","10,965,042.24","2,852,104.20","7,853,951.16","1,619,219.22","4,483,039.28","5,943,240.70","10,757,398.74","1,421,311.97","5,157,177.98","6,364,438.74","29,967,151.98","1,295,071.22","8,741,019.34","20,685,114.02","79,626,289.49","7,425,202.83","16,354,851.12","23,777,009.25","54,670,622.19","9,446,093.26","19,263,848.58","94,727,617.54","124,325,346.81","1,022,839.43"
期初现金及现金等价物余额,"78,243,373.08","115,472,206.49","160,365,201.66","219,305,404.01","219,305,404.01","258,064,013.69","258,064,013.69","258,064,013.69","258,064,013.69","400,304,431.86","400,304,431.86","400,304,431.86","400,304,431.86","943,140,433.05","943,140,433.05","943,140,433.05","943,140,433.05","932,278,326.87","932,278,326.87","932,278,326.87","932,278,326.87","1,366,868,101.02","1,366,868,101.02","1,366,868,101.02","1,366,868,101.02","921,511,153.66"
投资支付的现金,,,,,,,,"47,850,000.00","61,000,000.00","53,618,800.00","98,316,500.00","145,410,991.33","252,177,056.29","180,326,075.00","197,949,527.90","197,949,527.90","208,739,638.95","53,100,001.00","61,911,712.59","62,104,712.59","120,319,429.40","51,911,500.00","365,921,192.54","617,481,909.20","940,232,425.23","1,177,095.00"
期末现金及现金等价物余额,"115,472,206.49","160,365,201.66","219,305,404.01","287,755,556.20","258,064,013.69","274,738,487.47","418,163,702.53","310,712,118.95","400,304,431.86","623,842,540.42","604,746,401.04","616,208,616.99","943,140,433.05","527,053,540.40","744,416,146.22","868,554,520.77","932,278,326.87","721,838,642.04","935,324,289.15","972,211,426.55","1,366,868,101.02","1,112,627,044.96","1,021,289,750.18","950,776,410.95","921,511,153.66","1,035,831,120.83"
