科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"424,688,291.01","433,939,066.75","522,338,861.48","446,020,079.95","1,580,382,645.46","1,652,352,004.79","1,050,126,284.04","1,002,337,540.01","585,275,924.91","596,886,564.60","714,668,177.84","794,678,338.72","573,443,822.69","472,633,926.26","655,141,703.51","481,367,294.73"
短期借款,"451,000,000.00","271,300,000.00","5,000.00",,,"138,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"2,908,392.91","1,070,000.00","2,455,000.00","1,450,000.00","2,175,000.00","65,000.00","305,164.00","250,000.00","1,830,000.00","2,519,483.96","2,492,369.56",,"3,300,000.00","3,500,000.00","166,046.00","2,300,000.00"
应付票据,"205,725,682.41","145,684,857.68","218,088,129.82","256,296,695.40","129,751,229.41","174,084,403.14","234,248,421.73","212,943,484.54","132,070,760.59","103,596,073.19","181,250,954.01","177,886,564.00","131,640,935.00","125,669,164.17","174,503,828.00","186,844,170.00"
应收账款,"292,844,974.37","410,784,268.88","398,784,071.47","429,504,813.52","314,976,287.61","468,063,055.42","366,854,304.07","425,963,825.88","320,331,869.07","398,180,706.12","340,395,741.42","421,150,871.03","381,747,194.45","573,467,155.60","502,684,424.92","575,916,855.39"
应付账款,"383,288,814.02","483,417,014.84","613,702,021.24","375,957,224.49","417,700,424.73","571,078,624.80","626,591,025.46","440,124,583.92","401,632,514.39","597,537,377.40","716,509,755.51","502,187,664.15","486,411,209.38","562,191,562.88","628,961,774.37","507,387,331.34"
预付款项,"32,513,782.40","28,804,044.85","28,528,155.33","26,743,765.72","34,344,057.96","34,313,083.85","30,351,075.94","31,973,545.17","31,272,753.42","30,590,087.90","32,433,864.90","36,191,754.08","33,560,676.33","60,729,622.02","43,269,978.05","54,441,435.46"
预收款项,"24,021,953.66","23,548,187.15","28,257,899.48","44,181,901.65","67,001,000.98","55,634,135.87","51,902,392.84","64,794,251.81","62,657,690.43","59,246,821.60","40,224,958.41","44,034,823.60","31,106,393.13","19,830,866.98","16,255,057.72","38,826,495.84"
其他应收款,"19,336,022.50","11,542,697.23","10,436,490.37","14,007,533.90","11,634,569.25","12,081,373.38","8,431,701.13","11,796,829.37","42,592,198.07","17,344,169.74","16,588,231.20","18,601,822.75","19,256,160.92","26,956,524.64","64,035,184.25","78,725,102.88"
应付职工薪酬,"74,795,395.83","71,387,015.32","67,226,522.15","51,399,540.63","45,438,750.32","57,509,402.89","60,982,544.01","50,379,259.39","38,519,800.62","47,039,575.71","64,833,285.02","40,908,882.88","43,243,330.75","49,694,379.17","71,624,881.02","39,613,990.18"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"61,106,260.95","57,538,355.56","66,737,169.37","48,270,242.21","39,711,363.22","68,635,574.93","51,510,507.29","50,841,967.15","33,366,746.33","41,557,360.47","83,407,857.87","63,863,849.92","32,646,131.99","79,803,929.12","72,977,882.51","61,602,190.00"
应收利息,,,,,,"5,291,301.50",,,,,,,,,,
应付利息,"1,020,903.68","819,763.49","98,432.58",,,"323,150.00","1,661.46","1,661.46","1,510.42",,,,,,,
应收股利,,,,,,,,,,,,,,"200,000.00",,
应付股利,,,,,,,,,"32,704,000.00",,,,"102,200,000.00",,,
存货,"606,356,763.42","622,758,153.30","629,348,583.45","512,996,287.43","483,984,482.48","658,773,186.82","716,942,776.85","664,448,662.45","670,093,411.17","864,811,576.94","958,007,546.10","868,814,734.57","852,045,895.18","891,199,136.87","885,504,236.12","760,919,463.19"
其他应付款,"22,556,009.93","35,712,803.56","35,017,918.37","35,879,502.66","51,177,048.02","40,400,904.21","65,995,146.54","72,727,799.58","79,591,502.58","79,329,018.98","95,098,953.82","97,877,522.61","107,198,985.62","181,112,068.64","186,442,222.04","185,631,254.13"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,"212,567.24",,,,"97,456.92","97,456.92",,,,
一年内到期的非流动负债,"68,200,000.00",,,,,,,,,,,,,,,
