科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"225,564,524.90","164,466,834.93","262,744,361.02","331,717,658.87","493,642,402.56","1,248,557,884.16","841,109,146.49","688,756,277.71","855,773,614.76","885,826,038.99","835,770,232.54","933,015,876.24"
短期借款,"54,872,100.00","208,306,300.00","132,468,000.00","122,344,421.37","100,000,000.00","130,010,000.00","92,010,000.00","49,000,000.00","70,000,000.00","31,000,000.00","70,000,000.00","241,979,000.63"
交易性金融资产,"60,366,794.13","16,462,876.10",,,,,,,,"301,099,459.67","250,591,820.78",
交易性金融负债,,,"29,333,610.63","37,708,308.72","56,501,768.00",,,,,,,"6,561,000.00"
应收票据,"800,000.00",,,,,,,,,,,"50,000.00"
应付票据,"124,890,000.00","80,510,000.00","108,827,275.00","116,958,000.00","135,333,053.74","180,551,873.00","127,373,398.79","158,274,072.34","146,564,831.48","171,185,553.73","102,106,606.56","99,795,152.88"
应收账款,"104,501,449.23","179,008,522.80","218,724,890.39","261,465,136.10","271,955,503.74","340,975,820.13","354,149,393.86","448,472,377.24","399,944,616.57","427,674,038.71","439,398,668.44","600,423,147.88"
应付账款,"183,913,851.59","207,862,217.72","283,003,569.68","323,964,944.16","341,451,064.21","440,574,798.66","480,863,703.67","443,096,578.70","432,368,885.27","548,613,022.15","515,302,663.23","644,113,928.08"
预付款项,"17,441,986.17","21,879,170.04","26,825,486.62","41,367,917.28","49,149,250.51","50,026,723.45","60,933,940.76","52,929,971.12","54,641,111.20","35,827,779.99","44,360,345.21","47,772,284.21"
预收款项,"200,601,859.88","177,986,487.43","258,178,713.71","262,708,588.03","399,982,343.21","654,583,645.48","566,934,931.84","550,953,952.84","679,227,848.03","960,078,007.65","622,899,062.60","546,375,047.07"
其他应收款,"19,440,447.13","44,679,775.19","53,242,435.60","47,942,067.57","56,152,704.65","54,813,040.11","53,080,606.31","53,002,791.45","61,430,686.45","53,801,274.88","74,795,327.80","59,834,119.76"
应付职工薪酬,"43,830,728.44","60,615,202.02","74,509,018.66","64,745,056.47","78,399,755.13","119,159,245.83","106,097,106.82","122,591,579.14","149,556,898.49","155,351,075.00","136,800,176.26","190,663,103.35"
应收关联公司款,,,,,,,,,,,,
应交税费,"57,954,551.92","83,884,806.50","68,945,190.78","67,852,283.44","65,030,815.53","71,663,861.40","87,271,086.70","83,703,278.86","66,317,768.19","79,986,071.19","126,566,320.82","86,859,135.00"
应收利息,,,,,,,,,,"8,041,217.66","6,541,217.66",
应付利息,"206,303.55","1,496,285.87","675,701.09","794,249.47","889,802.81","141,157.50","104,219.96","72,439.59","101,750.01","47,128.12","111,925.01","3,473,889.90"
应收股利,,,"867,000.00",,,,,,,,,
应付股利,,,,,,,,,,,,"830,900.00"
存货,"374,660,193.00","524,797,293.92","446,236,597.61","505,201,139.87","578,608,017.35","683,492,121.76","751,991,274.13","719,983,947.40","702,117,889.19","878,361,478.20","788,363,803.59","841,948,123.58"
其他应付款,"47,115,292.02","83,318,079.51","105,824,028.99","131,052,715.36","118,352,023.64","170,305,959.10","171,799,295.18","140,009,750.66","211,281,355.26","576,292,733.13","577,214,897.94","655,888,307.27"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,"1,459,199.69",,"978,740.41",,,,,,,"2,161,382.82",,
一年内到期的非流动负债,,,"100,000,000.00","114,300,000.00","85,700,000.00",,,,,,,
其他流动资产,"181,371,297.53","121,501,805.70","99,637,206.49","68,682,946.96","77,912,391.50","1,407,546,009.17","1,752,150,686.29","1,190,608,789.71","1,420,595,173.42","1,645,104,485.05","1,368,629,584.71","512,283,983.86"
其他流动负债,,,,,,,,,,,,
流动资产合计,"985,605,891.78","1,072,796,278.68","1,109,256,718.14","1,256,376,866.65","1,527,420,270.31","3,785,411,598.78","3,813,415,047.84","3,153,754,154.63","3,494,503,091.59","4,237,897,155.97","3,808,451,000.73","2,995,327,535.53"
流动负债合计,"713,384,687.40","903,979,379.05","1,161,765,108.54","1,242,428,567.02","1,381,640,626.27","1,766,990,540.97","1,632,453,742.96","1,547,701,652.13","1,755,419,336.73","2,522,553,590.97","2,151,001,652.42","2,476,539,464.18"
可供出售金融资产,,,,,,,,"500,000,000.00","520,883,239.71","520,883,239.71","768,892,168.28","1,648,065,268.41"
长期借款,,"150,000,000.00","170,000,000.00","228,550,000.00","200,000,000.00",,,,,,,"601,770,055.00"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,"22,961,188.41","22,865,424.05","26,080,471.51","30,564,035.07","31,627,980.97","36,622,624.43","37,938,477.51","31,289,516.42","33,573,619.16","237,049,396.04","286,980,826.04","556,064,254.75"
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"287,713,422.26","493,185,939.08","867,823,214.65","995,506,746.47","981,006,853.52","1,058,523,278.58","1,073,242,825.62","1,084,665,751.00","1,089,192,248.50","1,156,797,504.81","1,145,451,208.06","1,294,313,939.46"
递延所得税负债,"15,091,698.53","4,115,719.03",,,,,,,,"7,638.89",,
在建工程,"179,575,096.43","312,221,254.09","209,647,349.99","102,187,065.20","116,266,178.64","68,742,218.73","80,411,594.03","71,806,401.28","88,023,086.97","72,136,829.01","128,529,891.82","195,127,680.53"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"17,121,698.53","157,716,759.03","173,200,924.44","232,509,200.01","203,934,180.76","3,709,142.25","3,584,113.38","4,616,084.51","5,045,776.47","12,221,897.48","11,999,892.21","613,555,580.83"
固定资产清理,,,,,,,,,,,,
负债合计,"730,506,385.93","1,061,696,138.08","1,334,966,032.98","1,474,937,767.03","1,585,574,807.03","1,770,699,683.22","1,636,037,856.34","1,552,317,736.64","1,760,465,113.20","2,534,775,488.45","2,163,001,544.63","3,090,095,045.01"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"330,000,000.00","330,000,000.00","330,000,000.00","330,000,000.00","330,000,000.00","412,500,000.00","412,500,000.00","412,500,000.00","412,500,000.00","428,141,000.00","428,141,000.00","427,891,000.00"
油气资产,,,,,,,,,,,,
资本公积,"102,983,438.22","102,983,438.22","103,366,462.21","103,366,462.21","103,366,462.21","1,981,976,367.63","1,981,976,367.63","1,981,637,683.03","1,981,637,683.03","2,412,204,147.89","2,436,801,722.89","2,454,492,307.41"
无形资产,"96,095,722.71","129,474,652.38","128,687,782.92","171,969,940.75","169,673,984.78","172,326,583.00","172,038,755.30","171,414,010.06","221,606,318.66","221,857,390.74","221,143,450.91","382,667,496.26"
