科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"627,903,357.38","837,168,708.24","957,593,801.06","157,953,758.73","437,517,378.05","712,968,105.69","1,113,196,084.40","163,610,633.94","460,326,947.40","740,242,994.99","1,301,023,064.75","175,738,272.55","462,992,673.52","688,561,177.02","738,925,332.19","64,925,879.91","160,887,754.27","258,728,073.10","370,389,639.67","82,488,693.19"
二、营业利润,"95,074,397.31","156,174,849.62","184,438,769.17","31,641,524.57","75,770,500.67","132,027,603.13","181,226,174.64","-2,196,290.08","41,607,588.09","66,768,297.64","143,449,146.61","11,376,575.46","60,124,428.96","58,326,160.77","33,190,311.35","-40,840,780.18","-79,565,591.01","-156,560,561.92","-465,183,050.45","-11,318,973.56"
减:营业成本,"388,161,413.70","477,109,060.43","534,381,896.81","84,662,607.23","241,403,712.54","394,883,277.23","633,098,027.33","96,706,424.59","263,023,083.26","434,506,258.52","842,300,422.54","106,738,040.42","315,654,074.27","481,340,673.52","502,069,320.98","44,615,419.65","110,670,304.42","189,204,659.52","346,421,709.10","55,421,542.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,457,921.33","7,291,348.24","7,866,800.26","953,477.92","2,933,195.35","5,324,368.57","10,679,122.11","1,905,561.53","4,933,126.72","6,628,158.41","16,027,219.11","944,704.75","3,483,236.36","4,564,378.72","10,742,934.35","901,082.25","4,645,694.55","5,213,240.56","8,839,449.89","1,831,113.59"
营业外收入,"14,170,059.81","16,825,560.59","25,486,947.46","167,328.12","3,525,657.62","13,373,080.09","24,848,577.86","12,178,391.00","29,155,900.61","38,874,400.68","57,410,529.91","3,184,899.65","12,385,564.48","18,754,528.07","39,840.34","541,750.15","850,741.84","1,040,656.95","1,021,466.12","49,878.86"
销售费用,"58,807,200.07","87,546,627.22","94,835,552.70","16,048,234.51","41,831,894.04","66,244,864.06","98,251,167.13","18,665,714.12","45,308,739.04","72,186,272.51","105,827,102.34","18,913,818.77","36,410,211.70","62,758,469.88","80,726,290.22","21,043,107.78","40,752,799.29","63,982,666.64","100,325,038.42","13,739,335.24"
减:营业外支出,"1,080,318.22","95,369.17","285,315.66","20,997.83","125,367.75","138,699.06","167,919.94","239,141.59","1,298,975.93","1,338,163.42","1,536,464.58","145,120.60","298,093.52","362,172.24","665,963.12","590,666.39","1,170,958.84","1,287,430.90","5,209,240.58","34,033.39"
管理费用,"73,159,254.12","99,640,928.42","123,581,216.62","22,532,798.73","67,633,435.11","102,918,762.59","179,508,898.22","47,970,335.93","95,577,796.56","148,528,274.39","179,120,056.99","36,761,222.33","66,453,781.40","101,836,775.58","127,693,033.69","32,234,266.04","69,086,031.45","88,012,919.81","135,413,795.49","17,728,541.52"
其中:非流动资产处置净损失,,,"175,788.66",,"26,842.47","30,173.78","53,594.66","239,141.59",,"1,335,100.82","1,369,218.30","145,120.60","135,260.90","137,893.75",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"3,660,507.38","3,984,663.85","1,331,519.68","-94,555.33","1,331,347.17","-285,117.64","-1,676,963.04","-112,788.79","-1,291,606.93","-1,747,906.17","-4,935,960.84","-222,049.85","-1,706,114.80","-2,877,665.49","-1,875,523.00","4,425,003.44","6,492,761.60","9,439,798.09","12,193,124.57","5,230,213.09"
三、利润总额,"108,164,138.90","172,905,041.04","209,640,400.97","31,787,854.86","79,170,790.54","145,261,984.16","205,906,832.56","9,742,959.33","69,464,512.77","104,304,534.90","199,323,211.94","14,416,354.51","72,211,899.92","76,718,516.60","32,564,188.57","-40,889,696.42","-79,885,808.01","-156,807,335.87","-469,370,824.91","-11,303,128.09"
