科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"304,252,317.18","390,753,957.88","538,047,236.70","171,113,618.25","307,267,925.56","444,651,095.83","551,616,286.27","161,341,653.94","340,235,859.68","466,683,447.21","613,659,335.12","142,353,565.38","305,539,322.41","473,903,696.97","664,295,870.25","191,218,946.19","366,183,420.40","584,570,468.76","779,172,451.94","181,603,547.77","365,995,510.44","528,956,983.60","719,155,755.97","196,100,040.18","399,221,443.63","613,724,816.70","884,350,065.37","199,429,127.27","412,201,028.92","632,182,948.42","906,733,829.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"3,766,690.22",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,"1,475.94","1,475.94",,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"3,000,000.00",,,,,,,,,,,,
收到其他与经营活动有关的现金,"33,974,799.42","16,492,847.17","13,641,256.00","5,013,116.18","27,554,113.46","29,079,517.94","38,227,650.77","5,778,289.75","11,407,919.22","13,886,163.67","19,382,141.98","2,383,790.17","5,346,034.99","8,646,079.66","11,486,332.20","3,808,161.77","6,073,767.99","9,510,692.37","11,490,904.85","3,158,966.92","10,290,069.02","11,916,986.70","10,802,818.27","958,478.28","2,257,489.96","5,437,371.98","8,008,973.93","996,373.06","1,822,305.34","2,501,446.49","5,802,002.92"
投资活动现金流出小计,"10,668,177.62","11,346,745.42","33,830,715.89","8,680,810.04","27,579,534.86","42,519,898.29","78,182,696.06","23,838,940.10","75,372,411.77","90,187,933.13","125,133,236.71","21,416,169.59","33,510,767.19","52,246,057.54","58,586,475.55","18,188,718.25","24,344,998.92","49,124,546.64","137,967,077.10","17,294,046.67","172,582,822.91","180,799,749.54","249,331,236.51","113,405,134.50","115,205,254.40","130,312,308.40","173,278,504.47","167,779,144.96","324,769,109.62","433,894,188.57","443,687,411.71"
经营活动现金流入小计,"338,227,116.60","407,246,805.05","551,688,492.70","176,126,734.43","334,822,039.02","473,730,613.77","589,843,937.04","167,119,943.69","351,643,778.90","480,569,610.88","633,041,477.10","144,737,355.55","310,885,357.40","482,549,776.63","675,782,202.45","195,027,107.96","372,257,188.39","594,081,161.13","790,663,356.79","184,762,514.69","376,285,579.46","540,875,446.24","729,960,050.18","197,058,518.46","401,478,933.59","619,162,188.68","892,359,039.30","200,425,500.33","414,023,334.26","634,684,394.91","912,535,832.60"
投资活动产生的现金流量净额,"-10,653,177.62","-11,117,369.95","-33,830,665.89","-8,665,593.64","-27,502,323.46","-42,382,303.19","-78,045,100.96","-23,838,940.10","-75,372,411.77","-90,187,933.13","-125,133,236.71","-21,416,169.59","-33,510,767.19","-52,246,057.54","-58,586,475.55","-18,188,718.25","-24,344,998.92","-49,124,546.64","-66,822,645.97","-17,294,046.67","-124,248,027.60","-132,464,954.23","-62,418,078.13","-113,387,284.50","-95,030,440.19","-84,725,260.68","-10,616,609.47","-167,050,243.46","-152,208,283.81","-220,933,876.26","-107,983,673.66"
购买商品、接受劳务支付的现金,"220,607,878.09","251,332,146.21","361,915,344.68","151,125,860.23","260,719,951.66","384,938,680.89","445,903,164.10","92,472,388.97","203,863,678.89","284,249,625.80","368,660,553.03","92,739,391.70","210,419,691.44","330,079,646.97","475,346,337.10","112,504,075.57","239,039,942.96","380,790,119.32","508,372,969.22","140,995,249.15","261,800,376.63","369,199,620.33","493,517,571.37","126,281,261.61","242,866,194.23","388,216,420.81","578,974,204.59","113,595,225.51","243,273,638.70","409,823,757.34","611,138,507.36"
吸收投资收到的现金,,,,,"442,341,330.00","442,341,330.00","442,341,330.00",,,,,,,,,,,,,,"11,233,309.78","11,233,309.78","28,708,000.00","19,940,000.00","19,940,000.00","19,940,000.00","19,940,000.00",,,,
支付给职工以及为职工支付的现金,"23,992,487.83","26,886,810.59","40,840,883.97","14,504,624.96","26,179,871.33","40,896,936.85","54,747,876.87","15,324,746.72","28,846,974.71","42,845,282.29","59,678,026.95","18,757,357.70","35,167,412.16","51,292,448.76","68,657,271.64","18,249,641.02","36,167,579.28","55,797,284.08","75,537,069.64","23,790,162.56","46,420,986.80","68,049,394.93","92,793,320.51","25,207,635.31","45,061,731.58","69,005,314.60","87,145,648.87","24,371,288.78","44,635,644.64","65,181,678.45","86,666,228.70"
取得借款收到的现金,"41,699,124.02","52,026,000.00","89,430,000.00","39,310,000.00","77,853,831.24","105,853,831.24","161,145,272.02","1,261,012.47","81,261,012.47","81,261,012.47","91,261,012.47",,"45,000,000.00","45,000,000.00","45,000,000.00",,,,,,,,,,,,,,,,
支付的各项税费,"21,911,323.63","30,921,920.90","45,202,187.10","4,824,646.37","13,764,703.22","22,899,101.41","30,929,543.01","7,010,552.27","19,791,036.55","31,173,563.12","37,779,592.25","5,163,147.47","17,820,956.49","36,319,750.77","42,011,391.20","7,094,214.87","26,777,171.08","44,708,177.20","55,660,380.57","5,198,293.03","24,990,536.06","40,500,950.42","53,486,382.44","14,059,456.26","37,175,372.78","51,019,588.98","64,792,214.69","12,301,686.20","28,977,547.63","42,774,517.63","55,394,707.34"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"43,229,608.93","50,789,444.20","47,745,633.44","10,700,720.55","15,110,652.68","28,115,461.14","45,797,573.23","11,779,647.61","16,885,140.92","26,205,603.65","44,693,684.29","10,906,537.83","25,513,398.58","37,900,866.74","51,486,743.79","15,014,067.81","31,868,662.70","46,284,301.85","58,165,522.69","16,306,231.14","32,296,074.15","50,627,022.92","54,608,937.05","21,209,206.06","41,324,069.53","59,653,205.18","71,348,475.22","22,531,533.54","40,890,997.35","59,728,445.91","71,081,940.49"
筹资活动现金流入小计,"41,699,124.02","52,026,000.00","89,430,000.00","39,310,000.00","520,195,161.24","548,195,161.24","603,486,602.02","1,261,012.47","81,261,012.47","81,261,012.47","91,261,012.47",,"45,000,000.00","45,000,000.00","45,000,000.00",,,,,,"11,233,309.78","11,233,309.78","28,708,000.00","19,940,000.00","19,940,000.00","19,940,000.00","19,940,000.00",,,,
经营活动现金流出小计,"309,741,298.48","359,930,321.90","495,704,049.19","181,155,852.11","315,775,178.89","476,850,180.29","577,378,157.21","126,587,335.57","269,386,831.07","384,474,074.86","510,811,856.52","127,566,434.70","288,921,458.67","455,592,713.24","637,501,743.73","152,861,999.27","333,853,356.02","527,579,882.45","697,735,942.12","186,289,935.88","365,507,973.64","528,376,988.60","694,406,211.37","186,757,559.24","366,427,368.12","567,894,529.57","802,260,543.37","172,799,734.03","357,777,828.32","577,508,399.33","824,281,383.89"
偿还债务支付的现金,"48,488,249.05","46,838,785.62","63,810,000.00","18,120,000.00","114,240,000.00","141,283,831.24","223,283,831.24","1,291,440.78","82,557,422.11","82,557,422.11","92,552,453.25",,"30,000,000.00","45,000,000.00","45,000,000.00",,,,,,,,,,,,,,,,
