科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"137,260,313.46","142,552,422.60","168,874,691.81","35,901,059.68","262,799,754.05","227,524,226.66","334,811,457.75","278,934,629.48","282,644,325.25","208,709,660.52","317,942,646.44","191,615,861.00","116,949,783.48","197,345,413.43","361,081,959.81","182,360,634.39","237,532,903.58"
短期借款,,,,,,,,,,,"6,000,000.00","3,000,000.00","41,300,000.00","131,300,000.00","100,000,000.00","198,000,000.00","273,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"590,756.31",,,"900,000.00","471,560.00","580,000.00","1,597,384.05","1,368,376.05","1,729,000.00","335,000.00","3,501,984.51","2,789,012.31","850,489.46","450,000.00",,"642,600.00","682,200.00"
应付票据,"5,759,756.00","1,831,524.00","7,933,988.00","3,991,188.00","680,000.00",,"3,794,835.50","2,775,000.00","1,160,000.00",,"300,000.00","2,599,334.80","3,243,284.80","2,581,640.70","1,886,791.00","828,656.00","1,620,004.60"
应收账款,"138,564,143.81","177,198,573.31","180,464,419.94","207,863,661.56","233,475,108.56","225,496,336.38","223,301,821.34","240,529,531.91","265,561,257.11","302,337,503.14","312,970,867.07","467,486,269.88","561,858,349.11","537,944,573.54","447,674,875.18","551,381,891.84","608,638,451.65"
应付账款,"48,337,488.84","64,435,108.96","56,711,330.52","41,129,941.25","59,707,982.32","50,638,300.24","72,912,676.05","43,149,473.80","44,464,146.76","46,150,861.39","107,473,365.89","127,409,794.26","150,645,848.37","148,508,697.37","159,527,181.08","135,322,930.47","174,214,114.31"
预付款项,"2,227,689.35","895,308.95","3,167,417.07","4,372,195.30","2,131,609.69","6,267,334.05","2,866,743.86","3,221,395.83","3,240,017.17","7,641,542.49","11,538,181.27","23,580,700.18","10,845,709.40","13,367,507.71","17,340,006.86","17,284,282.44","19,954,169.49"
预收款项,"27,296,520.34","26,895,398.80","37,534,311.44","46,525,345.51","28,939,692.61","22,861,486.99","54,432,052.16","46,047,390.68","43,299,085.46","41,391,781.29","97,392,653.30","124,013,493.94","148,378,592.56","119,245,323.33","172,059,602.87","117,105,478.28","97,873,713.61"
其他应收款,"21,805,560.98","23,467,046.25","19,800,306.00","22,674,323.96","20,775,297.01","32,125,846.32","35,012,375.70","41,411,432.79","40,734,686.76","46,078,105.17","45,338,222.43","59,343,021.98","51,702,874.79","59,480,506.78","41,735,381.28","50,207,485.32","65,658,761.69"
应付职工薪酬,"6,049,208.45","8,263,570.73","9,973,180.00","1,200,000.00","1,220,000.00","960,218.53","9,355,169.64","1,214,969.65","1,182,741.25","1,870,329.32","15,903,816.90","17,507,799.81","23,052,036.26","25,806,992.89","50,158,388.89","17,288,476.83","18,103,743.43"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"6,409,272.47","20,248,015.36","16,039,521.56","7,007,469.24","12,064,923.73","12,296,490.29","16,613,089.26","10,985,385.00","13,464,628.75","15,228,934.69","20,097,172.23","10,991,853.56","19,632,698.53","22,597,939.30","42,924,691.75","29,186,355.17","30,228,440.11"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"9,045.62",,"55,382.19","1,130,642.33","183,333.33","285,838.20","366,442.22"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"310,125.01","310,125.01","309,750.01","309,750.01","547,399.66","42,010.25",,,"387,370.40"
存货,"20,818,923.46","13,777,137.22","25,886,647.98","32,359,004.01","38,302,378.60","47,443,581.33","32,556,973.23","34,239,643.80","36,183,680.45","38,848,478.81","44,266,417.58","64,486,052.20","74,572,959.61","73,109,068.83","89,824,846.34","106,773,951.28","86,059,885.41"
其他应付款,"5,076,905.35","7,256,303.68","6,120,529.81","5,620,010.93","8,732,176.24","6,353,961.98","110,833,135.35","107,125,979.49","133,284,230.45","130,739,271.70","107,940,198.22","117,550,632.59","105,063,862.93","133,981,058.17","79,789,115.80","87,380,530.47","82,573,086.68"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,"34,251.56","25,688.63",,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,
其他流动资产,"1,561,580.82",,,"57,500,000.00",,,"103,005,196.24","76,000,000.00","11,658,219.02",,"50,151,386.54","154,514,211.84","67,140,682.29","34,156,848.48","30,097,549.08","74,240,075.82","19,129,932.44"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"322,828,968.19","357,890,488.33","398,193,482.80","361,570,244.51","557,989,959.47","539,463,013.37","733,151,952.17","675,705,009.86","641,751,185.76","603,950,290.13","785,709,705.84","998,815,256.39","918,920,975.14","915,853,918.77","987,754,618.55","982,890,921.09","1,037,656,304.26"
