科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"52,787,125.25","76,258,829.48","79,683,632.64","2,526,978.89","354,528,934.23","314,542,278.09","419,617,435.46","128,717,507.74","106,233,058.89","100,284,403.77","103,746,775.37","84,241,065.43","83,889,840.67","58,432,652.47","57,849,295.64","49,073,748.24","84,508,300.07","63,451,128.26","157,534,010.45","173,971,704.22","127,029,719.65","99,778,896.30","176,051,491.85","99,250,813.90","110,811,002.90","66,870,791.13","146,599,636.31","90,890,474.94"
短期借款,"20,000,000.00",,,,"15,000,000.00",,,,"120,000,000.00","120,000,000.00","61,170,000.00","70,000,000.00","70,000,000.00","70,000,000.00","28,830,000.00","120,000,000.00","50,000,000.00","50,000,000.00","98,830,000.00","80,000,000.00","80,000,000.00","80,000,000.00","180,000,000.00","180,000,000.00","175,000,000.00","166,000,000.00","199,000,000.00","179,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"1,722,141.06","795,188.56","1,904,673.99","1,336,342.99","3,430,996.59","11,293,396.94","8,244,807.70","8,532,657.70","7,617,935.89","27,293,048.11","13,586,223.29","6,699,564.73","36,714,283.78","44,363,771.39","28,638,022.18","18,172,272.15","27,465,054.02","36,240,146.66","9,993,680.07","10,138,085.07","24,958,968.15","23,653,823.16","5,049,625.70","4,050,269.03","13,796,672.85","54,391,095.26","39,897,072.93","33,785,338.86"
应付账款,"13,039,169.17","18,320,491.21","20,865,379.02","16,152,903.03","19,040,952.94","15,008,619.49","30,921,950.28","20,137,101.67","29,479,608.18","155,359,206.65","143,080,710.75","136,439,556.03","34,974,025.75","44,627,361.54","66,801,639.77","79,210,093.78","46,139,184.23","50,405,075.81","71,198,289.41","61,541,652.01","55,252,684.99","37,784,720.80","18,617,189.14","16,755,649.35","20,245,022.42","22,058,497.28","24,866,440.29","15,891,252.71"
预付款项,"18,172,534.00","27,340,575.62","64,787,619.58","125,498,767.70","108,835,445.87","128,275,820.39","148,400,814.77","450,204,792.57","682,019,320.57","301,400,862.45","285,834,137.60","287,487,319.23","249,293,673.06","262,225,454.06","212,926,493.21","347,010,310.66","381,061,677.30","370,828,041.95","282,392,109.53","298,964,460.63","176,618,456.12","204,279,901.92","175,720,397.55","213,567,058.23","160,816,485.66","160,821,822.21","130,598,461.16","128,516,788.59"
预收款项,"4,569,905.74","6,723,024.74","9,529,813.49","12,730,717.47","7,561,934.33","8,038,650.91","1,265,152.18","4,470,709.49","3,829,834.31","9,118,015.62","909,240.09",,"11,623,916.91","6,408,258.07","671,133.57","34,212,462.54","8,328,188.16","5,103,893.41","715,635.79","3,915,430.59","1,355,518.86","1,859,038.36","140,224.00","921,997.00","5,178,809.85","665,400.18","140,195.60","4,162,793.88"
其他应收款,"4,098,646.21","8,516,924.34","3,774,405.04","6,387,105.13","4,867,417.97","7,220,755.22","4,970,751.94","5,685,316.21","12,746,349.96","12,552,588.02","6,980,885.15","13,538,666.41","16,406,298.16","20,332,858.40","30,131,034.88","35,927,093.22","34,972,229.50","37,395,327.32","86,050,685.88","38,554,519.88","29,018,492.99","29,164,015.38","22,628,724.20","25,512,681.05","19,023,261.99","19,205,258.58","13,013,859.01","16,510,595.86"
应付职工薪酬,"2,986,758.48","2,862,050.82","3,211,571.09","1,612,073.09","1,284,658.09","1,021,040.09","1,085,584.15","785,249.23","783,151.09","783,151.09","1,013,812.25","791,431.09","791,431.09","791,431.09","3,824,267.11","1,307,011.68","175,803.31","110,882.80","4,613,671.56","214,617.88","184,581.79","21,933.71","4,677,405.05","356,444.00","21,933.71","21,933.71","4,441,473.48","27,172.50"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"452,758.54","268,847.25","1,766,040.55","-327,173.49","161,675.88","26,776.78","249,317.60","128,745.13","99,000.55","239,582.78","572,120.53","140,041.09","66,464.66","272,205.92","693,639.79","194,921.40","454,587.64","823,223.62","1,023,973.24","684,738.46","675,852.08","823,805.46","1,116,167.96","187,606.94","811,042.21","812,172.27","4,078,398.96","776,968.07"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"215,602.32","219,598.70","300,180.42","300,180.42","424,812.36","300,180.42","226,607.28","226,607.28","226,607.28","226,607.28","1,000,551.93","1,000,551.93","753,183.30",,"1,282,262.46","1,372,819.04","1,494,585.00","1,560,961.00","1,418,125.98","1,659,597.83","1,557,716.83","1,262,639.26","1,406,433.49","1,537,665.06","1,407,335.38","1,225,784.82","1,306,762.57","1,306,762.57"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,"3,764,023.80",,,,,,,,,,,"10,817,040.00",,,
存货,"161,892,350.56","192,873,174.18","196,955,270.30","198,681,876.73","274,533,089.16","276,184,491.51","292,588,034.03","294,625,389.90","293,245,578.87","769,854,123.40","810,084,679.85","814,618,780.76","815,359,295.24","820,148,120.19","854,982,612.36","856,975,021.84","854,607,258.62","876,337,890.04","963,496,625.37","966,349,190.07","1,103,299,393.41","1,102,474,008.38","1,134,547,789.55","1,136,578,315.45","1,184,399,331.07","1,163,241,313.85","1,190,365,629.86","1,196,450,835.11"
