科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"198,555,920.85","604,562,458.77","1,287,400,666.52","1,870,012,966.77","280,061,163.84","784,739,005.84","1,410,952,069.34","2,208,913,447.57","546,698,820.38","1,633,820,960.74","2,431,947,877.06","3,507,000,382.47","643,860,378.71","1,769,163,914.71","2,688,320,918.22","3,555,918,895.19","555,843,109.81","1,770,053,194.32","2,875,409,925.79","4,189,178,815.31","620,376,796.51","1,916,776,782.69","2,384,441,361.12","3,346,821,713.98","886,685,330.55","1,940,455,421.04","2,871,787,382.39","3,199,844,441.48","830,922,683.39","1,949,288,267.05","3,384,704,505.74","4,569,803,687.38","1,461,709,847.35","2,454,644,708.63","3,136,039,018.61","3,749,548,646.48","772,064,089.36","1,653,076,573.12","2,470,471,552.81","3,619,278,074.92","611,109,775.38","1,864,400,092.23","3,262,251,834.67","6,713,529,386.84","3,311,849,585.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,044,411.25",,"36,009,783.54","36,009,783.54","107,475,343.11","23,684,994.84","31,675,877.30","61,576,804.63","105,098,899.57",,"300,000.00","300,000.00","15,303,672.49",,,,,
收到的税费返还,"8,622,850.61","8,622,850.61","8,622,850.61","8,622,850.61","80,000.00","80,000.00","123,464.58","1,690,817.62","10,020,000.00","10,020,000.00","11,020,000.00","1,163,000.00","10,458,200.00",,,"119,000.00",,"1,092,051.56","2,382,160.71","2,378,509.68","6,241.19","717,992.93","772,323.77",,"443,056.41","490,256.11","524,837.23","147,689.80","30,398.03","798,339.99","823,975.78","118,527.23","16,747.94","45,170.41","41,125,089.42","41,519,090.89","724,538.00","1,413,764.11","12,680,637.92","26,418,356.11","44,298.51",,,"10,873,418.44","9,284.86"
支付其他与投资活动有关的现金,"61,331.18",,,,,"105,253.65",,,"6,541,929.52","10,327,640.82","379,749,037.70","33,895,120.57","131,130,461.52","145,575,033.43","215,242,836.13","358,847,268.56","88,644,959.55","28,626,159.55","118,284,077.37","741,190,866.09","3,507,083,774.91","448,799,234.18","9,475,755,184.02","735,430,824.09","596,420,380.87","461,534,472.74","610,339,807.90","985,742,195.73","18,192,319.56","54,568,909.20","161,050,304.60","73,273,364.33","15,921,057.71","21,524,508.81","51,182,226.40","57,958,304.07","18,683,408.46","44,195,587.83","51,871,536.38","64,781,405.16","3,698,498.00","13,077,698.00","26,497,852.38","28,446,610.56","59,944,594.72"
收到其他与经营活动有关的现金,"7,761,380.93","44,944,722.65","36,018,106.75","60,241,693.83","230,333,687.66","40,474,031.40","123,097,649.05","102,316,415.04","64,817,649.51","78,186,995.05","143,353,379.92","186,338,749.02","72,055,038.37","72,341,543.78","383,032,319.09","508,643,795.40","217,699,947.68","149,768,544.94","176,621,199.82","396,305,573.23","143,593,674.67","368,840,848.83","1,612,318,595.34","1,349,364,011.35","82,931,910.55","175,262,368.39","292,689,832.31","656,669,346.26","231,412,894.90","341,934,163.42","490,067,813.33","469,909,277.81","73,062,795.86","364,039,167.39","519,942,869.17","571,301,381.34","175,552,191.73","207,509,376.42","382,941,832.26","389,558,820.22","48,091,702.92","70,188,923.96","183,841,262.89","245,334,476.30","89,849,756.67"
投资活动现金流出小计,"23,740,542.16","37,607,914.78","397,989,377.20","506,255,696.00","28,629,580.39","266,435,980.54","280,197,400.98","506,886,472.05","255,162,240.69","572,488,136.47","1,470,865,101.21","2,404,772,201.25","732,278,877.48","1,541,799,530.12","2,528,676,982.85","3,652,001,992.46","720,421,808.46","2,511,616,061.53","3,492,674,536.96","4,714,736,679.57","3,974,551,837.93","7,526,988,791.67","11,932,353,119.11","4,633,945,284.69","1,356,217,952.70","3,344,068,345.23","3,990,722,894.44","4,902,834,927.27","998,232,231.29","1,543,429,395.46","2,538,430,971.70","3,832,250,359.25","744,861,172.99","1,873,054,398.50","2,810,080,245.05","2,585,709,878.88","248,992,772.87","746,907,414.58","907,860,276.33","1,246,947,586.46","148,994,156.90","694,029,520.11","1,325,312,924.91","1,552,635,380.34","428,598,450.03"
经营活动现金流入小计,"214,940,152.39","658,130,032.03","1,332,041,623.88","1,938,877,511.21","510,474,851.50","825,293,037.24","1,534,173,182.97","2,312,920,680.23","621,536,469.89","1,722,027,955.79","2,586,321,256.98","3,694,502,131.49","726,373,617.08","1,841,505,458.49","3,071,353,237.31","4,064,681,690.59","773,543,057.49","1,920,913,790.82","3,054,413,286.32","4,587,862,898.22","763,976,712.37","2,286,335,624.45","3,997,532,280.23","4,696,185,725.33","970,060,297.51","2,116,208,045.54","3,165,002,051.93","3,856,661,477.54","1,062,365,976.32","2,292,020,770.46","3,875,596,294.85","5,039,831,492.42","1,534,789,391.15","2,818,729,046.43","3,697,106,977.20","4,362,369,118.71","948,340,819.09","1,861,999,713.65","2,866,094,022.99","4,035,255,251.25","659,245,776.81","1,934,589,016.19","3,446,093,097.56","6,969,737,281.58","3,401,708,626.93"
投资活动产生的现金流量净额,"88,124,725.28","197,875,542.36","-143,421,561.06","-248,419,262.90","-27,407,780.39","-262,609,769.22","-270,141,797.92","-495,736,328.52","-254,148,040.69","-570,517,706.47","-1,312,433,677.46","-2,178,584,461.32","-714,269,723.44","-1,493,996,077.09","-2,465,557,389.37","-3,465,778,185.91","-548,706,392.92","-1,286,697,639.91","-1,864,318,713.70","-3,476,586,763.26","-1,082,682,563.55","-1,311,466,155.95","-2,422,248,300.29","-2,134,030,156.95","-1,229,894,345.44","-2,497,518,356.71","-2,600,489,881.27","-2,016,019,435.76","-930,092,548.85","-1,461,390,865.93","-2,330,005,004.13","-3,717,425,620.97","-737,764,732.57","-1,837,154,629.30","-2,638,017,152.16","-2,538,210,557.68","-230,414,055.88","-716,483,461.55","-866,246,642.69","-1,194,392,831.50","-125,526,281.66","-654,682,925.35","-1,272,932,271.78","-684,162,217.14","-333,747,004.07"
购买商品、接受劳务支付的现金,"160,896,444.23","464,809,265.21","819,966,680.34","1,134,692,555.42","237,487,894.61","531,880,098.50","912,072,619.11","1,425,838,298.95","230,708,515.98","653,871,358.10","1,390,664,491.54","2,095,824,572.56","454,334,075.11","1,114,131,168.41","1,755,097,814.28","2,336,054,272.78","395,577,609.56","1,138,950,377.43","1,997,418,118.53","2,989,821,314.44","381,786,293.60","1,145,952,106.24","1,557,873,032.23","2,044,954,324.93","416,601,363.29","747,911,688.14","1,116,071,350.23","1,794,424,900.62","491,117,176.57","877,203,578.10","1,815,677,067.80","2,568,023,239.84","364,998,918.73","819,929,950.23","1,472,869,984.33","1,780,861,426.18","214,860,968.70","446,158,230.56","693,120,060.11","1,348,670,515.20","258,237,488.27","696,209,530.44","771,303,262.64","2,806,848,481.51","1,626,184,001.16"
吸收投资收到的现金,,,,"98,000,000.00",,,,,,,,"428,800,000.00","6,000,000.00","6,000,000.00","6,000,000.00","45,200,000.00",,"2,119,399,984.00","2,122,616,915.00","2,246,323,414.00",,"8,920,000.00","35,384,000.00","134,597,271.23","44,207,000.00","108,947,000.00","194,164,609.00","193,764,609.00",,"1,470,000.00","37,470,000.00","285,703,951.70","5,100,000.00","7,200,000.00","8,250,000.00","13,879,891.00","400,000,000.00","400,406,000.00","400,461,000.00","112,877,548.30",,"169,700,000.00","219,700,000.00","242,150,000.00","60,000,000.00"
