科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"96,462,992.74","44,759,645.79","488,063,969.25","185,266,864.02","337,987,311.56","172,668,548.21","339,664,233.58","179,218,123.63","144,496,856.13","200,096,312.75","100,634,868.81","55,108,906.81","95,782,201.06","654,776,082.31","384,223,142.12","596,882,366.25","274,589,999.07","254,340,474.19","238,271,977.29","374,752,294.68","259,510,757.68","351,262,663.18","311,657,049.56","349,235,856.05","309,394,511.58","223,331,038.78","45,357,533.41","55,604,525.34","42,506,813.47","33,840,358.96","36,322,178.75","66,466,572.41","77,348,337.97","22,546,249.52","33,489,023.63","99,199,727.04","39,412,048.13","159,942,463.55","70,169,828.02","33,182,790.50","21,128,018.40"
短期借款,"103,800,000.00","162,800,000.00","158,471,158.40","82,771,158.40","309,671,158.40","193,574,119.84","335,000,000.00","225,000,000.00","202,000,000.00","312,000,000.00","322,500,000.00","344,000,000.00","348,040,000.00","367,500,000.00","316,000,000.00","512,000,000.00","370,000,000.00","510,000,000.00","540,000,000.00","634,500,000.00","584,000,000.00","622,980,000.00","634,880,000.00","601,480,000.00","543,200,000.00","439,200,000.00","165,390,435.00","102,338,489.00","151,600,000.00","158,100,000.00","141,500,000.00","75,000,000.00","75,000,000.00","25,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"13,045,202.05","8,510,032.26","7,679,399.11","10,797,897.98","6,370,589.30","1,591,570.79","3,120,807.44","6,222,347.33","4,476,691.62","6,556,041.28","4,465,349.85","6,290,187.35","4,003,023.45","4,636,582.69","11,003,595.33","9,551,324.90","4,272,022.75","22,322,449.25","10,813,642.81","10,658,129.50","16,785,527.48","9,102,806.63","9,564,159.84","11,918,413.84","7,771,634.09","14,149,103.75","10,283,472.25","16,784,694.41","12,178,264.45","26,103,484.32","12,254,663.60","19,634,395.15","10,565,744.59","32,029,240.04","14,057,340.61","7,947,170.69","13,128,896.69","9,970,383.92","13,614,834.50","19,411,449.80","20,530,503.31"
应付票据,"55,838,943.06","31,034,209.30","18,118,586.00","8,118,586.00","21,228,711.18","63,066,865.18","68,208,751.88","36,963,271.88","46,382,882.00","96,636,817.09","105,273,951.09","106,451,667.00","218,466,825.00","222,112,500.00","170,680,000.00","296,200,000.00","272,000,000.00","137,000,000.00","117,528,000.00","138,120,000.00","126,300,000.00","160,000,000.00","132,600,000.00","152,000,000.00","164,500,000.00","26,500,000.00","49,500,000.00","57,500,000.00","45,500,000.00","30,000,000.00","16,000,000.00","18,000,000.00","8,000,000.00",,"39,000,000.00","79,908,560.00","128,796,558.18","194,949,718.18","231,366,520.00","202,918,384.70","237,502,390.10"
应收账款,"87,470,359.68","102,098,554.57","97,910,323.51","95,716,366.14","93,555,944.51","82,060,717.51","80,023,277.50","83,457,986.14","81,003,739.96","93,158,359.91","147,677,123.78","135,290,582.60","160,151,269.98","171,848,795.52","213,540,215.67","193,572,477.55","202,838,664.74","184,022,953.72","192,519,157.45","163,317,335.08","146,738,610.78","154,903,684.14","155,446,594.17","130,125,063.84","132,322,510.08","127,260,245.40","142,021,428.07","200,852,153.93","183,138,707.92","126,986,047.52","122,932,119.81","124,462,356.67","112,973,571.82","110,328,175.68","100,436,070.24","111,267,222.23","98,738,103.62","90,091,435.73","72,121,610.63","81,328,449.86","72,178,036.45"
应付账款,"70,677,865.53","94,896,292.68","111,232,982.56","74,348,961.89","90,670,813.59","56,239,939.67","74,020,979.78","80,681,631.22","81,831,804.93","69,830,223.09","110,974,416.51","109,736,974.43","103,454,034.68","107,009,307.59","211,521,963.70","165,121,251.42","140,345,895.82","102,292,083.86","175,983,938.52","132,184,483.43","160,708,234.51","135,678,068.15","161,495,172.73","111,928,079.88","146,555,320.37","139,082,963.66","121,486,021.59","88,150,914.20","81,462,340.23","103,267,214.89","96,042,267.79","111,995,987.15","101,186,490.46","71,045,873.85","69,864,085.50","74,694,299.47","58,189,883.48","35,358,277.08","45,923,215.79","36,528,820.26","29,759,873.50"
预付款项,"2,693,568.75","13,402,752.20","41,569,958.01","13,033,917.14","33,970,770.63","35,638,423.16","47,821,483.40","44,351,232.35","54,750,051.21","75,280,771.73","91,768,677.77","98,399,364.20","71,510,596.82","191,757,133.05","181,167,683.56","159,351,498.80","258,579,833.61","149,358,020.31","234,398,321.17","216,436,578.74","256,672,207.36","161,838,604.58","188,690,083.11","183,572,118.35","197,182,754.71","26,475,237.12","25,774,071.42","115,421,844.21","31,093,060.34","47,328,157.75","26,753,178.67","25,740,943.54","19,836,833.63","10,117,742.45","17,091,026.90","8,431,572.87","17,145,501.04","40,345,491.04","60,468,717.18","18,354,430.29","62,890,137.53"
预收款项,"11,645,991.53","9,817,552.61","12,949,981.49","25,049,328.04","15,265,669.01","11,533,668.60","13,494,620.84","13,286,672.27","17,062,902.51","15,440,039.23","21,585,829.37","18,273,361.39","14,104,516.73","14,767,649.79","5,689,968.51","20,010,343.91","22,089,812.30","18,756,546.20","33,081,014.34","31,551,233.52","26,917,323.94","9,780,630.12","14,099,473.82","16,088,177.27","37,248,986.35","98,904,546.33","57,616,609.08","23,392,143.88","15,407,549.80","10,327,341.17","16,187,519.14","114,007,964.63","133,761,319.30","8,313,233.30","13,013,310.35","11,853,224.98","18,343,871.26","19,082,112.35","28,942,059.53","18,304,536.15","24,849,533.89"
