科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"188,253,454.29","349,112,221.06","197,956,208.46","320,681,032.08","524,615,586.93","123,351,210.38","263,672,397.73","420,420,716.78","713,037,474.10","166,196,028.31","366,574,884.95","586,486,837.20","1,029,813,634.58","237,843,307.58","622,740,398.93","972,104,822.18","1,487,450,365.75","313,220,468.22","742,181,982.12","1,154,507,486.80","1,854,656,450.38","397,887,413.94","889,490,339.24","1,487,797,659.26","2,319,053,655.48","456,949,682.45","1,011,153,355.94","1,337,692,053.47","1,935,002,048.70","375,988,627.72","844,044,978.05","1,107,650,143.00","1,655,303,898.15","352,552,938.64","935,062,699.00","1,300,563,189.45","1,942,221,214.28","482,188,187.28","1,081,633,973.24"
二、营业利润,"22,997,002.02","35,168,664.17","18,616,376.43","32,850,992.23","50,953,717.71","10,440,880.81","22,352,869.32","39,258,252.69","66,898,791.22","14,710,205.58","33,812,385.06","56,443,426.55","94,959,341.10","18,027,856.48","50,150,796.47","75,816,349.61","116,181,530.12","21,296,905.11","61,868,329.88","91,912,003.65","144,286,133.04","26,342,174.48","95,262,286.13","144,239,071.42","175,625,609.16","44,112,056.87","116,395,978.94","130,953,392.95","-215,069,619.18","42,692,429.94","225,924,590.41","260,979,944.99","155,659,665.42","38,461,269.19","97,965,016.51","138,771,322.79","150,891,036.78","59,991,098.34","104,234,731.42"
减:营业成本,"138,534,428.59","260,400,250.20","148,189,807.63","243,558,751.23","395,983,800.44","88,698,984.67","188,367,403.20","298,679,027.93","510,078,244.24","112,963,282.14","250,000,903.76","408,155,678.65","761,927,996.78","176,371,146.89","460,749,901.54","722,552,733.27","1,144,007,854.23","232,057,644.84","533,212,623.64","870,982,202.67","1,418,397,449.74","302,633,924.98","632,834,600.71","1,109,761,087.35","1,716,453,990.27","344,508,111.30","728,061,234.53","984,345,219.22","1,451,363,124.82","275,911,771.76","643,232,955.33","862,037,773.24","1,226,669,301.94","260,289,606.55","701,514,652.12","957,169,135.82","1,421,238,000.04","354,563,899.00","797,958,317.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,576,585.80","10,573,359.77","5,212,171.03","7,294,177.39","12,637,385.78","3,420,095.33","7,080,757.28","11,985,889.57","20,691,658.58","4,349,863.02","10,355,296.10","15,317,004.50","23,628,391.29","5,248,545.81","15,234,346.61","24,677,334.36","34,860,055.90","7,729,468.63","20,017,312.29","30,135,484.75","52,202,578.41","12,141,024.93","23,025,035.22","41,692,758.43","62,361,529.74","9,965,302.90","28,751,077.65","35,525,829.30","47,981,084.99","11,904,285.86","-35,768,017.60","-34,574,477.58","12,577,300.93","1,439,854.08","3,725,060.92","5,592,487.52","13,434,346.51","2,978,142.94","4,659,741.25"
营业外收入,"590,185.40","2,029,737.48","1,302,431.87","1,357,981.97","5,076,412.84","2,417,970.00","4,379,106.00","5,783,205.23","7,233,183.29","1,140,582.66","1,729,765.86","2,243,911.41","4,502,142.93","20,390.00","475,859.71","4,222,350.12","10,221,371.96","766,904.61","10,892,571.63","12,606,900.77","14,708,272.21","6,975,985.50","7,416,915.36","8,520,362.04","30,605,621.39","1,934,140.39","7,587,493.45","27,843,534.95","331,773,536.46","1,700,991.32","6,428,180.69","9,510,393.11","17,717,974.44","199,026.11","197,839.54","798,986.66","8,526,550.23","1,699,641.89","2,755,873.43"
销售费用,"3,425,335.57","10,606,001.16","7,321,623.55","11,078,226.81","18,013,048.74","8,914,620.69","17,631,612.82","24,354,499.81","33,678,015.51","15,023,896.91","30,046,251.70","44,580,742.65","59,385,663.45","14,620,414.90","35,844,241.73","53,044,139.15","52,332,066.55","15,066,281.24","36,194,185.91","32,522,334.64","58,453,666.83","17,568,819.32","37,400,531.08","47,438,242.71","64,643,333.54","16,318,470.19","34,573,901.66","40,964,239.81","58,278,490.97","10,223,153.69","33,034,249.80","29,851,736.38","53,808,278.44","12,697,127.37","35,693,334.24","50,360,612.29","53,674,378.70","15,100,650.38","35,694,879.55"
减:营业外支出,"76,923.13","354,643.44","32,531.50","53,259.49","99,321.06","3,648.10","63,612.76","309,512.56","308,156.89","616,852.12","616,148.06","899,319.47","1,139,441.56","18,677.55","36,147.43","286,099.02","1,545,796.28","15,148.84","464,571.96","465,296.57","2,157,114.56","411,471.58","433,996.40","500,849.49","2,636,233.46","34,708.88","34,936.77","97,101.18","1,718,393.42",729.03,"39,239.65","61,227.03","1,672,726.93","2,459.79","81,537.02","83,529.41","844,665.99","26,923.11","33,779.61"
管理费用,"14,062,596.09","24,868,970.39","14,560,412.44","22,464,735.68","36,891,756.29","11,833,254.01","25,322,379.46","43,241,026.30","69,096,250.54","18,927,157.46","40,572,469.66","60,134,451.87","81,093,553.39","22,537,892.28","50,860,741.55","82,500,467.78","118,644,610.18","32,510,392.43","75,431,249.77","108,224,964.93","146,201,723.25","34,005,609.24","81,437,060.79","127,076,616.50","213,484,768.93","35,194,041.38","77,140,086.65","115,331,872.80","198,839,994.12","34,715,821.31","72,584,279.82","111,914,150.44","197,511,338.29","37,802,417.62","69,365,986.67","102,009,432.45","221,260,196.70","39,840,364.32","78,204,421.64"
其中:非流动资产处置净损失,,,,,,,,,,,,,"83,096.37",,,,"11,341.83","12,432.68",,"12,432.68","136,796.93",,,,"45,965.99",,,,"186,764.96",,,,"115,272.51",,,,,,
