科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"45,366,523.87","33,631,809.33","45,840,888.25","47,718,541.43","67,252,689.08","325,721,730.49","232,713,531.30","222,824,460.69","205,852,940.48","111,522,463.06","107,095,074.55","74,583,219.74","87,271,150.52","65,912,854.54","100,281,250.43","83,095,464.40","119,666,600.84","144,704,242.60","132,376,975.22","142,817,186.73","160,340,860.54","160,414,645.28","153,263,987.24","142,851,884.49","143,431,241.04","106,962,400.71","97,829,714.59","77,321,638.16"
短期借款,"51,416,681.86","31,034,490.52","29,712,113.83","69,345,812.03","80,535,812.03","71,333,902.15","20,579,743.13","127,271,794.41","142,838,769.78","194,993,799.28","177,975,520.50","183,307,777.96","166,945,492.96","171,216,437.73","177,353,957.80","187,011,328.28","186,342,004.00","220,014,361.80","256,962,446.06","264,335,079.86","271,140,454.49","294,434,781.86","296,123,949.21","324,920,707.57","322,847,049.88","308,433,790.95","302,563,055.84","285,000,000.00"
交易性金融资产,,,,,,,,,,"50,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,603,497.37","5,608,750.08","11,497,426.23","16,170,431.24","14,296,231.10","10,754,894.02","4,150,625.78","3,475,171.41","2,743,985.93","8,045,967.11","5,063,466.54","16,692,261.13","62,342,461.10","63,668,511.67","10,688,088.74","20,787,393.92","7,957,950.42","796,073.28","5,941,000.42","15,881,621.70","21,805,346.00","31,785,833.45","32,979,029.46","36,920,472.63","35,479,372.11","29,865,763.23","18,596,191.23","8,538,102.74"
应付票据,"24,053,524.47","8,806,476.21","13,139,587.55","16,498,571.55","9,196,518.40","6,056,764.14","2,809,543.14","4,001,231.22","5,125,685.24","7,998,932.23","10,434,744.23","9,975,799.22","14,595,426.64","13,929,330.97","7,217,304.87","7,464,406.11","8,441,688.08","7,049,933.12","11,643,716.59","40,826,776.72","34,812,463.05","65,217,321.77","71,969,010.18","61,692,268.56","60,980,931.78","85,952,231.84","74,174,022.46","63,837,089.58"
应收账款,"65,374,207.65","77,117,268.01","95,360,086.64","131,159,804.30","119,171,819.66","132,172,894.51","177,234,649.90","183,748,088.34","186,293,942.48","182,979,558.22","179,149,827.07","184,067,505.16","152,461,870.40","148,534,273.16","164,813,703.36","180,362,959.62","172,185,393.78","129,010,323.80","188,749,523.40","209,257,139.16","189,475,722.63","162,210,435.25","171,861,523.25","187,813,021.81","198,985,172.06","171,918,882.61","196,934,737.55","247,512,774.15"
应付账款,"50,563,165.36","65,917,898.27","76,824,515.12","85,191,604.97","85,973,883.74","80,551,791.00","96,579,209.82","92,006,999.84","108,920,953.27","97,183,960.22","106,883,418.28","101,129,611.13","128,804,893.46","106,657,461.16","145,544,066.74","155,670,203.07","156,417,564.98","121,901,988.46","134,968,727.95","157,610,410.68","181,619,118.23","127,883,501.48","136,073,037.01","162,365,129.32","204,027,807.43","133,292,549.97","157,943,205.68","168,148,831.01"
预付款项,"2,923,557.31","6,138,215.87","5,957,480.92","8,168,921.46","20,983,899.75","26,912,352.98","29,695,500.14","50,679,654.49","40,364,473.78","110,890,879.28","41,369,301.73","36,692,226.56","15,464,170.18","22,798,980.26","10,627,088.77","7,286,597.12","7,049,547.73","14,502,171.93","25,870,755.67","40,353,163.15","13,483,052.62","24,102,649.80","4,823,165.31","7,658,002.90","1,906,502.69","11,085,246.25","9,231,131.90","11,545,251.61"
预收款项,"107,423.00","104,457.22","575,182.45","63,024.78","800,464.76","974,178.85","421,058.12","597,670.29","236,729.98","511,731.90","1,083,621.43","1,764,765.58","1,180,248.68","2,487,078.16","2,732,541.14","1,740,145.81","82,434.95","854,960.54","1,095,881.69","3,957,635.73","1,159,665.90","2,650,612.58","4,493,454.13","5,090,871.09","511,660.38","2,126,066.71","2,175,792.09","7,523,211.53"
其他应收款,"2,415,830.32","7,926,099.68","3,192,422.24","2,714,317.85","8,140,175.74","2,846,098.18","4,296,226.69","5,326,529.38","6,323,442.05","2,997,698.33","3,743,919.37","6,262,798.09","8,753,598.19","9,915,258.46","9,786,296.12","10,193,495.87","13,044,446.60","14,227,320.80","10,180,927.93","8,141,242.28","9,259,016.29","5,930,842.57","7,584,397.59","6,504,288.17","3,743,392.22","5,184,770.45","4,867,607.74","41,900,595.14"
应付职工薪酬,"7,779,474.63","4,131,116.80","4,452,495.38","4,576,858.51","4,843,528.14","5,160,900.75","5,236,038.39","5,676,748.82","5,686,138.31","6,674,628.74","6,676,714.48","8,607,154.91","9,514,123.45","11,461,617.92","10,918,522.86","12,626,826.26","12,387,029.39","12,111,430.26","14,084,831.49","14,788,906.82","15,572,603.11","17,201,066.19","19,169,208.86","22,530,800.33","22,118,729.94","23,379,582.38","22,731,454.17","27,174,508.73"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,279,057.44","1,481,066.65","-324,293.16","967,086.13","5,785,137.55","4,397,567.12","4,606,552.20","-1,834,660.24","3,231,925.28","-3,914,480.17","-5,920,502.58","-2,948,177.26","10,695,685.69","14,035,275.51","52,175.51","-3,569,141.14","4,447,341.85","643,521.06","1,152,770.09","-6,503,512.60","3,029,755.66","2,251,118.27","2,204,162.45","2,264,912.69","2,600,032.06","2,303,085.07","2,379,958.18","2,540,991.17"
应收利息,,,,,,,,,"1,634,857.22","148,256.11","308,440.00","323,102.78","433,496.00","160,183.89",,,"12,602.74",,"570,520.42","395,343.51","860,324.61","1,391,289.68","1,146,204.19","53,235.00","1,446.58","5,391.78","9,555.56",
应付利息,"626,615.02","151,544.61","208,958.94","245,656.12","305,290.02","305,290.02","131,006.06","185,225.40","277,339.37","249,999.99","336,695.46","443,638.71","689,563.85","656,185.81","564,212.66","757,118.34","1,011,868.80","1,199,415.53","1,629,034.78","1,262,748.42","1,435,678.20","2,311,572.75","2,026,109.54","1,464,925.62","361,529.80","992,206.22","444,256.59","1,064,123.60"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
