科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"2,194,890,711.81","2,828,877,893.68","3,194,105,484.83","663,981,720.80","1,824,376,920.60","2,739,675,082.28","3,456,615,620.23","821,140,099.09","2,182,518,092.08","3,407,252,161.86","4,257,197,257.80","956,428,970.24","2,485,723,203.32","3,673,662,416.27","4,461,013,038.37","872,239,133.95","2,627,776,689.86","3,807,240,264.15","4,702,429,601.92","1,088,107,298.57","2,489,858,397.06","3,991,138,559.95","5,041,417,186.44","1,235,324,415.90","3,290,793,417.77","5,209,161,867.64","6,964,354,629.59"
二、营业利润,"80,186,829.27","149,035,701.16","165,199,877.02","33,647,799.74","93,230,245.14","146,143,787.22","178,656,066.86","34,950,425.68","112,096,241.20","178,704,419.14","224,445,814.46","45,482,893.91","136,341,724.14","192,797,611.99","230,761,018.74","32,912,534.03","147,626,734.60","237,759,989.19","289,914,572.57","78,711,005.95","242,536,151.02","402,280,930.77","434,425,658.06","66,128,833.51","231,874,102.12","348,302,250.60","457,490,998.95"
减:营业成本,"1,924,707,359.23","2,421,839,011.91","2,591,037,329.70","532,213,664.69","1,461,735,685.19","2,168,975,561.74","2,734,507,286.08","648,419,238.37","1,713,347,600.59","2,653,391,742.42","3,291,662,439.63","739,619,300.68","1,886,391,149.15","2,795,751,474.30","3,368,926,091.98","668,001,004.24","1,970,051,150.99","2,837,488,142.88","3,507,380,581.79","769,612,233.02","1,646,288,750.53","2,670,232,212.91","3,389,696,075.17","885,552,688.94","2,371,610,371.44","3,756,693,332.42","4,991,915,030.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"930,006.39","7,190,948.44","2,104,559.62","3,759,675.01","6,960,703.13","8,525,067.11","2,058,369.66","5,438,531.21","8,745,953.09","12,063,134.82","3,696,672.50","5,649,115.76","10,703,868.89","15,208,447.31","3,621,106.42","10,069,406.24","14,494,130.73","18,218,047.47","7,427,035.65","14,261,643.62","17,707,828.10","28,666,127.67","11,877,861.23","17,788,636.37","23,948,981.25","47,623,049.53"
营业外收入,"5,535,262.87","7,101,564.15","7,682,925.49","700,768.86","4,533,987.57","5,360,258.89","7,511,820.85","2,596,983.95","5,076,267.08","7,322,550.17","9,350,820.46","835,230.17","2,110,719.40","7,487,515.79","9,673,280.44","2,182,546.40","3,428,481.11","4,224,907.77","25,327,849.50","1,749,291.85","6,141,259.90","12,777,385.20","25,056,432.78","3,445,689.46","5,345,204.46","9,437,495.61","5,511,964.03"
销售费用,"79,218,977.32","140,710,597.00","196,427,951.65","47,268,251.07","133,964,842.07","215,779,313.80","277,166,834.53","72,257,689.42","178,530,786.89","275,832,861.63","337,631,014.44","82,344,907.58","205,891,811.07","316,080,656.74","444,443,866.34","87,954,381.75","269,172,354.24","382,416,660.82","487,256,412.96","105,371,092.49","272,044,160.55","447,637,855.86","632,201,482.28","116,355,076.74","249,238,138.88","402,597,365.29","576,979,631.08"
减:营业外支出,"262,539.47","618,997.87","733,668.50","362,811.50","462,411.50","508,191.50","631,679.50","308,663.13","436,699.13","799,376.46","4,116,573.91","442,231.46","876,505.62","1,706,164.74","2,263,324.00","853,686.73","2,316,923.79","3,398,077.25","6,060,938.08","956,656.19","1,801,125.51","3,240,495.89","8,562,115.56","657,724.60","2,143,900.69","6,145,514.71","10,773,280.84"
管理费用,"99,523,081.11","145,127,571.61","187,708,164.22","43,660,779.95","99,268,749.80","167,939,465.11","247,370,229.97","59,652,450.35","146,754,510.40","272,051,202.26","359,550,696.37","75,512,322.60","191,924,429.08","300,012,718.44","390,554,492.41","88,796,008.83","212,138,363.60","316,549,379.13","396,276,332.59","108,959,780.43","241,134,821.88","388,524,946.77","522,832,151.86","131,088,070.94","302,558,543.07","481,602,132.44","606,999,570.76"
其中:非流动资产处置净损失,,,,,,,"35,495.50",,,,"3,360,638.80",,,"-580,742.90","852,638.94",,,,"1,600,353.86",,"412,541.74",,"5,645,815.55",,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"17,094,229.99","16,954,435.90","40,523,479.99","4,125,981.02","10,471,458.09","7,835,398.95","-9,433,042.24","7,508,906.16","14,493,442.03","11,650,867.28","19,168,946.66","-1,211,286.20","-713,291.54","2,091,618.01","-5,110,593.84","3,234,168.81","-15,621,798.43","-21,436,472.83","-15,420,064.99","5,408,742.31","-7,346,744.62","-10,701,079.59","-17,670,411.96","5,104,748.08","42,687,714.83","114,738,707.37","184,524,566.28"
三、利润总额,"85,459,552.67","155,518,267.44","172,149,134.01","33,985,757.10","97,301,821.21","150,995,854.61","185,536,208.21","37,238,746.50","116,735,809.15","185,227,592.85","229,680,061.01","45,875,892.62","137,575,937.92","198,578,963.04","238,170,975.18","34,241,393.70","148,738,291.92","238,586,819.71","309,181,483.99","79,503,641.61","246,876,285.41","411,817,820.08","450,919,975.28","68,916,798.37","235,075,405.89","351,594,231.50","452,229,682.14"
资产减值损失,"2,137,871.81","-1,144,723.29","5,062,417.92","2,389,471.45","19,373,619.74","24,213,459.80","25,933,289.56","5,956,726.36","15,815,619.22","39,284,299.69","51,618,676.55","1,512,839.54","53,076,230.49","69,812,931.10","31,330,685.89","1,470,484.47","66,304,137.72","54,214,287.55","29,244,890.61","12,511,151.04","78,359,245.87","72,443,866.73","60,246,160.70","18,878,367.24","86,354,169.79","113,462,704.24","186,877,296.65"
减:所得税,"14,916,750.23","24,032,762.78","26,458,010.60","5,149,678.90","14,566,126.26","22,866,235.07","22,018,629.19","5,643,544.91","18,608,143.66","28,121,020.71","33,976,826.07","6,990,960.69","20,634,093.51","28,126,447.47","35,022,935.47","5,544,016.94","17,368,035.88","36,832,536.83","42,147,638.96","19,649,261.63","39,578,363.93","78,837,821.97","65,220,568.78","12,846,224.72","28,543,669.61","32,276,639.44","53,335,937.74"
