科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"420,402,878.82","485,948,933.60","229,278,989.32","363,409,023.84","552,784,225.87","122,879,805.31","310,711,429.77","510,865,110.76","741,052,125.33","162,170,701.32","380,901,190.10","593,526,960.16","909,991,943.76","188,878,689.71","483,543,061.46","788,830,870.29","1,194,611,373.45","223,234,178.59","472,888,418.91","657,693,783.01","1,015,449,796.45","114,085,429.98","327,222,101.40","529,928,866.71","802,970,860.68","128,347,531.26","343,553,343.89","606,928,338.15","937,146,820.77","192,061,967.38","452,849,676.86","749,801,657.00","1,050,631,623.47","180,100,098.78","474,692,887.71","799,635,649.06"
二、营业利润,"146,110,298.44","123,071,767.91","49,783,197.01","89,591,189.14","123,434,105.49","31,145,622.70","69,223,391.66","124,005,400.93","175,308,460.39","47,431,275.44","104,475,765.80","167,554,383.48","233,726,513.75","50,389,220.17","123,503,402.38","197,631,509.45","296,111,841.68","51,561,476.33","115,916,769.71","140,941,759.67","243,947,992.12","-18,810,693.44","7,843,020.91","8,470,837.35","40,266,899.91","-18,067,229.70","3,596,545.84","33,193,934.28","90,363,890.07","15,787,485.44","57,482,292.15","104,316,139.36","165,682,098.98","17,479,207.39","110,775,366.40","189,051,598.67"
减:营业成本,"157,829,562.41","203,671,678.97","95,743,940.67","149,374,733.01","227,587,313.93","51,931,933.31","127,829,521.75","203,653,044.38","313,958,443.42","69,428,842.13","157,186,069.19","244,504,703.61","376,415,873.80","81,043,957.04","203,750,417.88","331,308,804.00","503,354,778.12","100,760,546.06","198,942,223.22","278,775,449.56","424,824,071.12","62,398,880.77","160,577,095.91","257,882,076.84","384,554,102.12","68,999,314.18","180,260,964.66","303,204,197.94","460,838,470.35","84,752,913.70","192,879,666.35","318,309,069.12","466,632,375.36","78,485,353.22","208,189,742.84","363,995,600.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,"1,107,379.45","606,001.64","3,153,496.71","4,738,216.38","9,221,619.34","1,144,871.60","4,011,325.38","6,854,181.00","12,801,854.41","1,817,274.53","3,709,232.49","6,151,757.07","9,778,476.35","1,705,493.52","3,348,108.43","5,363,229.71","8,936,248.41","1,318,589.40","3,834,969.58","7,037,143.41","11,608,879.93","2,990,822.94","5,242,505.47","7,463,953.25","16,832,275.51","2,511,030.87","5,252,710.99","9,132,500.40"
营业外收入,"491,290.00","3,195,540.55","3,997,372.21","10,242,018.85","28,170,902.72","11,418,272.96","15,571,776.45","33,293,671.22","56,708,769.38","9,101,304.26","12,253,193.25","17,831,738.35","63,912,338.83","12,755,051.03","25,725,582.39","46,123,206.59","81,857,070.50","28,945,945.56","57,766,212.37","67,072,992.63","80,106,269.41","27,500,117.50","35,000,830.23","48,876,186.32","73,116,708.40","2,264,535.44","22,270,248.13","28,929,569.75","51,149,200.21","11,625,809.47","22,542,814.50","30,343,678.65","48,291,268.05","12,751,410.03","922,403.15","1,019,135.10"
销售费用,"54,145,518.58","80,398,743.01","43,487,680.00","64,509,038.44","103,668,174.35","23,040,633.47","57,512,206.09","87,310,481.76","129,998,077.24","25,415,600.92","64,397,483.32","91,571,511.32","159,458,014.20","28,301,875.24","81,630,543.50","134,647,653.91","201,770,831.37","33,504,870.53","79,337,680.64","117,813,030.18","180,672,473.09","26,053,768.42","60,042,157.21","102,432,828.01","165,454,037.65","32,313,640.83","70,328,283.27","115,148,351.28","169,498,435.07","33,021,119.25","83,065,248.66","131,257,539.91","164,161,993.07","27,530,450.51","64,842,089.81","104,329,417.47"
减:营业外支出,"30,000.00","27,355.23","44,006.13","44,006.13","57,888.55",,"111,267.00","225,060.32","230,234.11","15,482.79","16,975.59","16,975.59","19,301.61",,,"106,605.00","281,486.55","61,878.02","61,878.02","62,366.94","62,366.94",,"275,513.71","309,806.06","495,938.26","2,400.00","1,023,736.46","1,111,567.52","1,248,187.85","2,356.75","55,145.06","64,583.38","716,772.75","76,041.13","108,935.93","164,404.57"
管理费用,"59,210,070.05","78,424,525.41","38,696,712.87","58,024,716.52","93,566,992.59","17,292,808.25","58,832,853.50","99,772,794.32","139,738,234.90","20,846,367.15","56,705,097.72","92,270,220.89","168,490,657.41","32,969,027.25","78,519,609.23","130,458,694.65","206,333,958.27","37,175,598.79","81,008,753.16","123,303,624.94","198,654,457.02","43,834,459.64","99,171,825.73","164,147,638.84","226,405,342.57","46,222,793.65","90,810,325.50","160,532,289.66","240,397,869.68","56,255,450.44","118,140,505.73","192,736,249.11","239,130,506.51","55,548,861.17","112,916,403.11","173,737,451.16"
其中:非流动资产处置净损失,,,,"44,006.13","44,006.13",,,,"5,173.79","15,448.80","16,941.60","16,941.60","16,941.60",,,"6,605.00","151,486.55",,,,,,"275,513.71","309,210.30","495,342.50",,"941,777.54","1,002,502.07","1,132,865.15",,"18,994.71","28,363.14","680,484.00",,"96,617.62","152,065.21"
