科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"54,956,045.41","41,265,167.02","57,882,893.27","53,861,104.49","268,597,758.43","261,446,482.47","57,614,784.29","63,438,722.55","10,613,981.95","16,842,698.70","42,836,237.55","30,870,086.22","11,108,151.88","29,055,638.35","40,775,668.21","36,246,291.99"
短期借款,,,,,,,,,,,,,,,"22,000,000.00","42,000,000.00"
交易性金融资产,,,,,,,,"53,909,360.00","152,743,907.39","169,417,437.31","210,820,039.40","242,408,234.28","255,031,705.93","246,414,968.00","217,802,170.46","273,833,272.75"
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"2,221,788.00","1,412,708.00","5,114,949.00","8,932,382.12","12,411,061.70","6,006,724.32","5,781,303.52","8,646,477.08","9,185,854.15","13,426,319.94","13,267,638.36","12,509,688.06","10,121,775.78","8,351,892.52","13,287,598.92","4,119,807.12"
应付票据,,,,,,,,,,,,,,,,
应收账款,"5,159,523.15","7,338,008.90","12,575,183.57","13,017,019.55","15,403,999.02","15,177,520.18","18,050,059.02","17,228,755.77","21,793,627.56","23,512,004.22","25,452,344.65","30,234,531.46","35,267,032.36","38,234,210.57","48,125,766.03","57,489,761.01"
应付账款,"757,925.79","4,263,722.49","8,334,557.12","4,472,437.56","23,555,240.71","11,614,494.05","9,065,064.12","9,090,398.09","9,191,780.57","9,028,916.17","15,528,486.77","11,178,335.67","22,206,566.01",,"16,741,194.88",
预付款项,"900,009.01","3,131,300.86","1,695,531.60","1,459,779.87","864,807.55","4,690,824.78","695,004.28","2,761,842.27","2,013,911.09","3,466,485.25","1,066,438.01","2,929,420.91","2,570,234.50","2,205,327.23","2,400,716.69","2,122,075.78"
预收款项,"703,923.86","620,262.31","703,868.50","785,739.89","1,434,116.45","1,843,171.02","615,902.39","2,347,775.61","2,649,839.02","1,579,138.09","2,103,640.13","2,884,695.30","1,246,287.17","2,197,845.36","1,545,174.70","445,618.76"
