科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,203,293,359.37","1,385,725,359.39","1,646,338,924.76","875,344,659.20","1,372,060,217.11","1,900,185,888.85","493,400,433.32","904,738,718.81","1,376,257,221.13","1,877,918,138.21","481,428,190.60","951,284,317.29","1,381,251,369.78","1,902,928,472.24","444,913,465.01","909,212,751.04","1,362,518,297.73","1,944,465,152.64","583,407,620.10","1,039,306,450.71","1,478,112,543.82","2,062,898,865.05","550,553,756.28","1,073,243,263.40","1,527,309,252.09","2,190,292,146.75","590,397,521.20","1,080,879,001.29","1,543,844,820.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"82,930,000.00",,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"80,829,691.18","28,503,656.94","35,087,982.20",,,,549.43,"1,441.99","1,441.99","317,000,000.00","200,000,000.00","222,000,000.00","222,000,000.00","23,402,504.44",,"2,000,000.00","2,000,000.00","5,000,000.00","10,000,000.00",,,,,"400,000.00","400,000.00","3,400,000.00",,,"100,000,000.00"
收到其他与经营活动有关的现金,"4,585,307.14","4,242,625.15","4,152,434.72","35,580,871.88","55,580,871.88","83,785,016.81","2,745,805.20","7,476,604.34","14,120,962.52","21,476,725.51","9,382,893.62","22,745,301.39","24,210,485.00","46,753,609.73","7,782,417.52","14,074,560.63","71,768,431.16","48,972,965.18","34,685,554.79","18,310,355.33","26,564,235.56","25,228,946.47","4,000,116.51","8,126,156.01","8,064,555.36","14,111,200.85","4,173,436.09","6,674,191.95","10,206,256.27"
投资活动现金流出小计,"110,828,119.34","53,637,816.47","156,792,408.81","70,336,060.99","80,260,736.05","140,215,345.81","5,145,874.63","10,315,812.48","21,257,134.08","394,096,341.03","418,785,684.02","614,541,834.38","788,347,096.21","678,149,787.67","191,127,535.30","272,717,345.66","331,509,496.87","408,303,075.43","143,619,221.55","229,847,545.66","311,017,991.22","388,015,609.02","117,320,692.99","216,566,048.69","248,964,884.19","475,992,592.63","59,763,955.61","75,120,913.10","193,746,733.47"
经营活动现金流入小计,"1,207,878,666.51","1,389,967,984.54","1,650,491,359.48","910,925,531.08","1,427,641,088.99","1,983,970,905.66","496,146,238.52","912,215,323.15","1,390,378,183.65","1,899,394,863.72","490,811,084.22","974,029,618.68","1,405,461,854.78","1,949,682,081.97","452,695,882.53","923,287,311.67","1,434,286,728.89","1,993,438,117.82","618,093,174.89","1,057,616,806.04","1,504,676,779.38","2,088,127,811.52","554,553,872.79","1,081,369,419.41","1,535,373,807.45","2,204,403,347.60","594,570,957.29","1,087,553,193.24","1,554,051,076.97"
投资活动产生的现金流量净额,"-44,388,101.41","117,859,818.69","-62,588,778.57","-70,336,060.99","-80,270,936.05","-140,215,345.81","-5,134,264.63","-10,301,967.48","-21,243,289.08","-393,897,441.72","-103,265,760.27","-276,627,068.86","-348,699,884.18","-458,186,744.86","-169,548,737.46","-147,073,543.84","-205,872,925.69","-370,546,504.25","-39,467,646.34","-121,788,448.37","-196,161,084.96","-271,019,953.64","-116,724,111.84","-211,555,055.00","-243,460,922.89","-399,876,217.69","-56,681,421.85","-72,038,379.34","-84,300,240.23"
购买商品、接受劳务支付的现金,"919,304,850.21","1,039,886,869.46","1,296,081,152.58","696,389,590.13","1,229,560,440.07","1,516,602,868.77","465,522,230.83","697,452,370.11","1,032,122,511.83","1,319,192,059.50","392,535,714.65","678,640,014.51","974,262,327.93","1,307,117,773.92","266,154,689.38","504,486,380.46","902,028,824.88","1,240,530,858.09","483,863,576.59","769,132,196.94","1,095,364,141.15","1,460,394,295.81","308,550,357.02","623,529,498.05","937,640,506.38","1,399,280,357.37","474,285,175.09","851,219,187.64","1,227,273,252.48"
吸收投资收到的现金,,"39,340,000.00","80,600,000.00",,,"1,130,358,000.00",,,,,,,,,,,,,,,,,,,,,,,
