科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"14,073,361.94","21,927,403.16","45,998,427.34","43,376,883.04","45,472,182.23","50,928,581.95","276,480,431.45","149,604,051.94","102,724,688.00","87,601,152.10","211,190,970.27","99,799,108.35","119,702,414.55","77,140,294.37","90,676,520.90"
短期借款,"81,880,000.00","62,880,000.00","10,000,000.00","15,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","2,000,000.00","2,000,000.00","12,000,000.00","68,800,000.00","80,800,000.00","74,800,000.00","52,800,000.00","85,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"17,102,509.12","21,627,241.97","26,784,343.56","25,627,876.30","28,194,368.17","31,971,239.09","20,039,588.66","41,190,283.79","35,439,546.66","33,369,865.26","19,599,524.24","30,392,853.02","23,764,163.07","21,470,221.36","24,705,067.43"
应付票据,,"1,500,000.00","5,934,900.00","9,160,350.00","11,983,150.00","16,186,400.00","13,806,600.00","13,219,500.00","21,600,500.00","25,423,000.00","15,869,000.00","18,752,200.00",,"18,559,567.20",
应收账款,"74,215,718.15","102,028,394.93","110,966,080.73","101,167,448.47","102,611,022.73","138,777,922.19","153,339,142.14","129,490,821.61","127,924,013.48","165,060,197.28","167,585,807.14","207,395,256.94","190,725,443.29","207,486,452.01","221,402,002.31"
应付账款,"35,001,124.97","50,714,570.46","53,100,968.68","49,741,124.37","49,082,592.27","82,074,318.94","88,664,134.50","80,291,728.35","66,114,887.44","112,919,065.02","114,389,448.42","101,392,321.87",,"106,841,986.23",
预付款项,"3,981,377.95","2,275,883.29","1,990,233.16","4,472,359.29","7,482,900.57","4,955,574.17","5,432,241.53","6,353,154.49","7,486,534.98","5,388,631.78","7,601,766.33","5,442,385.42","7,720,337.75","5,824,357.30","13,459,006.23"
预收款项,"1,893,379.90","278,845.86","187,982.09","164,323.13","171,127.46","84,182.11",,"83,506.44","1,000.24","993,717.72","853,211.43","461,948.21","292,508.75","851,534.92","244,097.79"
其他应收款,"5,263,312.37","5,522,472.56","6,369,179.66","4,414,880.12","5,913,038.56","5,011,362.03","2,812,123.21","2,396,972.41","4,817,739.68","3,118,523.27","12,256,157.10","5,577,443.36","8,898,824.37","5,578,337.64","6,575,398.36"
应付职工薪酬,"3,349,693.04","5,079,163.20","4,826,158.63","4,054,962.36","5,050,613.34","7,908,441.99","4,371,987.96","5,318,399.41","6,756,223.74","8,779,667.27","5,673,253.63","8,506,018.50","8,759,073.12","12,519,248.96","7,810,199.82"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"3,286,266.11","6,266,486.16","5,911,896.73","2,954,241.59","3,705,675.49","5,436,978.66","3,702,018.16","4,934,591.59","4,240,760.07","6,516,390.23","4,132,259.51","3,656,046.68","4,646,025.21","7,297,479.31","4,677,051.42"
应收利息,,,,,,,,,,,,,,,
应付利息,"150,026.78","124,448.00","16,575.34","20,090.28","4,861.11","57,332.49",,,,"15,950.00",,"60,207.50",,"263,448.53",
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"17,895,055.00",,,
存货,"39,616,827.31","49,023,691.83","57,197,977.46","58,574,351.53","61,098,407.94","68,678,966.03","73,953,850.66","77,700,702.59","81,505,569.76","99,672,526.97","108,300,268.78","124,797,878.54","132,279,660.78","134,479,352.29","128,945,599.23"
其他应付款,"1,030,293.32","3,405,029.72","2,720,883.77","3,457,989.98","3,877,034.05","3,071,477.48","13,767,149.46","3,720,059.63","3,293,437.17","1,893,857.33","1,395,881.82","11,290,128.31","11,251,060.45","12,194,228.00","11,379,363.96"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,"15,000,000.00","15,000,000.00",,,,,,,,
其他流动资产,,"83,052.81","13,309.53","3,448,898.27","5,637,042.01","5,811,037.77","6,679,837.81","57,073,737.73","62,473,329.76","56,151,517.26","51,918,188.63","8,152,819.58","21,380,750.95","25,940,343.14","2,164,144.39"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"154,253,106.84","202,488,140.55","249,319,551.44","241,082,697.02","256,408,962.21","306,134,683.23","538,737,215.46","463,809,724.56","422,371,422.32","450,362,413.92","578,452,682.49","481,557,745.21","504,471,594.76","477,919,358.11","487,927,738.85"
流动负债合计,"126,590,784.12","130,248,543.40","82,699,365.24","84,553,081.71","77,875,053.72","133,819,131.67","143,311,890.08","109,567,785.42","104,006,808.66","168,541,647.57","211,113,054.81","242,813,926.07","226,342,229.21","211,064,044.62","232,438,780.60"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,"31,980,000.00","16,980,000.00","16,980,000.00",,,,"86,400,000.00","110,000,000.00","129,500,000.00","129,500,000.00","129,500,000.00"
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,"23,649,171.59","13,854,283.72","2,951,617.48",,,,,,,,,,,,"1,375,000.00"
长期股权投资,,,,,,,,,,,,,,,
专项应付款,,,,,,,"2,375,000.00",,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,
固定资产,"101,841,355.54","105,277,286.36","111,793,602.30","118,457,445.73","117,951,772.58","116,331,337.40","115,187,674.36","112,923,746.26","133,343,597.14","297,625,603.99","295,244,550.67","345,506,831.49","341,871,093.41","353,345,618.21","340,171,704.16"
递延所得税负债,,,,,,,,,,,,,"1,221,471.78","139,912.30","326,831.22"
在建工程,,"13,645,613.24","39,091,029.94","66,809,018.00","84,418,609.96","100,496,397.16","111,033,198.08","122,229,665.80","159,341,249.73","57,253,025.19","70,925,284.40","46,061,205.12","46,669,362.22","46,594,773.69","39,387,524.81"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"27,649,171.59","17,354,283.72","10,042,117.48","6,840,500.00","38,695,500.00","23,570,500.00","24,849,700.00","7,744,700.00","14,458,300.00","14,253,762.50","100,528,762.50","127,684,110.94","148,145,999.44","149,313,763.55","149,067,899.96"
固定资产清理,,,,,,,,,,,,,,,
