科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"486,464,996.26","704,806,710.67","114,405,444.24","619,159,199.68","127,243,411.55","280,646,283.83","405,111,957.75","656,123,113.27","121,734,169.09","275,667,322.86","485,542,743.35","700,216,878.66","137,891,687.73","287,311,603.95","368,005,618.35","728,616,670.82","154,508,541.40","297,027,515.24","454,930,541.81","725,200,259.82","161,403,463.28","282,944,725.02","612,866,589.26","814,007,411.19","148,793,633.02","370,421,639.46","554,758,875.13","756,671,029.64","163,607,578.51","351,436,041.71","512,818,909.44","872,039,604.53","177,874,438.79","389,555,091.11","591,539,484.58","1,013,042,470.62","264,355,513.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,391,511.64","5,000,000.00","3,786,360.30","3,786,360.30","3,786,360.30",,,,,
收到的税费返还,,,,,,"7,408,282.90","7,408,282.90","7,408,282.90",,,,,"354,253.65","694,842.82","694,842.82","694,842.82","67,157.53","1,102,656.33","1,102,656.33","6,025,232.03",,"12,200.21","93,180.92","110,197.02","206,858.75","206,858.75","206,858.75","206,858.75",,"250,000.00","250,000.00","842,000.00","907,639.33","913,639.33","929,992.04","923,992.04","575,242.58"
支付其他与投资活动有关的现金,,,,"6,307,061.60",,,"20,000.00","20,000.00",,,,,,,,,,,,,,,,"4,000,000.00",,,,,,,"1,126,000.00",,,,,,
收到其他与经营活动有关的现金,"2,268,363.24","3,034,207.08","5,352,493.36","18,285,259.48","2,059,058.50","4,308,918.50","25,081,179.05","2,851,076.49","925,794.20","21,302,994.47","35,137,318.90","73,280,687.97","23,880,441.38","11,223,571.75","19,103,795.89","15,586,165.33","4,381,259.06","10,519,951.56","19,900,186.54","11,899,803.11","6,871,137.18","13,356,931.95","21,112,452.38","10,682,010.94","3,320,443.09","13,237,109.20","28,380,925.21","24,896,093.91","20,724,974.69","7,369,558.39","14,606,735.42","87,291,333.69","3,912,685.50","8,874,214.46","18,373,940.53","193,100,456.36","125,352,360.47"
投资活动现金流出小计,"25,044,605.72","29,031,285.78","26,635,902.22","128,399,213.90","23,240,215.21","49,423,075.62","81,400,024.41","104,555,534.60","39,126,067.26","77,709,426.93","94,915,591.36","119,815,288.82","39,582,720.73","86,176,588.74","113,506,804.92","129,361,527.64","61,670,497.74","89,791,651.47","162,421,034.68","188,704,729.91","45,392,648.03","83,917,453.93","101,005,096.73","136,543,771.37","18,880,661.83","28,963,867.32","34,123,170.16","91,582,957.81","13,432,143.48","19,896,531.04","24,251,359.67","58,264,374.51","7,790,337.80","9,834,316.64","14,404,655.46","138,120,553.72","7,008,592.19"
经营活动现金流入小计,"488,733,359.50","707,840,917.75","119,757,937.60","637,444,459.16","129,302,470.05","292,363,485.23","437,601,419.70","666,382,472.66","122,659,963.29","296,970,317.33","520,680,062.25","773,497,566.63","162,126,382.76","299,230,018.52","387,804,257.06","744,897,678.97","158,956,957.99","308,650,123.13","475,933,384.68","743,125,294.96","168,274,600.46","296,313,857.18","634,072,222.56","824,799,619.15","152,320,934.86","383,865,607.41","583,346,659.09","781,773,982.30","184,332,553.20","359,055,600.10","527,675,644.86","960,172,938.22","182,694,763.62","399,342,944.90","610,843,417.15","1,207,066,919.02","390,283,116.07"
投资活动产生的现金流量净额,"-24,910,068.84","-20,379,285.78","-16,135,902.22","-117,680,168.02","-23,240,215.21","-49,423,075.62","-81,400,024.41","-101,615,514.32","-27,126,067.26","-65,709,426.93","-82,915,591.36","-107,546,136.84","-39,517,720.73","-86,111,588.74","-113,441,804.92","-129,035,858.84","-61,670,497.74","-89,791,651.47","-162,421,034.68","-188,703,749.14","-45,392,648.03","-83,917,453.93","-101,005,096.73","-135,556,091.25","-18,880,661.83","-28,963,867.32","-34,123,170.16","-86,266,154.13","-12,212,003.78","-19,789,697.34","-24,144,525.97","-56,961,576.84","-7,779,801.05","-6,823,816.64","-11,394,155.46","-138,120,553.72","-7,008,592.19"
购买商品、接受劳务支付的现金,"410,817,800.87","542,465,810.45","76,985,112.21","439,051,474.31","114,672,706.95","223,819,882.39","367,269,972.07","526,198,521.88","134,028,094.68","272,453,204.29","465,039,732.06","674,516,766.74","153,287,133.13","253,795,468.67","316,590,089.61","625,812,614.96","143,206,273.85","275,475,025.57","393,816,207.46","620,326,902.59","129,675,711.36","235,163,153.57","464,301,516.08","614,644,008.87","111,829,240.54","279,126,478.71","417,735,721.72","502,050,994.34","74,874,299.69","234,876,823.75","346,907,683.50","576,568,103.04","169,181,737.16","337,230,625.23","534,720,388.08","993,491,822.05","287,592,521.32"
吸收投资收到的现金,"9,300,000.00","11,372,000.00",,,,"549,631,988.00","549,631,988.00","592,200,000.00",,,,,,,,,,"700,000.00","700,000.00","700,000.00",,,,,,,,,,,,,,,"436,574,491.00","426,160,191.00",
