科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"184,834,059.05","262,670,848.72","98,014,783.78","204,993,910.25","102,182,953.01","141,878,212.30","269,005,411.29","31,207,899.01","99,925,869.40","148,805,312.78","244,684,513.12","67,777,514.48","145,238,999.70","230,119,480.68","532,288,835.84","123,265,081.74","259,415,072.55","402,636,873.10","1,008,115,418.09","223,846,397.76","500,166,276.18","812,927,262.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"183,763,308.46",,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,"42,694.14",,,"1,148,595.59","104,111.41","56,932.60","412,882.96"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"48,243,098.10",,,"2,849.50",,,"345,000,000.00","557,000,000.00"
收到其他与经营活动有关的现金,"6,692,156.57","15,493,013.15","239,921.04","1,101,616.98","3,721,585.50","4,956,011.50","7,625,851.64","2,737,073.38","3,580,587.94","6,367,865.27","27,261,985.42","10,299,687.58","17,296,985.41","16,881,162.91","30,176,620.91","6,911,131.12","7,880,565.12","96,185,061.80","45,692,894.66","14,327,980.86","35,887,505.30","104,899,995.04"
投资活动现金流出小计,"7,565,417.91","4,380,511.67","1,517,201.43","2,622,495.12","1,172,112.32","5,294,034.99","5,591,473.47","180,957.23","947,930.51","1,407,984.80","14,677,237.20","5,924,164.86","9,254,033.55","18,079,330.69","259,125,269.22","14,727,510.29","21,643,761.82","22,932,216.57","30,768,565.75","194,484,114.38","561,371,893.87","784,900,164.72"
经营活动现金流入小计,"191,526,215.62","278,163,861.87","98,254,704.82","206,095,527.23","105,904,538.51","146,834,223.80","276,631,262.93","33,944,972.39","103,506,457.34","155,173,178.05","271,946,498.54","78,077,202.06","162,535,985.11","247,000,643.59","562,465,456.75","130,218,907.00","267,295,637.67","498,821,934.90","1,054,956,908.34","238,278,490.03","536,110,714.08","918,240,140.63"
投资活动产生的现金流量净额,"-7,031,825.91","-3,713,521.67","-716,813.43","-1,822,107.12","-1,172,112.32","-4,493,646.99","-4,791,085.47","-180,957.23","-14,144.51","-474,198.80","-13,743,451.20","-5,924,164.86","-9,237,319.55","-16,950,966.69","-257,795,318.76","14,214,401.37","21,526,492.82","24,157,615.81","63,121,518.97","-193,185,869.81","-526,490,565.79","-594,058,147.38"
购买商品、接受劳务支付的现金,"128,898,025.29","194,829,043.44","144,519,489.97","150,451,124.33","138,267,575.20","178,883,218.87","209,599,470.29","72,274,708.56","122,239,039.46","171,928,439.57","229,500,332.96","99,155,968.93","183,986,128.17","257,686,316.59","509,790,594.04","142,405,445.59","313,633,151.56","425,890,395.23","823,422,883.71","207,113,251.86","397,548,657.89","706,495,761.95"
吸收投资收到的现金,,,,,,,,"111,832,715.00","111,832,715.00","111,832,715.00","111,832,715.00","900,000.00","1,000,000.00","1,000,000.00","232,766,512.50","200,000.00","200,000.00","1,300,000.00","775,828,279.42",,"500,000.00","4,700,000.00"
支付给职工以及为职工支付的现金,"9,453,073.74","11,536,901.45","12,288,210.85","16,250,146.44","11,080,516.72","15,972,179.35","20,810,572.90","6,261,925.88","12,885,660.92","18,579,197.58","24,421,759.84","7,601,479.21","13,950,925.24","22,116,120.44","34,047,091.29","22,536,632.85","42,677,692.84","65,175,418.06","92,361,628.18","39,562,171.41","69,611,810.81","103,268,577.83"
取得借款收到的现金,"8,000,000.00","15,000,000.00","13,372,839.38","13,372,839.38",,,"20,000,000.00",,,,,"20,000,000.00","50,000,000.00","60,000,000.00","85,100,000.00","105,000,000.00","167,869,918.91","180,795,856.86","307,853,571.05","60,356,206.96","139,115,801.14","181,345,344.36"
支付的各项税费,"10,951,627.81","13,216,294.96","15,527,954.20","20,388,313.24","12,331,261.65","17,118,575.67","19,199,301.12","14,577,227.56","14,782,706.61","23,272,307.59","25,896,053.22","20,853,200.39","21,216,723.72","28,611,433.25","36,693,801.46","21,916,620.82","25,082,133.26","33,082,001.67","48,511,554.60","50,882,676.07","64,595,068.65","80,088,778.75"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"98,111,245.66",,,,"66,760,000.00",,,
支付其他与经营活动有关的现金,"13,389,973.61","22,221,762.44","8,892,530.77","14,983,387.34","7,556,969.65","10,215,747.33","14,563,316.70","7,361,763.59","10,414,349.20","14,303,374.89","25,051,593.25","7,131,852.32","8,144,144.41","12,238,942.79","30,484,299.63","17,681,778.46","40,501,496.15","132,625,572.83","86,249,458.03","27,573,254.83","84,629,428.70","156,556,066.90"
筹资活动现金流入小计,"8,000,000.00","15,000,000.00","13,372,839.38","13,372,839.38",,,"20,000,000.00","111,832,715.00","111,832,715.00","111,832,715.00","111,832,715.00","20,900,000.00","51,000,000.00","61,000,000.00","415,977,758.16","105,200,000.00","168,069,918.91","182,095,856.86","1,150,441,850.47","60,356,206.96","139,615,801.14","186,045,344.36"
经营活动现金流出小计,"162,692,700.45","241,804,002.29","181,228,185.79","202,072,971.35","169,236,323.22","222,189,721.22","264,172,661.01","100,475,625.59","160,321,756.19","228,083,319.63","304,869,739.27","134,742,500.85","227,297,921.54","320,652,813.07","611,015,786.42","204,540,477.72","421,894,473.81","656,773,387.79","1,050,545,524.52","325,131,354.17","616,384,966.05","1,046,409,185.43"
偿还债务支付的现金,"8,000,000.00","15,000,000.00","10,000,000.00","12,000,000.00","1,372,839.38","1,372,839.38","21,372,839.38",,,,,,"30,000,000.00","50,000,000.00","60,300,000.00","34,144,225.00","66,278,668.31","71,278,668.31","182,263,408.17","56,742,720.83","138,812,639.74","162,882,639.74"
经营活动产生的现金流量净额,"28,833,515.17","36,359,859.58","-82,973,480.97","4,022,555.88","-63,331,784.71","-75,355,497.42","12,458,601.92","-66,530,653.20","-56,815,298.85","-72,910,141.58","-32,923,240.73","-56,665,298.79","-64,761,936.43","-73,652,169.48","-48,550,329.67","-74,321,570.72","-154,598,836.14","-157,951,452.89","4,411,383.82","-86,852,864.14","-80,274,251.97","-128,169,044.80"
分配股利、利润或偿还利息支付的现金,"56,713.09","5,525,709.60","6,844.44","48,882.00","3,993.44","3,993.44","16,551,553.71",,"5,715,000.00","5,715,000.00","5,715,000.00","35,666.67","4,352,959.23","4,944,055.55","5,858,954.77","1,689,263.71","3,849,694.97","6,253,775.16","9,581,672.09","10,115,661.94","39,613,241.13","44,463,957.81"
收回投资收到的现金,,,"800,388.00",,,"800,388.00",,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,"7,361,285.82","7,361,285.82","7,361,285.82","7,361,285.82",,,,"52,091,245.66","45,000,000.00","45,000,000.00","45,000,000.00","115,516,804.63",,,
取得投资收益收到的现金,"533,592.00","666,990.00",,"800,388.00",,,"800,388.00",,"933,786.00","933,786.00","933,786.00",,,"1,111,650.00","1,313,585.54",,,"1,111,650.00","1,111,650.00","1,111,650.00","4,881,328.08","7,784,817.34"
筹资活动现金流出小计,"8,056,713.09","20,525,709.60","10,006,844.44","12,048,882.00","1,376,832.82","1,376,832.82","37,924,393.09","7,361,285.82","13,076,285.82","13,076,285.82","13,076,285.82","35,666.67","34,352,959.23","54,944,055.55","118,250,200.43","80,833,488.71","115,128,363.28","122,532,443.47","307,361,884.89","66,858,382.77","178,425,880.87","207,346,597.55"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,"16,714.00","16,714.00","16,364.92","16,000.00","16,000.00","16,000.00","154,440.00",,,"57,200.00"
筹资活动产生的现金流量净额,"-56,713.09","-5,525,709.60","3,365,994.94","1,323,957.38","-1,376,832.82","-1,376,832.82","-17,924,393.09","104,471,429.18","98,756,429.18","98,756,429.18","98,756,429.18","20,864,333.33","16,647,040.77","6,055,944.45","297,727,557.73","24,366,511.29","52,941,555.63","59,563,413.39","843,079,965.58","-6,502,175.81","-38,810,079.73","-21,301,253.19"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,"-131,959.17","-221,427.58",314.87,"-87,844.90","-187,601.99"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"28,925,911.66","43,154,254.64","45,962,182.38","92,623,994.72","186,594.57","30,000,000.00","183,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"533,592.00","666,990.00","800,388.00","800,388.00",,"800,388.00","800,388.00",,"933,786.00","933,786.00","933,786.00",,"16,714.00","1,128,364.00","1,329,950.46","28,941,911.66","43,170,254.64","47,089,832.38","93,890,084.72","1,298,244.57","34,881,328.08","190,842,017.34"
五、现金及现金等价物净增加额,"21,744,976.17","27,120,628.31","-80,324,299.46","3,524,406.14","-65,880,729.85","-81,225,977.23","-10,256,876.64","37,759,818.75","41,926,985.82","25,372,088.80","52,089,737.25","-41,725,130.32","-57,352,215.21","-84,547,191.72","-8,618,090.70","-35,740,658.06","-80,130,787.69","-74,362,382.86","910,391,440.79","-286,540,594.89","-645,662,742.39","-743,716,047.36"
购建固定资产、无形资产和其他长期资产支付的现金,"7,565,417.91","4,380,511.67","1,517,201.43","2,622,495.12","1,172,112.32","5,294,034.99","5,591,473.47","180,957.23","947,930.51","1,407,984.80","14,677,237.20","5,924,164.86","9,254,033.55","18,079,330.69","27,118,862.66","9,977,510.29","13,393,761.82","18,179,367.07","26,018,565.75","14,483,982.54","36,371,762.03","47,900,032.88"
期初现金及现金等价物余额,"40,642,690.20","62,387,666.37","89,508,294.68","89,508,294.68","93,032,700.82","93,032,700.82","93,032,700.82","82,775,824.18","82,775,824.18","82,775,824.18","82,775,824.18","134,865,561.43","134,865,561.43","134,865,561.43","134,865,561.43","136,560,476.56","136,560,476.56","136,560,476.56","126,247,470.73","1,037,431,314.62","1,036,638,911.52","1,036,768,811.52"
投资支付的现金,,,,,,,,,,,,,,,,"4,750,000.00","8,250,000.00","4,750,000.00","4,750,000.00","180,000,131.84","180,000,131.84","180,000,131.84"
期末现金及现金等价物余额,"62,387,666.37","89,508,294.68","9,183,995.22","93,032,700.82","27,151,970.97","11,806,723.59","82,775,824.18","120,535,642.93","124,702,810.00","108,147,912.98","134,865,561.43","93,140,431.11","77,513,346.22","50,318,369.71","126,247,470.73","100,819,818.50","56,429,688.87","62,198,093.70","1,036,638,911.52","750,890,719.73","390,976,169.13","293,052,764.16"
