科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"80,830,632.68","100,030,159.42","126,046,729.70","86,141,306.87","124,237,028.56","157,240,175.48","38,391,823.59","84,270,875.09","132,518,544.73","189,747,140.22","48,262,299.08","104,514,523.37","164,724,019.42","224,407,852.64","79,940,003.54","154,789,892.31","230,057,481.70","332,960,314.00","87,021,029.99","165,374,011.28","256,729,552.74","342,627,451.55","92,942,813.24","182,245,974.70","281,639,073.13","361,690,843.48","109,817,251.19","214,486,463.73","341,402,676.90","260,346,585.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"14,029,360.59","11,029,260.59","11,029,260.59","11,129,260.59",,,,,,,,,,,,
收到的税费返还,"3,288,996.90","3,787,325.14","5,218,779.16","1,611,388.02","4,754,884.60","8,063,944.31","1,267,349.40","1,265,578.83","5,088,845.14","8,810,930.55","2,608,837.57","4,868,865.18","7,052,462.13","12,059,646.82","3,844,172.43","6,743,717.96","10,659,324.74","14,651,274.37","4,244,873.27","6,950,910.20","10,751,920.39","15,015,904.83","4,398,703.47","8,708,496.72","11,459,143.94","16,427,470.82","5,383,668.19","9,360,232.75","14,837,963.69","20,426,032.97"
支付其他与投资活动有关的现金,,,,,,,"4,500.00",,,"3,000,000.00",,,,,,,,,,,"31,000,000.00",,,,,"206,000,000.00","28,000,000.00","225,000,000.00","343,000,000.00","530,500,000.00"
收到其他与经营活动有关的现金,"1,739,410.71","3,003,670.84","2,405,145.46","3,894,498.04","6,098,629.19","4,767,542.84","224,859.80","1,833,602.30","2,115,634.72","7,503,054.25","4,688,026.10","6,305,261.47","8,335,308.25","11,580,098.85","4,704,998.53","8,957,333.89","19,306,633.53","11,382,382.19","2,942,958.69","5,458,531.67","6,821,434.93","11,819,617.19","4,951,742.36","6,651,673.80","6,797,496.70","12,115,867.46","1,209,632.85","3,240,769.16","3,644,315.26","11,753,367.82"
投资活动现金流出小计,"10,770,813.51","8,105,281.28","13,564,463.11","3,270,173.08","4,725,159.11","8,737,475.34","527,009.92","4,001,365.64","6,996,360.24","19,166,006.99","6,980,405.26","13,400,864.24","27,324,189.96","43,556,619.03","17,474,030.08","17,540,769.67","29,918,622.78","69,029,641.00","631,688.17","28,646,696.47","70,962,375.74","59,979,905.70","5,868,802.00","77,366,575.00","121,290,733.60","249,118,369.69","29,701,950.45","230,524,508.76","385,184,328.60","590,599,204.12"
经营活动现金流入小计,"85,859,040.29","106,821,155.40","133,670,654.32","91,647,192.93","135,090,542.35","170,071,662.63","39,884,032.79","87,370,056.22","139,723,024.59","206,061,125.02","55,559,162.75","115,688,650.02","180,111,789.80","248,047,598.31","88,489,174.50","170,490,944.16","260,023,439.97","358,993,970.56","94,208,861.95","177,783,453.15","274,302,908.06","369,462,973.57","102,293,259.07","197,606,145.22","299,895,713.77","390,234,181.76","116,410,552.23","227,087,465.64","359,884,955.85","292,525,986.17"
投资活动产生的现金流量净额,"-10,692,617.47","-7,856,308.62","-13,037,593.53","-3,058,769.28","-4,425,656.64","-8,380,654.50","-527,009.92","-3,274,918.46","-4,989,660.71","-19,159,903.15","-6,928,194.04","-13,365,865.97","-27,182,046.96","-43,469,183.13","-17,474,030.08","-17,540,769.67","-29,918,622.78","-68,819,558.30","-631,688.17","-28,640,597.87","-70,953,277.14","-59,332,768.02","-5,868,802.00","-70,834,575.00","-114,391,261.01","-184,919,887.38","21,537,186.08","-48,784,771.54","-99,379,140.52","-152,433,848.89"
购买商品、接受劳务支付的现金,"23,748,244.49","29,165,451.43","55,216,105.26","42,424,689.93","63,149,018.82","68,098,741.99","15,524,617.05","27,105,041.37","54,412,386.98","68,233,417.17","17,317,904.54","34,015,967.37","65,218,284.53","68,695,356.51","36,535,374.21","65,961,207.38","98,062,077.53","104,925,613.54","41,262,134.58","71,268,770.43","99,231,087.52","123,241,703.80","39,444,474.51","76,028,437.66","102,559,720.96","119,345,851.10","47,645,999.38","91,745,166.60","126,797,218.28","7,500,379.25"
吸收投资收到的现金,"10,000,000.00",,"14,200,000.00",,,,"238,492,000.00","230,510,837.86","230,510,837.86","232,360,837.86",,"13,870,300.00","13,870,300.00","17,374,300.00",,,,"130,000.00",,,,,,,,,,"25,798,400.00","29,143,400.00","29,143,400.00"
支付给职工以及为职工支付的现金,"10,456,412.53","11,324,079.58","22,601,193.17","17,255,515.22","13,565,319.31","36,727,563.42","9,114,471.01","16,836,720.17","19,387,255.11","39,328,360.13","11,130,648.27","20,556,241.23","24,071,916.25","51,907,247.28","17,822,595.06","27,459,507.59","33,217,303.87","75,168,469.24","19,237,121.11","36,405,202.51","49,532,240.28","85,025,930.73","20,108,094.67","37,177,532.14","51,064,893.24","82,515,420.68","24,356,174.67","42,844,251.12","59,037,255.87","96,133,965.36"
取得借款收到的现金,"7,000,000.00","5,000,000.00",,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","4,000,000.00",,,,,,,,,,,,
支付的各项税费,"10,272,528.50","11,144,139.76","16,983,942.42","11,607,187.05","20,801,870.56","26,719,009.43","5,451,704.76","11,219,768.43","17,586,819.84","23,744,085.55","4,722,965.24","12,057,323.97","18,793,884.07","32,578,337.56","7,127,602.40","21,401,165.58","33,669,314.49","40,570,990.84","9,484,223.74","22,371,364.40","34,986,871.39","46,040,813.03","11,585,777.04","22,875,980.09","35,991,260.62","47,141,086.17","12,841,084.71","24,688,234.31","42,435,628.80","53,973,415.39"
收到其他与筹资活动有关的现金,,,,,,,"434,683.94",,,,,,,,,,,,,,,"1,464,605.63",,,,,,,,
支付其他与经营活动有关的现金,"24,560,032.19","21,287,885.43","22,930,817.86","10,997,167.57","25,972,324.38","23,519,006.51","6,622,669.51","12,145,820.65","20,589,481.97","28,153,624.08","7,061,752.66","16,058,226.03","23,730,542.71","28,283,631.28","12,412,260.72","26,887,315.15","36,467,954.00","40,310,295.10","11,004,194.45","23,653,889.95","42,235,876.70","31,413,207.37","13,555,981.25","28,351,502.58","54,942,341.27","33,127,056.20","18,781,697.89","33,461,519.50","61,227,934.60","33,409,191.93"
筹资活动现金流入小计,"17,000,000.00","5,000,000.00","14,200,000.00",,,,"238,926,683.94","230,510,837.86","230,510,837.86","232,360,837.86",,"13,870,300.00","13,870,300.00","17,374,300.00",,"2,000,000.00","2,000,000.00","4,130,000.00",,,,"1,464,605.63",,,,,,"25,798,400.00","29,143,400.00","29,143,400.00"
经营活动现金流出小计,"69,037,217.71","72,921,556.20","117,732,058.71","82,284,559.77","123,488,533.07","155,064,321.35","36,713,462.33","67,307,350.62","111,975,943.90","159,459,486.93","40,233,270.71","82,687,758.60","131,814,627.56","181,464,572.63","73,897,832.39","141,709,195.70","201,416,649.89","260,975,368.72","80,987,673.88","153,699,227.29","225,986,075.89","285,721,654.93","84,694,327.47","164,433,452.47","244,558,216.09","282,129,414.15","103,624,956.65","192,739,171.53","289,498,037.55","191,016,951.93"
偿还债务支付的现金,"7,000,000.00","8,000,000.00","2,000,000.00",,,,,,,,,,,,"2,000,000.00","4,454,673.97","6,797,794.46","6,220,139.69",,"505,142.02","571,912.47","2,263,916.78",,,,"23,187.75",,,,
经营活动产生的现金流量净额,"16,821,822.58","33,899,599.20","15,938,595.61","9,362,633.16","11,602,009.28","15,007,341.28","3,170,570.46","20,062,705.60","27,747,080.69","46,601,638.09","15,325,892.04","33,000,891.42","48,297,162.24","66,583,025.68","14,591,342.11","28,781,748.46","58,606,790.08","98,018,601.84","13,221,188.07","24,084,225.86","48,316,832.17","83,741,318.64","17,598,931.60","33,172,692.75","55,337,497.68","108,104,767.61","12,785,595.58","34,348,294.11","70,386,918.30","101,509,034.24"
分配股利、利润或偿还利息支付的现金,"5,452,149.20","2,806,068.64","11,595,430.00","4,680,000.00","4,680,000.00","4,680,000.00",,"27,736,000.00","27,736,000.00","27,736,000.00",,"17,335,000.00","17,335,000.00","17,335,000.00","27,962,856.80","27,849,666.85","27,849,666.85","28,144,379.46","28,199,501.00","27,917,200.00","27,917,200.00","28,175,616.72",,"28,048,600.00","28,048,600.00","28,063,329.32","28,532,800.00","30,490,600.00","30,490,600.00","30,312,200.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"250,000.00","1,050,000.00","1,800,000.00","1,700,000.00","6,088,327.14","53,413.23","53,413.23",,,,,"209,100.00",,,,"1,902,621.63",,,,"910,540.00",,,,"732,705.00",,"919,580.00","919,580.00","919,580.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,"472,695.90",,,"367,472.59","1,100,490.44","222,446.53","1,711,247.22","2,760,268.08","5,961,315.90"
筹资活动现金流出小计,"12,452,149.20","10,806,068.64","13,845,430.00","5,730,000.00","6,480,000.00","6,380,000.00","6,088,327.14","27,789,413.23","27,789,413.23","27,736,000.00",,"17,335,000.00","17,335,000.00","17,544,100.00","29,962,856.80","32,304,340.82","34,647,461.31","36,267,140.78","28,199,501.00","28,422,342.02","28,489,112.47","31,350,073.50",,"28,048,600.00","28,048,600.00","28,819,222.07","28,532,800.00","31,410,180.00","31,410,180.00","31,231,780.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,703.35","47,645.31","268,272.78","2,152.17","11,070.16","10,857.27",,,,"6,103.84","52,211.22","34,998.27","142,143.00","87,435.90",,,,"210,082.70",,"6,098.60","9,098.60","174,441.78",,"52,000.00","52,000.00","780,781.52","16,690.00","28,490.00","44,920.00","204,039.33"
筹资活动产生的现金流量净额,"4,547,850.80","-5,806,068.64","354,570.00","-5,730,000.00","-6,480,000.00","-6,380,000.00","232,838,356.80","202,721,424.63","202,721,424.63","204,624,837.86",,"-3,464,700.00","-3,464,700.00","-169,800.00","-29,962,856.80","-30,304,340.82","-32,647,461.31","-32,137,140.78","-28,199,501.00","-28,422,342.02","-28,489,112.47","-29,885,467.87",,"-28,048,600.00","-28,048,600.00","-28,819,222.07","-28,532,800.00","-5,611,780.00","-2,266,780.00","-2,088,380.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"6,480,000.00","6,480,000.00","4,317,210.35",,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"73,492.69","201,327.35","258,596.80","209,251.63","288,432.31","345,963.57",,"726,447.18","2,006,699.53",,,,,,,,,,,,,,,,,"58,000,000.00","51,000,000.00","180,000,000.00","283,000,000.00","432,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"78,196.04","248,972.66","526,869.58","211,403.80","299,502.47","356,820.84",,"726,447.18","2,006,699.53","6,103.84","52,211.22","34,998.27","142,143.00","87,435.90",,,,"210,082.70",,"6,098.60","9,098.60","647,137.68",,"6,532,000.00","6,899,472.59","64,198,482.31","51,239,136.53","181,739,737.22","285,805,188.08","438,165,355.23"
五、现金及现金等价物净增加额,"10,677,055.91","20,237,221.94","3,255,572.08","573,863.88","696,352.64","246,686.78","235,481,917.34","219,509,211.77","225,478,844.61","232,066,572.80","8,397,698.00","16,170,325.45","17,650,415.28","22,944,042.55","-32,845,544.77","-19,063,362.03","-3,959,294.01","-2,938,097.24","-15,610,001.10","-32,978,714.03","-51,125,557.44","-5,476,917.25","11,730,129.60","-65,710,482.25","-87,102,363.33","-105,634,341.84","5,789,981.66","-20,048,257.43","-31,259,002.22","-53,013,194.65"
购建固定资产、无形资产和其他长期资产支付的现金,"10,410,813.51","8,105,281.28","13,564,463.11","3,270,173.08","4,725,159.11","8,737,475.34","522,509.92","4,001,365.64","6,996,360.24","16,166,006.99","6,980,405.26","13,400,864.24","27,324,189.96","40,556,619.03","3,444,669.49","6,511,509.08","18,889,362.19","57,900,380.41","631,688.17","7,646,696.47","39,962,375.74","59,979,905.70","5,868,802.00","2,366,575.00","3,290,733.60","43,088,369.69","1,701,950.45","5,524,508.76","2,184,328.60","20,099,204.12"
