科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"123,588,393.75","139,016,705.59","83,045,122.38","51,013,732.78","547,532,530.91","306,154,357.45","316,764,786.54","384,089,850.27","360,232,695.46","439,578,343.03","364,189,280.29","454,934,983.92","425,240,059.73","495,900,392.69","820,188,751.81","913,221,993.70","913,490,638.93","733,186,286.58","688,593,362.54"
短期借款,,"29,700,000.00","105,000,000.00","124,650,000.00","160,000,000.00","20,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","35,000,000.00","30,000,000.00","35,000,000.00","35,000,000.00","47,000,000.00","38,000,000.00","53,000,000.00","53,000,000.00","53,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"500,000.00",,"331,740.00","1,000,000.00","3,000,000.00","4,630,000.00","5,500,000.00","6,500,000.00","3,087,003.43","6,700,000.00","19,013,060.40","2,487,738.40","11,459,165.53"
应付票据,,,,,,,,,"30,000,000.00","30,000,000.00","20,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","50,000,000.00"
应收账款,"122,420,617.44","125,487,443.86","134,700,894.43","132,053,005.84","149,998,482.16","162,043,478.27","160,525,555.13","145,823,004.53","162,140,094.78","220,260,551.44","188,874,421.03","216,723,063.93","203,747,611.32","210,143,576.60","216,487,082.55","206,278,258.89","214,164,893.04","208,330,923.03","239,433,066.78"
应付账款,"46,541,245.76","54,206,048.19","89,292,849.70","77,404,467.61","71,876,257.10","67,705,725.05","89,937,045.96","92,541,522.01","97,644,425.20","112,649,071.02","106,695,166.43","119,798,412.04","93,038,272.46","98,312,926.03","125,665,922.30","105,948,517.27","74,949,904.88","151,804,073.64","153,883,823.58"
预付款项,"18,393,822.63","7,678,302.88","10,064,516.95","36,156,786.32","20,138,324.31","21,365,156.82","14,248,950.31","36,326,851.68","38,792,856.46","45,185,369.27","23,792,502.21","60,942,923.43","100,967,180.04","42,072,334.37","48,718,178.55","55,005,662.35","14,118,019.81","134,596,285.49","105,550,974.16"
预收款项,"33,104,165.00","23,000,694.13","25,668,623.00","46,685,569.44","22,253,517.49","31,727,513.99","30,338,752.43","30,342,936.02","23,494,029.82","28,653,908.84","34,926,577.72","43,378,597.39","48,226,031.94","64,262,463.38","79,731,165.83","82,565,792.41","69,126,224.45","102,301,196.83","76,711,854.05"
其他应收款,"2,283,295.57","2,936,024.06","4,900,121.31","8,811,085.21","8,420,002.49","4,468,660.42","4,529,022.85","4,522,852.93","4,470,364.96","14,096,333.42","5,864,571.91","9,143,381.04","5,790,732.72","5,221,895.67","5,476,329.72","8,624,794.00","8,094,295.25","17,396,177.05","15,811,570.32"
应付职工薪酬,"4,551,943.38","5,755,612.12","11,600,371.84","7,818,155.06","8,660,327.07","8,041,811.12","10,382,044.19","10,222,451.52","8,796,020.80","11,868,245.17","23,022,637.96","11,491,081.79","18,822,799.20","21,971,969.71","27,182,625.35","20,640,028.13","21,159,440.97","25,960,820.23","32,822,855.77"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"2,283,553.85","2,827,569.89","2,576,679.75","4,339,356.93","1,947,801.01","4,355,949.64","3,343,702.62","5,824,678.94","3,685,143.87","6,348,938.57","1,583,618.26","6,558,358.06","5,709,148.79","7,247,214.83","2,519,920.21","5,081,518.02","1,985,800.46","14,258,273.79","16,516,198.30"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,"82,225.00","120,938.88","221,599.99","212,444.43","256,827.77","51,111.07","60,155.55","58,301.73","85,163.20","85,163.22","57,895.14","81,262.50","45,916.66","45,916.66","65,129.15","51,172.91","64,041.66","64,041.66","70,445.82"
应收股利,,,,,,,,,,,,,,,,,,,
