科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"20,486,582.47","39,669,567.41","62,167,828.08","85,709,047.14","31,774,437.07","56,361,195.62","82,216,989.19","96,661,621.23","22,880,987.39","41,591,919.17","60,830,697.74","82,868,498.00","24,421,484.18","56,448,249.37","86,895,306.17","114,526,071.78","31,418,405.84","80,599,463.56","135,783,709.00","202,817,427.12","53,673,567.91","147,305,525.02","211,127,821.50","278,956,033.82","86,826,454.68","136,530,516.69","232,692,078.94","315,433,383.17","87,983,605.81","186,442,953.39","274,739,223.05","341,523,081.01","60,407,498.72","117,326,471.17","172,993,691.43","224,746,886.44","17,322,138.38","32,902,437.14","35,458,297.31","39,742,460.92","3,005,705.59","6,685,965.93","8,237,147.16","11,635,998.32","1,543,782.03"
三、利润总额,"20,485,042.99","49,529,494.75","75,627,813.71","96,208,596.66","20,630,894.22","51,584,253.01","71,510,690.21","89,247,527.32","13,844,915.39","45,779,631.35","73,881,132.47","101,305,409.51","27,064,421.73","64,648,033.29","93,581,311.15","132,378,543.94","36,245,646.55","76,015,964.83","96,051,419.07","142,766,604.16","28,730,941.30","70,546,056.75","-46,287,912.36","-543,488,527.18","24,173,255.72","41,808,223.42","33,206,804.93","101,155,328.73","25,174,246.86","45,748,757.30","54,290,253.35","80,418,237.90","25,167,720.80","-93,874,900.70","-791,306,602.18","-1,673,515,505.16","18,552,271.38","17,861,790.07","35,922,258.40","42,599,743.03","16,152,755.78","23,398,495.00","40,959,015.55","59,994,905.59","21,697,050.51"
资产减值损失,"-2,375.00","1,071,071.17","1,074,539.41","5,040,564.93","-202,446.60","2,412,616.54","2,253,677.55","10,915,559.50","-9,495,541.47","-8,968,378.44","-9,005,219.01","22,748,956.85","2,413,256.50","10,105,992.17","4,876,216.46","19,151,916.97","-2,657,548.82","-2,920,044.00","-2,917,329.47","29,652,003.22","-97,277.98","-705,934.47","-1,574,116.39","190,787,613.54","107,870.89","22,532,646.56","22,277,070.17","145,872,071.19","-567,632.19","-15,857,919.84","-16,183,540.98","133,175,805.33","18,312,595.04","163,870,010.34","818,646,968.69","1,607,384,233.01","-656,965.84","-1,320,679.58","-6,651,651.29","-8,878,705.93","-1,164,725.99","-1,195,405.03","-1,236,142.06","-775,582.00","-2,679,053.98"
减:所得税,"3,614,870.94","7,732,151.05","12,654,852.86","14,914,110.94","4,329,177.49","8,424,935.42","11,202,701.59","16,237,726.11","2,451,198.18","4,247,870.68","7,992,638.86","22,223,643.81","3,682,074.45","8,971,905.94","12,772,231.56","19,681,300.60","6,041,661.01","11,969,729.74","15,877,931.60","23,314,460.34","7,350,512.22","14,874,949.78","23,475,630.25","19,639,634.09","9,667,538.52","18,855,648.32","32,763,577.62","61,996,397.82","9,011,817.77","20,139,285.46","27,229,808.95","34,962,422.25","6,842,927.39","11,371,585.53","8,664,713.04","11,247,888.44","5,162,826.80","10,432,961.95","12,480,783.23","18,599,028.53","2,225,518.43","7,553,642.93","12,729,094.18","20,076,475.13","3,216,783.01"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"6,920,913.57","24,711,740.58","35,618,964.35","70,873,652.96","14,869,486.62","25,853,130.99","36,785,063.70","62,100,649.74","10,846,781.92","36,385,333.56","49,082,244.48","97,628,965.21","7,568,385.20","17,169,783.38","24,399,603.85","58,170,138.43","6,364,212.55","14,911,222.07","23,230,703.47","37,146,651.81","6,731,186.49","13,660,343.38","20,249,974.40","97,214,268.39","7,921,008.39","14,908,861.01","20,702,310.24","301,924,139.31","7,750,499.93","15,153,316.59","24,009,397.44","196,767,817.24","6,778,224.80","12,809,697.44","19,127,418.37","22,966,388.88","8,411,495.61","14,097,855.49","22,204,810.64","33,083,502.16","8,425,712.39","13,178,912.22","18,736,068.51","35,295,921.20","5,900,368.58"
四、净利润,"16,870,172.05","41,797,343.70","62,972,960.85","81,294,485.72","16,301,716.73","43,159,317.59","60,307,988.62","73,009,801.21","11,393,717.21","41,531,760.67","65,888,493.61","79,081,765.70","23,382,347.28","55,676,127.35","80,809,079.59","112,697,243.34","30,203,985.54","64,046,235.09","80,173,487.47","119,452,143.82","21,380,429.08","55,671,106.97","-69,763,542.61","-563,128,161.27","14,505,717.20","22,952,575.10","443,227.31","39,158,930.91","16,162,429.09","25,609,471.84","27,060,444.40","45,455,815.65","18,324,793.41","-105,246,486.23","-799,971,315.22","-1,684,763,393.60","13,389,444.58","7,428,828.12","23,441,475.17","24,000,714.50","13,927,237.35","15,844,852.07","28,229,921.37","39,918,430.46","18,480,267.50"
其中:对联营企业和合营企业的投资权益,,"14,704,554.09","21,205,555.50","29,373,905.82","8,251,674.80","17,323,260.22","21,258,079.19","28,239,672.65","8,090,597.32","17,410,158.72","25,640,352.38","39,636,985.10","7,566,385.20","16,114,696.40","22,960,411.63","35,751,039.22","5,972,654.67","13,836,262.19","21,934,749.19","35,685,986.28","6,731,186.49","11,177,397.23","17,756,323.53","29,255,440.24","7,921,008.39","14,893,215.65","20,397,401.70","30,378,457.65","7,750,499.93","15,135,200.91","23,520,979.92","33,288,736.63","6,778,224.80","12,809,697.44","19,127,418.37","22,997,828.70","8,411,495.61","12,526,830.49","20,371,109.17","31,070,639.30","8,425,712.39","12,960,289.72","18,475,948.52","34,766,216.53","5,900,368.58"
归属于母公司所有者的净利润,"14,069,191.31","36,697,972.35","55,555,580.79","73,534,446.01","15,239,421.24","40,895,333.70","57,820,030.78","70,776,033.74","9,273,213.52","37,442,921.81","59,454,494.10","71,570,281.70","22,008,950.09","50,566,401.33","73,264,816.08","102,766,375.94","27,245,709.21","57,466,634.37","71,063,321.23","106,274,664.22","15,888,091.72","41,160,857.62","-92,358,406.78","-593,263,033.76","6,792,092.03","8,076,269.99","-19,072,439.81","18,185,011.55","7,329,520.05","7,767,649.64","435,808.04","14,340,009.46","10,266,652.76","-115,694,768.92","-617,650,365.86","-1,584,404,718.40","9,782,683.27","1,929,889.10","16,591,764.22","14,714,288.37","11,546,355.07","12,374,716.34","23,122,436.03","32,475,907.88","16,223,891.48"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"2,800,980.74","5,099,371.35","7,417,380.06","7,760,039.71","1,062,295.49","2,263,983.89","2,487,957.84","2,233,767.47","2,120,503.69","4,088,838.86","6,433,999.51","7,511,484.00","1,373,397.19","5,109,726.02","7,544,263.51","9,930,867.40","2,958,276.33","6,579,600.72","9,110,166.24","13,177,479.60","5,492,337.36","14,510,249.35","22,594,864.17","30,134,872.49","7,713,625.17","14,876,305.11","19,515,667.12","20,973,919.36","8,832,909.04","17,841,822.20","26,624,636.36","31,115,806.19","8,058,140.65","10,448,282.69","-182,320,949.36","-100,358,675.20","3,606,761.31","5,498,939.02","6,849,710.95","9,286,426.13","2,380,882.28","3,470,135.73","5,107,485.34","7,442,522.58","2,256,376.02"
