科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"25,865,800.79","29,811,378.63","50,043,193.21","53,257,299.48","72,973,537.74","9,024,618.70","30,023,292.57","45,255,072.74","78,237,560.61","12,225,979.23","35,413,910.12","48,256,696.71","85,003,721.74","19,768,540.24","46,514,219.11","80,914,297.91","113,040,120.00","22,004,963.42","85,454,822.73","200,961,556.55","234,042,694.91","136,737,026.33","200,934,615.49","341,298,521.76","400,904,602.51","33,393,739.21","81,557,509.28","123,170,348.98","213,350,124.89"
取得子公司及其他营业单位支付的现金净额,,,"2,057,425.55",,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"50,000.00",,,,"16,581.79","16,581.79","16,581.79",,,,,,,,,,,,,"14,622,818.24","4,442,139.66","10,068,918.56","11,929,361.19","11,941,149.77","141,670.93","356,004.26","565,423.65",
支付其他与投资活动有关的现金,,,,,,,,,"186,760,604.38","9,400,438.67","7,988,800.00",,"3,300,000.00","7,000,000.00",,"30,200,000.00",,"12,939,056.00",,"-5,255,880.00",,"25,500,050.00","65,790,000.00","79,929,315.30",,"12,710,500.00","32,710,500.00","33,536,400.00",
收到其他与经营活动有关的现金,"2,763,472.70","1,122,581.84","2,697,293.00","13,382,790.74","16,981,415.49","403,353.90","599,726.34","4,622,834.68","10,472,561.00","4,099,693.82","6,482,245.83","6,790,383.98","23,602,058.81","47,946,921.57","100,805,079.67","105,096,715.89","104,167,696.73","1,929,236.21","16,886,679.98","9,201,010.03","134,756,361.29","69,317,980.27","172,452,083.72","246,952,560.03","226,560,742.90","44,565,500.68","51,488,626.32","97,556,210.58","16,153,205.65"
投资活动现金流出小计,"7,980,161.85","5,097,443.07","37,667,763.06","14,548,586.54","23,956,479.32","2,186,782.75","10,299,356.20","15,572,566.20","206,285,787.16","15,483,969.59","19,960,841.97","32,754,106.10","43,255,830.09","9,959,895.20","7,927,530.21","43,117,651.47","91,731,722.77","42,202,555.33","76,324,297.73","140,908,309.93","201,559,543.58","82,976,998.03","113,004,243.19","102,253,479.04","79,672,774.54","18,465,242.00","88,412,186.96","95,894,363.90","69,389,752.29"
经营活动现金流入小计,"28,629,273.49","30,983,960.47","52,740,486.21","66,640,090.22","89,954,953.23","9,444,554.39","30,639,600.70","49,894,489.21","88,710,121.61","16,325,673.05","41,896,155.95","55,047,080.69","108,605,780.55","67,715,461.81","147,319,298.78","186,011,013.80","217,207,816.73","23,934,199.63","102,341,502.71","210,162,566.58","383,421,874.44","210,497,146.26","383,455,617.77","600,180,442.98","639,406,495.18","78,100,910.82","133,402,139.86","221,291,983.21","229,503,330.54"
投资活动产生的现金流量净额,"-7,852,061.85","-4,761,493.07","-29,114,523.06","-12,258,231.83","-21,556,432.43","-1,955,453.75","-9,987,667.20","-15,073,327.20","-203,895,665.79","-14,425,184.59","5,309,697.41","-14,364,406.72","20,526,705.27","-9,694,845.20","14,791,619.79","-40,791,959.47","-54,127,052.49","-6,069,062.10","62,208,085.24","-38,021,190.46","-64,230,812.99","-30,704,021.64","-18,534,418.54","-7,077,931.79","-35,561,404.99","-17,356,311.37","-86,966,420.96","-93,094,211.64","-31,666,231.94"
购买商品、接受劳务支付的现金,"5,998,688.58","21,026,277.21","24,976,304.53","20,689,892.41","30,050,845.71","8,520,119.18","16,890,894.31","42,520,173.98","56,391,174.04","17,359,380.81","22,416,487.05","36,961,487.26","59,207,451.34","16,506,924.97","83,249,084.21","105,098,428.45","91,816,104.99","64,180,610.53","143,825,212.52","227,664,672.63","361,077,869.91","87,354,418.78","207,313,345.71","230,004,106.67","238,506,722.24","20,070,513.78","41,044,566.43","61,869,575.43","79,473,010.44"
吸收投资收到的现金,"15,000,000.00","11,904,200.00",,,,,"267,441,000.00","268,491,000.00","268,491,000.00","1,501,015.47","1,501,015.47","1,501,015.47","1,501,015.47",,,,,,"29,244,845.00","32,664,845.00","29,244,845.00",,"639,195.44",,"41,933,642.34",,,,
