科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"3,308,844,345.57","3,578,635,644.05","4,420,645,157.01","2,324,477,160.39","2,946,829,085.90","4,389,717,768.07","715,852,587.85","2,285,275,686.49","3,574,102,778.02","4,990,874,883.63","1,082,671,120.47","2,790,714,383.34","3,533,065,801.93","5,211,869,991.54","757,135,467.69","2,443,570,512.23","3,694,582,637.60","5,457,305,751.49","1,359,082,600.84"
取得子公司及其他营业单位支付的现金净额,"9,468,764.93","3,673,034.26",,,,"2,784,346.69",,,,,,,,,,,,,"630,000.00"
收到的税费返还,"10,624,862.76","68,362,049.25","33,992,295.46","2,124,124.42","17,245,048.68","27,560,559.35","10,057,234.36","13,433,922.33","27,319,589.98","49,169,441.87","945,850.65","43,634,288.27","44,691,650.80","46,354,364.36","27,528,078.66","42,548,013.12","55,789,089.66","43,073,132.36","2,692,400.69"
支付其他与投资活动有关的现金,"19,746,013.10","3,904.28","100,064.77",,"11,811,322.68",,,,,"12,006,699.68",,,,,,,,"5,562,430.16",
收到其他与经营活动有关的现金,"123,409,137.01","89,254,611.55","132,926,918.73","35,237,900.25","73,262,038.34","116,722,486.22","26,123,171.81","62,483,750.79","106,781,691.75","117,891,165.62","22,415,571.32","50,365,290.12","99,656,201.37","104,999,742.52","25,086,289.62","65,068,929.51","141,049,192.22","252,605,962.92","182,874,833.87"
投资活动现金流出小计,"6,952,573,830.38","3,463,570,331.85","4,309,144,372.06","1,734,106,083.00","2,895,746,911.40","5,368,844,971.84","1,549,255,590.57","4,026,390,409.43","5,392,632,100.37","7,597,663,013.93","1,897,779,449.89","3,191,991,599.90","5,836,622,502.82","7,202,226,004.64","1,576,469,722.33","2,468,362,883.34","3,147,554,528.82","2,398,568,583.45","529,933,800.21"
经营活动现金流入小计,"3,442,878,345.34","3,736,252,304.85","4,587,564,371.20","2,361,839,185.06","3,037,336,172.92","4,534,000,813.64","752,032,994.02","2,361,193,359.61","3,708,204,059.75","5,157,935,491.12","1,106,032,542.44","2,884,713,961.73","3,677,413,654.10","5,363,224,098.42","809,749,835.97","2,551,187,454.86","3,891,420,919.48","5,752,984,846.77","1,544,649,835.40"
投资活动产生的现金流量净额,"-248,499,963.98","-460,072,607.24","-616,996,548.28","-3,854,429.13","-494,224,364.77","88,185,775.51","-425,654,181.12","-1,322,371,063.13","-932,669,530.29","-1,898,291,078.24","-372,645,035.07","19,849,710.40","-849,094,184.71","-5,282,569.17","-757,714,851.15","-708,033,121.50","-786,659,471.59","-320,499,451.98","-426,711,845.94"
购买商品、接受劳务支付的现金,"2,222,975,498.01","2,254,597,255.95","2,958,299,210.69","1,385,687,140.52","1,915,691,361.60","2,888,580,513.35","657,096,463.65","1,617,774,654.79","2,360,294,110.81","3,330,572,613.78","696,113,146.97","1,554,099,101.10","2,302,366,987.65","3,355,144,800.76","725,824,923.23","1,557,439,478.04","2,589,188,583.33","3,686,862,290.61","763,245,650.04"
吸收投资收到的现金,"16,122,600.00","13,076,725.56",,"1,029,000.00","1,029,000.00","1,029,000.00","1,006,445,259.00","1,016,445,259.00","1,007,395,259.00","1,009,945,259.00",,"16,510,000.00","1,960,000.00","1,960,000.00",,,,,
