科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"57,041,441.65","74,428,233.53","41,817,051.82","20,238,034.23","19,528,143.11","31,929,504.24","54,980,392.45","22,501,768.29","43,681,766.78","110,633,864.48","75,747,399.45","110,613,421.70","108,009,611.62","77,336,722.08","64,185,670.69","60,540,179.32","92,483,626.94","587,792,262.16","467,833,331.93","437,342,717.15","573,422,372.65","519,197,954.69","642,459,715.36","373,422,024.47","425,874,140.16","310,211,598.60","247,132,868.14","258,228,942.05","247,539,170.46","342,390,986.57","205,057,551.76","267,347,778.44","170,845,558.42","180,974,544.93","161,733,848.36","148,013,887.15","124,341,959.40","145,399,052.46","122,516,126.82","358,564,242.83","249,009,490.20","205,487,872.79","218,545,673.49","255,961,650.41","241,967,822.44"
短期借款,"90,000,000.00","85,000,000.00","67,000,000.00","22,000,000.00","37,000,000.00","81,000,000.00","98,000,000.00","72,500,000.00","102,000,000.00","128,000,000.00","123,500,000.00","149,000,000.00","107,500,000.00","91,000,000.00","89,200,000.00","62,400,000.00","100,600,000.00","85,000,000.00","30,000,000.00","38,000,000.00","183,000,000.00","30,000,000.00","195,000,000.00",,"90,000,000.00","80,000,000.00",,,,"90,000,000.00","60,000,000.00","40,000,000.00",,,,,"50,000,000.00",,,"5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",
交易性金融资产,"156,500.00","225,000.00","282,000.00","262,500.00","232,500.00","136,500.00","108,000.00","102,000.00","148,500.00","306,000.00","202,500.00","210,000.00","375,000.00","349,500.00","325,500.00","304,500.00","330,000.00","17,597,369.55","32,262,661.40","14,627,801.40","10,615,369.60","9,043,663.20","7,430,390.80","208,500.00",,,,"1,389,288.09","1,638,369.85","1,532,585.34","2,458,844.83","1,777,695.79","2,696,214.95","4,953,811.20","2,133,750.97","3,586,352.90","3,222,557.39","2,737,496.71","2,709,115.50","3,250,938.60","2,654,933.19","2,260,176.36","2,015,065.91","1,599,668.20","1,442,281.49"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"760,820.00","600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,806.91","17,745.42","38,922.90",,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"23,115,199.59","30,626,915.37","31,596,862.61","49,396,918.23","43,568,485.80","41,780,367.75","32,543,738.87","36,498,040.88","33,851,443.46","33,705,016.84","37,279,577.67","33,079,090.43","35,439,181.91","33,794,211.66","54,393,734.28","60,924,949.75","55,554,079.71","45,930,990.59","53,924,950.30","71,769,419.01","41,008,336.69","25,811,829.87","55,681,763.68","105,402,754.63","101,034,274.97","124,048,223.48","139,263,280.47","106,664,101.14","61,805,331.07","54,066,545.98","60,272,922.61","103,147,982.43","64,826,213.41","58,268,507.85","80,816,164.41","75,948,016.12","62,275,180.25","68,740,022.82","68,764,553.52","62,582,867.63","64,840,535.90","72,042,632.44","96,155,115.51","77,193,068.03","65,510,145.79"
应付账款,"18,947,871.78","19,506,597.86","22,203,578.62","30,572,085.24","31,081,320.46","20,938,436.10","21,209,944.18","28,057,487.23","26,811,424.99","21,387,757.13","17,661,031.86","16,236,290.90","24,159,902.34","27,233,840.35","29,545,804.48","38,992,403.72","33,551,866.40","21,188,555.41","33,346,047.60","34,863,967.03","16,220,434.29","16,268,756.13","18,662,600.19","42,544,365.20","32,324,794.44","38,427,365.64","52,383,280.82","33,460,808.35","37,343,068.79","29,391,098.49","29,564,157.75","17,679,451.23","26,113,632.80","31,072,228.84","35,627,409.88","24,821,587.58","20,500,579.43","19,406,017.30","28,235,598.80","15,782,288.29","19,192,839.10","22,645,209.79","37,317,050.02","23,546,074.15","22,805,406.99"
预付款项,"1,473,571.78","3,754,604.86","2,598,512.09","10,412,941.33","5,140,305.57","5,567,469.99","6,400,576.22","3,104,860.81","1,885,173.01","2,518,839.81","2,672,817.31","4,508,169.03","5,018,045.75","5,683,060.82","5,093,493.75","6,545,149.29","5,765,794.43","5,213,825.94","9,084,135.29","10,243,725.62","2,612,882.74","7,621,344.91","16,144,243.46","28,323,450.51","40,933,687.09","16,191,997.35","7,522,657.98","19,617,679.28","10,551,637.02","11,710,814.98","10,932,868.29","7,779,877.27","13,005,991.57","25,832,695.42","44,992,269.56","18,601,600.34","11,600,761.42","9,341,482.72","16,346,249.09","6,321,827.64","18,857,498.61","14,278,408.17","7,124,157.03","11,787,432.82","2,976,666.47"
预收款项,"2,421,384.85","1,279,206.92","1,599,890.25","2,183,994.02","1,054,138.99","3,753,349.08","957,800.93","2,659,571.95","1,732,481.50","2,659,691.76","1,697,645.73","2,535,609.18","3,321,042.95","4,331,279.50","1,723,151.41","2,150,632.12","1,091,201.03","1,531,203.73","2,275,303.44","3,420,712.90","883,941.21","2,715,791.05","1,183,473.91","2,087,351.44","533,827.95","3,098,893.61","2,287,250.62","15,220,850.95","32,741,064.41","90,179,983.09","2,541,834.75","3,162,385.52","4,708,920.74","4,086,009.73","4,222,258.37","3,714,591.93","4,631,706.87","4,137,758.58","4,832,712.17","2,379,824.13","14,359,509.40","3,722,669.37","3,911,456.15","2,866,288.61","3,091,929.70"
