科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"23,556,570.76","18,192,439.82","26,076,366.26","11,100,640.90","168,882,486.89","143,422,103.97","51,974,558.26","43,427,733.76","69,192,673.24","87,806,684.90","115,539,155.51","138,739,559.05","124,453,257.83","136,547,269.97"
短期借款,"5,000,000.00","25,000,000.00","35,000,000.00","25,000,000.00","14,000,000.00",,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","33,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"18,076,315.71","14,429,274.61","12,220,546.83","16,236,888.23","9,288,270.17","9,781,673.88","4,681,333.88","6,934,389.97","5,138,495.59","4,692,162.21","15,025,239.09","10,038,965.34","16,245,714.61","16,906,407.37"
应付票据,,,,,,,,,,,"6,000,000.00","6,000,000.00","4,009,500.00","4,009,500.00"
应收账款,"32,555,539.59","40,393,948.46","43,655,416.99","50,056,594.86","44,713,497.81","43,523,134.57","51,504,372.07","49,443,465.65","62,237,566.48","57,278,927.48","53,568,852.79","54,534,794.99","89,341,526.42","79,398,021.75"
应付账款,"27,317,227.93","28,312,138.90","21,971,069.75","9,949,220.46","13,114,325.73","12,854,852.87","15,217,726.35","15,033,663.93","16,402,418.27","11,273,075.94","17,315,239.42","14,439,055.38","18,905,344.80","14,299,034.94"
预付款项,"1,124,663.10","3,668,571.52","4,954,732.30","10,071,931.25","8,827,436.81","9,896,517.46","3,695,434.54","9,020,882.98","7,717,014.09","15,639,476.47","3,189,295.45","18,996,934.43","9,586,653.25","8,717,056.24"
预收款项,"1,806,914.49","2,036,170.56","3,917,297.45","4,353,556.08","2,012,352.45","1,947,533.83","1,258,943.42","2,350,498.64","2,421,625.68","3,266,682.98","3,422,941.23","3,644,184.43","3,718,426.53","6,513,367.09"
其他应收款,"3,256,445.29","3,427,133.97","3,067,449.06","3,069,235.31","715,050.00","491,000.00","228,200.00","351,620.26","333,611.90","577,086.90","2,080,846.21","2,207,498.52","8,008,916.03","2,971,750.07"
应付职工薪酬,"1,783,818.34","1,689,363.24","2,405,742.91","1,104,259.90","1,438,293.85","1,759,945.56","3,279,943.89","1,471,421.42","1,675,851.61","1,758,562.21","4,057,547.62","2,079,143.81","2,190,146.12","2,343,985.34"
