科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"92,262,616.49","94,092,712.31","166,826,702.04","351,905,870.22","883,228,908.58","894,117,843.09","623,923,777.16","400,316,672.23","610,147,153.09","691,433,729.35","807,602,785.02","1,012,568,282.23","810,495,275.09","817,570,373.45","806,913,669.54","796,976,070.36","1,769,991,616.04","1,131,649,854.96","1,008,450,129.83","1,136,144,008.67","996,502,177.80","1,960,017,349.68","3,997,267,379.84","2,968,695,530.87","2,661,922,547.26","2,624,872,805.79","2,215,977,030.69","2,966,228,202.89","2,823,178,129.25"
短期借款,"84,398,100.00","166,423,211.88","242,346,469.62","468,000,000.00","468,000,000.00","616,201,689.99","836,096,194.19","587,000,000.00","720,665,010.00","818,687,655.00","777,180,629.92","857,602,119.25","825,344,780.00","1,571,843,184.00","1,536,273,066.50","1,459,771,052.00","1,670,220,000.00","2,398,408,440.80","2,461,426,600.00","2,433,498,100.00","2,576,740,438.35","2,563,915,822.50","1,905,279,738.40","1,938,807,572.27","1,982,489,977.16","2,263,843,316.53","2,395,019,177.44","3,637,160,821.69","4,177,211,264.95"
交易性金融资产,"300,000.00","299,805.00",,,"148,940.00","368,000.00","427,000.00","200,000.00","841,050.00",,,,,,,,,"568,045.42","816,134.58",,,,,,,,,,
交易性金融负债,,,"2,362,680.00","106,870.00",,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"8,949,020.92","10,929,325.45","11,001,735.50","9,150,000.00","32,466,411.32","21,955,310.81","84,288,970.24","23,445,798.99","10,622,515.00","9,835,636.00","4,700,000.00","23,258,270.97","9,647,250.44","15,902,325.53","10,584,034.71","21,643,280.06","17,980,131.82","22,836,639.83","51,891,127.63","458,765,459.52","118,941,950.99","90,937,433.04","116,678,256.19","113,337,835.79","230,198,234.28","407,750,620.35","145,898,938.15"
应付票据,"72,000,000.00","58,584,151.17","70,000,000.00","192,454,500.00","115,006,240.00","120,198,240.00","150,950,000.00","271,800,000.00","368,239,084.20","354,070,631.89","648,310,000.00","885,390,000.00","714,248,705.03","217,420,000.00","254,870,000.00","170,375,944.46","591,723,657.68","481,576,073.43","499,745,050.75","773,911,124.26","696,709,996.03","1,138,392,107.37","379,049,247.78","386,450,870.52","271,650,661.35","383,067,653.48","417,591,092.33","439,051,280.15","261,890,478.79"
应收账款,"22,821,541.36","112,755,622.21","141,042,144.40","189,712,863.18","320,005,188.68","200,997,071.46","242,168,046.76","304,242,273.00","425,251,501.12","319,878,488.25","343,008,358.59","487,058,907.77","572,962,762.17","722,945,131.91","742,491,124.28","850,789,372.81","929,932,003.93","1,255,247,060.82","1,330,684,590.82","1,557,145,316.97","1,678,544,922.92","1,348,995,575.04","1,369,797,279.16","1,619,245,924.17","1,719,911,716.50","1,613,339,537.99","1,792,940,950.51","1,889,272,806.61","2,187,831,745.44"
应付账款,"20,520,175.65","46,030,829.34","96,484,823.60","150,595,894.92","125,413,234.76","209,715,981.51","243,729,541.28","160,116,738.18","466,565,022.95","482,793,017.39","329,276,742.54","313,296,278.75","461,176,388.17","479,304,708.15","501,695,042.79","547,244,573.91","767,749,487.66","1,114,461,115.85","773,835,404.34","989,392,459.43","1,165,897,368.75","1,789,866,732.40","1,505,699,499.96","1,069,494,210.37","1,096,842,158.98","1,586,458,156.74","1,762,573,455.69","1,414,364,504.16","1,378,161,422.03"
预付款项,"41,032,133.19","21,029,446.38","14,013,725.00","53,807,124.46","38,262,915.63","70,556,067.17","598,907,141.13","284,467,300.77","117,614,187.92","8,586,571.65","19,073,325.88","20,614,677.46","26,942,986.66","56,182,533.41","28,144,053.13","43,202,345.44","33,557,291.74","34,805,827.38","48,202,274.98","37,225,112.13","32,423,755.16","22,509,170.06","158,384,637.60","109,021,281.53","139,538,546.25","67,089,277.48","59,466,461.41","133,932,297.41","90,567,688.81"
预收款项,"247,811.81","438,243.47","524,687.18","4,411,714.68","34,308,158.19","5,484,842.03","20,896,744.20","4,890,446.64","4,609,681.41","4,358,305.61","5,020,586.39","56,356,591.70","12,769,306.04","7,598,334.58","14,014,445.41","10,245,424.93","22,834,968.49","131,190,588.01","14,800,369.89","4,328,272.14","7,125,157.82","24,628,504.29","7,193,431.87","2,504,762.27","2,093,378.90","102,767,710.18","120,008,349.67","281,608,914.16","144,005,332.43"
其他应收款,"32,998,397.71","2,928,760.97","7,021,049.81","16,317,826.09","21,410,251.01","59,191,461.48","61,813,519.86","103,925,831.62","165,744,663.17","120,526,351.21","134,216,292.31","135,938,801.93","110,414,904.23","81,305,162.15","88,738,035.87","112,399,729.52","118,872,622.61","127,500,446.24","200,462,263.08","208,469,855.43","188,993,467.31","140,406,555.30","343,175,431.06","142,306,449.66","167,691,701.22","74,045,537.42","143,788,501.80","155,644,124.26","268,401,004.10"
应付职工薪酬,"2,860,000.00","3,655,051.33","9,672,384.15","8,524,432.77","9,651,447.31","9,355,026.62","8,685,393.15","6,319,791.37","9,517,741.34","11,717,271.06","8,302,555.84","10,498,646.73","11,018,311.73","11,489,522.04","10,532,345.46","11,594,094.02","11,453,467.06","13,047,665.42","10,326,211.64","14,513,074.94","13,226,820.74","12,692,259.30","11,362,545.51","12,628,382.08","11,842,063.12","21,738,849.28","16,118,198.28","19,347,446.59","17,742,147.14"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-4,641,056.83","-6,027,119.42","-18,492,057.28","-31,072,413.79","-31,211,403.70","-61,121,536.42","-79,062,930.48","-78,666,628.23","-152,193,101.63","10,370,023.36","11,446,657.54","9,700,752.93","10,632,065.58","12,722,529.11","4,550,086.29","4,403,529.33","7,430,593.03","20,385,918.30","8,275,373.54","19,359,105.30","13,681,768.40","39,302,310.17","15,963,569.59","56,018,676.59","12,116,003.04","69,741,134.77","35,714,991.15","55,922,532.79","41,190,863.50"
