科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"992,934,341.09","1,020,359,715.78","960,217,627.01","447,060,934.00","618,764,489.04","956,647,665.37","220,551,821.64","569,257,933.83","764,763,010.58","1,146,651,745.23","193,502,769.58","462,135,290.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,"25,538.45",,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"31,374,000.05","17,026,023.81","32,990,504.58","18,838,772.77","36,779,169.34","23,212,485.39","36,887,315.66","23,812,194.95","34,176,118.76","30,805,164.71","12,730,149.52","14,777,253.45"
投资活动现金流出小计,"23,916,083.45","119,415,276.82","235,561,796.93","92,095,018.17","161,837,702.26","176,973,834.69","313,927,828.00","349,100,976.10","350,443,304.60","561,823,156.41","60,995,385.85","151,970,114.82"
经营活动现金流入小计,"1,024,308,341.14","1,037,385,739.59","993,233,670.04","465,899,706.77","655,543,658.38","979,860,150.76","257,439,137.30","593,070,128.78","798,939,129.34","1,177,456,909.94","206,232,919.10","476,912,544.23"
投资活动产生的现金流量净额,"-23,048,569.12","-68,991,909.35","-97,262,900.24","-44,400,854.16","-60,164,120.10","-74,576,299.53","-241,553,664.74","-266,511,880.07","-250,635,457.34","-343,073,477.59","55,317,749.96","114,721,900.44"
购买商品、接受劳务支付的现金,"675,451,573.76","677,619,432.41","564,168,633.57","335,179,794.25","431,579,326.31","607,524,554.45","216,088,484.17","428,304,618.10","534,878,069.83","735,858,727.51","253,734,153.83","483,318,342.09"
吸收投资收到的现金,,,,,"759,003,405.88","783,766,800.00",,"73,630,500.00","73,630,500.00","73,630,500.00",,
支付给职工以及为职工支付的现金,"73,242,448.69","75,986,069.42","94,960,693.57","56,302,490.93","78,203,688.21","103,486,813.04","34,496,314.34","58,515,221.14","82,955,922.16","111,222,363.65","35,927,808.60","58,457,595.57"
取得借款收到的现金,"305,986,170.65","551,349,414.84","456,959,935.74","341,880,788.00","411,810,801.00","413,680,801.00",,,,,,
支付的各项税费,"75,880,641.28","87,741,472.27","76,552,748.28","41,561,790.21","65,564,209.53","88,111,669.39","32,330,512.24","46,501,302.72","72,579,392.69","101,959,639.70","28,915,976.14","41,792,177.30"
收到其他与筹资活动有关的现金,,,,,,,,,,,"14,897.33",
