科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,892,654,088.70","2,268,299,983.13","2,641,956,357.43","570,120,712.06","1,149,594,274.56","1,763,126,883.59","2,847,221,128.54","651,118,015.55","1,088,191,308.32","1,552,866,255.38","2,615,830,078.95","561,334,769.42"
取得子公司及其他营业单位支付的现金净额,"2,363,921.17",,,,,,,,,,,
收到的税费返还,,,,,"244,713.52",,,,,,,"45,141.21"
支付其他与投资活动有关的现金,,,"100,000,000.00",,,,,"29,850,000.00",,,"29,850,000.00",
收到其他与经营活动有关的现金,"92,917,561.52","91,356,943.61","63,539,566.66","6,074,217.11","13,394,230.87","16,624,923.31","56,444,258.52","26,365,556.08","37,339,051.94","79,305,203.06","50,561,732.92","24,312,228.05"
投资活动现金流出小计,"497,745,756.25","637,881,551.83","975,773,988.11","251,152,618.15","492,010,663.02","651,295,388.15","1,127,822,035.23","396,513,738.28","545,144,725.73","761,627,931.87","1,023,153,608.06","418,414,891.56"
经营活动现金流入小计,"1,985,571,650.22","2,359,656,926.74","2,705,495,924.09","576,194,929.17","1,163,233,218.95","1,779,751,806.90","2,903,665,387.06","677,483,571.63","1,125,530,360.26","1,632,171,458.44","2,666,391,811.87","585,692,138.68"
投资活动产生的现金流量净额,"-492,146,998.94","-637,371,300.70","-975,300,715.64","-151,089,593.11","-491,931,946.02","-551,125,114.76","-1,026,865,268.25","-377,324,684.67","-545,085,787.07","-761,411,493.71","-992,914,525.20","-413,648,349.64"
购买商品、接受劳务支付的现金,"600,768,529.59","852,450,103.47","1,176,932,340.19","319,383,974.32","676,354,503.18","933,176,825.07","1,418,535,716.02","454,219,603.12","630,961,522.94","1,033,754,817.20","1,649,352,412.50","290,905,714.25"
吸收投资收到的现金,,,,,,"1,375,200,000.00","1,375,200,000.00",,,,,
支付给职工以及为职工支付的现金,"344,433,267.71","429,372,151.74","514,029,262.80","187,574,177.08","307,519,655.51","448,011,922.08","584,872,318.08","177,232,951.66","289,107,639.65","440,082,225.26","558,869,681.35","199,248,932.37"
取得借款收到的现金,,"210,000,000.00","915,000,000.00","174,560,000.00","524,560,000.00","686,560,000.00","952,560,000.00","50,000,000.00","361,400,000.00","666,400,000.00","1,042,400,000.00","465,000,000.00"
支付的各项税费,"76,832,513.99","44,653,814.02","12,402,860.84","2,980,660.73","12,384,695.06","14,454,005.07","7,367,116.25","2,201,906.65","4,496,408.82","6,913,914.18","8,420,048.85","2,018,491.56"
收到其他与筹资活动有关的现金,,,,,,,"9,447,837.84",,,,"52,354,546.56",
支付其他与经营活动有关的现金,"167,714,247.14","138,597,090.83","146,121,269.90","34,163,174.63","67,289,784.15","113,171,910.80","209,450,620.87","40,646,944.07","75,364,794.07","108,210,267.82","226,133,851.38","26,732,572.44"
筹资活动现金流入小计,,"210,000,000.00","915,000,000.00","174,560,000.00","524,560,000.00","2,061,760,000.00","2,337,207,837.84","50,000,000.00","361,400,000.00","666,400,000.00","1,094,754,546.56","465,000,000.00"
经营活动现金流出小计,"1,189,748,558.43","1,465,073,160.06","1,849,485,733.73","544,101,986.76","1,063,548,637.90","1,508,814,663.02","2,220,225,771.22","674,301,405.50","999,930,365.48","1,588,961,224.46","2,442,775,994.08","518,905,710.62"
偿还债务支付的现金,"685,000,000.00","235,000,000.00","469,000,000.00","52,750,000.00","305,500,000.00","597,250,000.00","1,224,000,000.00","104,000,000.00","430,000,000.00","510,000,000.00","690,000,000.00","50,000,000.00"
经营活动产生的现金流量净额,"795,823,091.79","894,583,766.68","856,010,190.36","32,092,942.41","99,684,581.05","270,937,143.88","683,439,615.84","3,182,166.13","125,599,994.78","43,210,233.98","223,615,817.79","66,786,428.06"
分配股利、利润或偿还利息支付的现金,"176,102,573.07","223,921,172.77","228,431,054.01","11,441,360.19","23,880,810.74","32,467,147.96","257,540,738.57","4,589,707.78","7,105,951.98","12,816,974.42","23,939,208.53","10,696,334.15"
收回投资收到的现金,"11,166.00",,,,,,,,,,,"4,686,264.82"
支付其他与筹资活动有关的现金,,,,,,,"9,821,100.00",,,,,
取得投资收益收到的现金,,,,,,,,,,,"197,935.07",
筹资活动现金流出小计,"861,102,573.07","458,921,172.77","697,431,054.01","64,191,360.19","329,380,810.74","629,717,147.96","1,491,361,838.57","108,589,707.78","437,105,951.98","522,816,974.42","713,939,208.53","60,696,334.15"
处置固定资产、无形资产和其他长期资产收回的现金净额,"5,587,591.31","510,251.13","473,272.47","63,025.04","78,717.00","170,273.39","956,766.98","139,053.61","58,938.66","216,438.16","191,147.79","80,277.10"
筹资活动产生的现金流量净额,"-861,102,573.07","-248,921,172.77","217,568,945.99","110,368,639.81","195,179,189.26","1,432,042,852.04","845,845,999.27","-58,589,707.78","-75,705,951.98","143,583,025.58","380,815,338.03","404,303,665.85"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,"100,000,000.00",,"100,000,000.00","100,000,000.00","19,050,000.00",,,"29,850,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"5,598,757.31","510,251.13","473,272.47","100,063,025.04","78,717.00","100,170,273.39","100,956,766.98","19,189,053.61","58,938.66","216,438.16","30,239,082.86","4,766,541.92"
五、现金及现金等价物净增加额,"-557,426,480.22","8,291,293.21","98,278,420.71","-8,628,010.89","-197,068,175.71","1,151,854,881.16","502,420,346.86","-432,732,226.32","-495,191,744.27","-574,618,234.15","-388,483,369.38","57,441,744.27"
购建固定资产、无形资产和其他长期资产支付的现金,"495,381,835.08","627,881,551.83","870,773,988.11","251,152,618.15","492,010,663.02","651,295,388.15","1,127,822,035.23","366,663,738.28","543,144,725.73","757,277,931.87","991,303,608.06","418,414,891.56"
期初现金及现金等价物余额,"887,631,410.32","330,204,930.10","338,496,223.31","436,774,644.02","436,774,644.02","436,774,644.02","436,774,644.02","952,891,943.58","939,194,990.88","939,194,990.88","939,194,990.88","550,711,621.50"
投资支付的现金,,"10,000,000.00","5,000,000.00",,,,,,"2,000,000.00","4,350,000.00","2,000,000.00",
期末现金及现金等价物余额,"330,204,930.10","338,496,223.31","436,774,644.02","428,146,633.13","239,706,468.31","1,588,629,525.18","939,194,990.88","520,159,717.26","444,003,246.61","364,576,756.73","550,711,621.50","608,153,365.77"
