科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"339,273,207.81","413,480,079.89","196,756,229.49","294,119,434.98","469,298,025.52","78,512,483.27","229,214,792.26","331,912,175.56","523,645,170.37","77,914,061.49","317,270,507.96","500,673,299.31","789,225,148.75","134,607,676.63","337,838,064.13","583,318,401.77","934,274,709.06","209,993,506.15","455,499,272.74","664,088,933.55","969,466,771.42","147,835,513.83","391,984,992.26","617,557,635.83","950,105,636.33","176,896,091.46","450,731,484.01","651,174,182.80","994,727,830.03","191,143,072.91","439,869,970.59","642,315,484.51","968,353,943.87","193,891,574.92","458,288,459.64","691,539,737.22","1,053,150,898.73","227,009,592.79","542,308,302.55"
二、营业利润,"109,078,309.24","133,437,300.93","73,621,034.15","94,479,864.07","149,785,503.46","24,482,718.36","81,678,830.91","99,026,252.25","154,103,345.55","28,846,758.73","97,424,717.97","112,838,175.98","195,303,878.59","31,409,768.47","104,764,811.71","121,487,617.09","207,009,422.62","34,149,552.04","105,483,029.97","150,986,849.07","219,710,790.82","43,191,702.35","116,378,415.32","158,493,570.20","232,911,649.76","60,002,210.69","165,881,007.70","206,134,216.58","273,085,819.58","70,042,680.76","172,106,959.45","206,174,229.89","275,315,356.12","75,128,674.08","180,993,666.19","224,369,735.90","321,663,216.10","84,272,590.70","211,855,103.85"
减:营业成本,"63,278,596.94","70,633,519.45","31,422,443.49","68,128,645.08","97,248,202.90","21,419,329.88","51,521,568.55","88,583,939.09","135,926,098.50","14,125,016.67","127,487,084.61","230,256,194.21","359,252,325.07","49,425,044.32","113,348,205.79","255,962,531.04","436,586,587.70","102,566,084.03","179,729,226.52","256,951,479.08","356,379,482.84","36,226,648.94","92,307,471.48","173,650,954.04","250,051,797.21","44,576,735.17","95,017,601.91","132,367,801.50","201,047,419.44","30,544,732.22","63,094,112.10","102,488,761.50","150,031,747.34","26,955,142.51","57,235,047.24","88,543,845.18","133,123,809.49","28,864,016.40","64,641,924.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,650,326.29","6,375,119.74","3,352,144.38","4,849,814.50","7,942,920.98","1,100,880.73","4,429,233.67","5,177,750.34","7,087,218.18","1,119,530.44","3,727,370.22","5,926,925.67","9,038,738.28","1,984,899.15","5,157,759.91","7,263,022.47","10,499,198.45","2,572,899.30","6,710,538.26","9,028,213.45","16,911,441.03","1,117,431.77","6,089,843.08","9,119,552.99","13,411,092.40","1,954,249.09","5,826,005.43","11,018,989.46","15,850,597.73","3,894,779.07","8,578,241.96","11,846,118.34","20,771,548.59","2,382,805.56","7,863,042.75","12,804,149.19","19,130,030.79","4,799,855.38","11,112,132.68"
营业外收入,"8,948,509.02","15,435,999.70","6,621,025.01","11,539,143.61","16,381,631.17","1,657,041.35","3,722,880.48","11,220,519.40","20,289,220.80","1,438,076.08","1,996,098.96","2,867,933.66","7,699,730.47","237,152.21","1,364,349.38","13,942,568.43","16,140,537.77","19,541,908.00","30,887,746.76","30,983,466.16","39,730,716.05","16,266,170.00","38,753,239.51","47,670,408.08","53,924,796.06","1,654,998.07","2,683,920.40","2,908,854.46","18,920,239.23",,"4,264,433.82","15,798,607.93","39,291,334.26","112,698.07","2,944,783.48","3,951,598.74","3,770,291.09","3,304.60","13,959.97"
销售费用,"151,072,739.40","177,863,548.26","74,005,532.55","109,804,014.95","184,808,460.45","22,696,571.37","76,002,966.25","111,254,712.44","186,480,720.75","22,744,359.65","66,809,749.89","115,723,760.80","183,952,312.80","38,263,724.26","91,069,722.85","160,539,553.58","217,778,519.46","56,231,619.72","127,842,847.20","187,020,213.68","281,704,657.82","54,713,644.33","142,802,757.93","218,649,308.29","353,435,489.94","59,325,573.90","160,915,694.18","256,467,452.53","410,079,086.62","64,285,241.63","161,025,900.60","265,511,774.13","462,967,020.54","77,442,498.31","184,060,988.96","316,462,333.19","517,507,210.13","91,320,546.27","230,632,376.57"
减:营业外支出,"473,803.37","11,734,886.72","23,195.28","36,722.66","3,501,203.92",,"315,136.56","315,136.56","464,545.03",,"11,467.89","35,872.32","60,378.37","50,000.00","153,819.00","222,501.00","303,185.14",,"388,704.13","493,405.58","1,541,767.58","45,686.01","47,467.96","51,447.96","772,163.47",,"538,480.77","539,993.55","634,974.69",,"10,000.00","34,603.37","844,185.00",,"278,924.56","520,697.10","1,401,199.38","9,129.31","1,023,097.49"
管理费用,"30,649,909.03","33,950,085.20","14,567,452.44","21,301,137.08","39,021,271.60","9,005,720.95","19,548,505.87","32,020,571.16","49,914,061.69","11,207,565.58","26,185,273.90","40,794,537.69","52,762,541.50","13,234,188.92","27,818,038.73","43,395,438.77","70,173,349.78","15,069,303.75","39,320,811.28","58,812,944.90","90,265,982.43","11,214,450.72","33,338,239.20","54,243,030.09","98,349,088.16","13,665,234.99","34,727,265.87","57,699,890.85","116,784,895.49","20,322,831.59","36,740,616.82","57,651,960.32","82,864,064.04","11,528,536.60","33,695,585.86","53,905,981.78","81,559,193.26","14,826,619.18","38,233,415.27"
其中:非流动资产处置净损失,"277,537.92","52,940.37","21,597.28","29,624.66","471,461.35",,,,"60,180.98",,"8,187.75","10,377.68","36,556.23",,,,"13,952.72",,"173,851.75","175,453.20","245,819.76","12,704.01","14,485.96","14,485.96","141,956.27",,,"1,512.78","21,455.38",,,"1,193.57","19,755.20",,650.00,"42,422.54",,,
