科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"188,111,271.05","290,982,886.43","396,584,535.32","108,197,420.62","231,087,066.99","345,341,587.68","612,076,771.98","232,972,068.19","623,333,186.72","1,000,860,235.69","1,570,367,648.51","401,629,528.15","640,515,368.70","1,057,852,284.41","1,544,301,543.97","348,452,988.58","926,325,398.83","1,140,543,806.19","1,349,892,422.68","50,322,383.83"
取得子公司及其他营业单位支付的现金净额,,,"937,500.00",,,,"126,870,338.32",,,,,,,,,,,,,
收到的税费返还,,,"1,255,996.90",,"841,051.00","841,051.00","3,112,424.83",,,,"4,077,319.00",,"3,891,903.00","4,435,096.00",,,,,"7,734,432.55","519,492.76"
支付其他与投资活动有关的现金,,,,,"622,348.61","1,219,465.26","11,841,908.26","2,754,358.81","2,754,358.81","2,754,358.81","2,754,358.81",,,,,,,59.51,,"20,000.00"
收到其他与经营活动有关的现金,"5,707,006.14","9,027,833.39","5,465,037.82","1,622,917.13","7,236,433.75","8,770,589.15","10,672,503.63","1,692,533.58","10,725,753.88","19,085,317.61","16,788,763.75","4,567,750.77","12,279,188.28","16,810,325.27","21,161,234.71","13,485,325.99","17,390,909.69","63,002,367.68","23,758,357.94","17,627,730.28"
投资活动现金流出小计,"41,597,222.52","89,581,198.16","206,371,787.81","47,696,246.27","106,107,140.11","298,478,651.85","450,266,325.28","196,862,173.73","496,961,234.71","840,114,566.70","991,134,185.85","102,583,676.88","167,650,624.80","180,233,685.53","281,714,314.03","110,045,101.57","301,335,473.11","309,931,527.61","189,133,376.09","20,000.00"
经营活动现金流入小计,"193,818,277.19","300,010,719.82","403,305,570.04","109,820,337.75","239,164,551.74","354,953,227.83","625,861,700.44","234,664,601.77","634,058,940.60","1,019,945,553.30","1,591,233,731.26","406,197,278.92","656,686,459.98","1,079,097,705.68","1,565,462,778.68","361,938,314.57","943,716,308.52","1,203,546,173.87","1,381,385,213.17","68,469,606.87"
投资活动产生的现金流量净额,"-41,597,222.52","-89,558,836.63","-68,393,405.78","-32,661,393.26","-69,314,023.32","-223,647,062.58","-306,173,672.57","-121,183,101.70","-340,584,869.31","-504,474,973.41","-472,063,704.57","32,029,040.60","-1,419,361.87","26,204,807.21","-74,506,812.22","-104,735,447.19","-225,448,921.67","-223,205,045.79","-178,778,052.54","1,250,000.00"
购买商品、接受劳务支付的现金,"37,069,091.95","47,337,993.32","51,956,847.70","17,333,763.67","35,248,988.69","54,049,117.61","185,027,077.63","90,577,414.05","278,338,110.20","587,067,118.34","1,101,874,007.43","215,121,710.83","427,063,929.27","648,203,037.34","1,438,560,187.52","174,712,625.96","585,519,569.99","573,226,350.79","627,910,094.40","6,772,001.57"
吸收投资收到的现金,,,"518,750.00","174,400,000.00","174,400,000.00","270,000,086.11","293,714,549.43","50,000,000.00","131,614,416.00","331,614,416.00","336,714,416.00",,,,"400,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00",
支付给职工以及为职工支付的现金,"64,207,678.40","82,314,305.04","122,307,734.98","35,089,865.87","70,238,433.86","99,840,978.88","143,231,388.98","60,289,301.34","102,560,699.86","154,067,171.34","222,752,335.53","81,544,613.51","142,954,557.78","189,870,226.81","221,987,346.16","70,031,527.74","87,148,891.37","149,711,375.45","180,341,119.38","11,400,223.14"
