科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月
一、营业收入,"16,427,420.37","33,558,621.30","51,749,119.66","70,394,417.35","16,796,815.41","34,259,741.90","50,849,296.42","68,640,381.05","14,225,223.42","28,863,595.87","44,275,926.16","61,957,220.59","15,581,588.65","32,034,151.32","49,465,259.42","71,499,913.27","18,931,640.37","38,879,856.70","60,075,237.19","72,479,993.68","16,052,809.61","32,015,806.19","49,265,390.84","67,009,730.07","15,658,593.02","33,150,335.95","55,824,436.47","80,283,349.19","19,228,366.11","40,420,324.55","62,232,901.41","64,379,717.46","15,741,258.48","33,752,486.10","50,706,397.86","117,170,530.63","29,209,445.48","52,648,153.45","77,969,834.65","114,750,425.26","17,867,819.22"
二、营业利润,"-1,859,763.14","-4,267,878.89","-6,299,156.24","-7,263,181.60","-4,427,553.71","-6,966,723.51","-12,346,114.28","-16,593,240.53","-3,522,621.55","-7,880,891.98","-11,455,590.06","-24,484,307.32","-3,657,551.72","-7,221,685.25","-11,358,550.31","-8,453,427.41","-3,378,107.45","-4,049,856.26","-4,994,067.25","1,996,070.08","-3,574,093.28","-6,841,864.10","-8,879,878.62","-22,955,344.09","-4,871,425.67","-2,924,386.23","-9,120,307.42","2,235,648.49","-6,357,987.28","-9,955,031.64","-13,298,236.27","-53,433,414.11","-6,350,973.14","-11,696,929.98","-16,972,131.66","14,271,163.37","2,483,044.78","2,327,697.81","5,446,482.59","7,089,837.22","788,024.86"
减:营业成本,"663,747.87","1,343,990.53","2,689,542.21","33,818,089.62","8,830,017.79","17,747,273.01","27,059,022.69","36,421,905.40","8,385,238.06","16,775,572.37","25,408,645.54","34,998,698.15","8,364,720.87","16,983,047.98","26,265,628.06","35,096,613.80","8,988,327.92","18,219,605.74","27,762,800.08","40,625,887.89","9,352,360.67","19,262,289.75","29,654,251.31","38,985,408.26","8,749,720.67","18,507,427.46","29,613,510.86","40,189,024.39","10,219,661.55","21,177,132.41","32,813,479.67","44,036,689.67","9,710,921.61","19,739,337.10","29,880,838.76","48,260,796.57","17,523,085.69","32,010,751.82","47,727,886.89","70,570,446.19","10,932,978.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"676,468.84","1,567,581.67","2,385,256.35","3,285,014.95","802,896.94","1,633,292.38","2,363,217.21","3,217,580.34","666,666.30","1,349,647.48","2,076,381.15","2,881,199.78","735,280.97","1,523,614.19","2,302,883.93","3,417,950.72","1,001,149.92","2,093,845.69","3,262,917.38","4,756,407.44","1,041,062.02","2,167,965.96","3,283,280.77","3,753,913.99","892,956.15","2,092,133.34","3,313,542.05","4,693,040.37","1,078,711.37","2,267,580.24","3,467,581.24","3,587,146.25","886,886.35","1,895,360.60","2,805,649.07","9,355,818.70","1,149,727.04","1,680,194.41","1,895,882.04","2,507,344.50","79,626.77"
营业外收入,"1,630.00","2,795.00","4,795.00","10,025,495.48","4,350,400.00","4,352,048.92","24,353,988.92","23,958,524.26","1,600.00","2,600.00","3,200.00","448,995.80",,"2,056.00","5,932.00","12,431,148.08",,,"451,764.94","758,783.18","115,000.00","67,000.00","67,000.00","456,626.95",,,"2,176,477.00","3,088,883.98","555,807.00","1,174,614.00","1,778,028.02","2,505,835.02","555,807.00","1,304,820.00","1,910,827.00","359,219,461.04","555,807.00","1,613,972.51","2,013,384.74","2,838,199.78","100,000.00"
销售费用,"3,087,685.80","6,306,541.31","9,510,460.69","2,781,769.45","835,536.69","1,781,201.21","2,588,956.54","3,542,396.32","750,279.19","1,485,515.32","2,182,196.99","2,987,528.87","739,243.75","1,514,954.36","2,400,641.15","3,288,523.56","788,659.99","1,767,867.99","2,729,801.44","3,580,915.18","987,998.91","2,127,391.78","3,157,851.16","4,281,351.95","879,967.49","1,714,152.72","2,788,219.40","3,679,066.00","1,008,495.91","1,894,826.07","2,672,482.21","3,830,486.27","916,190.89","1,922,653.37","2,890,193.06","4,518,822.37","873,552.93","1,659,438.53","2,608,618.69","3,594,536.04","988,036.52"
减:营业外支出,,"57,798.69","119,109.35","1,166,871.58","4,082.98","26,082.98","7,663,172.51","1,522,850.68",,"5,096.50","5,096.50","6,249.03",200.00,829.66,870.66,870.66,,,"10,774.06","109,475.46","23,404.85","30,842.67","34,432.34","295,886.24",,,"397,821.63","1,838,325.83",,"6,696,750.42","6,765,768.67","412,943,366.66","26,500.00","134,427.73","210,239.72","302,062,881.83",,,"37,520.00","37,550.00",
管理费用,"11,464,262.05","23,870,584.86","35,999,839.28","27,696,704.46","8,027,813.32","14,961,970.84","23,574,305.34","31,988,768.21","6,032,943.61","12,422,106.37","19,107,628.65","26,779,773.37","7,026,799.94","14,456,904.10","22,206,622.40","28,165,753.28","6,401,357.27","12,973,941.16","19,845,088.10","22,618,784.63","5,987,496.63","13,036,138.91","19,626,169.51","27,740,995.96","6,714,696.23","13,682,049.15","22,928,217.77","28,837,866.48","7,705,473.05","15,282,395.26","22,525,631.11","31,562,751.44","6,188,442.22","13,215,700.59","20,042,562.63","28,397,158.75","6,748,418.10","14,594,983.52","19,865,221.92","30,241,403.06","5,018,187.38"
其中:非流动资产处置净损失,,,,,,,,,,"3,824.80",,"4,753.93",,629.66,629.66,629.66,,,"10,774.06","78,061.26","3,404.85","3,842.67","7,432.34","267,886.24",,,"83,838.72","914,573.15",,"19,385.62","61,285.08","106,862.50",,"2,419.24","2,419.24","1,173,684.40",,,,,
