科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"49,198,059.86","146,701,895.85","365,289,566.50","92,125,044.58","198,733,135.17","308,580,375.02","410,303,547.07","93,546,149.42","205,034,147.76","309,347,646.74","414,906,417.17","93,778,463.90","197,912,017.02","301,460,763.63","573,345,378.98","119,394,207.09","232,807,554.80","365,761,581.17","508,915,984.94","131,451,153.67","344,815,996.40","653,610,281.21","1,060,661,100.30","315,147,770.67","745,135,664.88","1,271,623,538.83","1,920,714,675.15","477,480,963.68","826,591,064.73","1,294,835,662.91","1,775,599,876.00","269,498,986.72"
二、营业利润,"593,365.54","24,130,455.04","45,043,754.92","11,903,091.08","26,151,081.22","40,820,862.77","48,461,108.83","11,636,287.53","31,523,842.07","47,011,169.44","60,298,976.38","10,947,415.74","26,109,596.09","40,030,304.49","63,714,123.39","10,855,679.11","20,848,351.15","27,098,577.81","31,378,747.82","18,259,113.02","39,289,287.45","97,115,058.35","149,924,259.03","51,408,745.75","137,593,163.37","234,123,187.37","318,931,040.38","93,042,860.28","142,298,157.64","227,454,899.71","257,468,803.04","54,390,212.58"
减:营业成本,"33,836,379.27","98,597,948.58","251,946,642.94","62,933,842.02","135,282,687.03","211,157,883.82","283,003,971.02","67,082,300.67","143,595,994.96","218,148,515.45","293,300,634.77","68,252,433.58","143,163,002.51","217,978,607.09","415,460,425.56","84,151,506.49","161,862,017.91","252,907,937.33","350,385,447.38","86,799,213.61","224,311,745.81","422,194,914.37","683,457,971.65","211,034,008.16","488,180,408.75","837,754,519.50","1,272,870,928.24","330,464,475.94","567,047,286.17","891,612,395.92","1,218,522,074.57","186,730,114.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"199,728.96","503,125.26","2,077,357.32","150,424.54","529,382.72","1,304,060.35","2,278,643.24","93,103.87","502,979.28","1,046,020.96","1,671,019.77","99,395.74","376,451.52","657,093.74","2,233,293.17","388,208.82","1,065,812.97","1,316,473.64","1,897,986.54","534,361.11","2,099,396.10","2,566,304.61","9,333,034.06","2,889,854.38","4,578,859.79","7,222,862.64","12,324,882.78","1,178,535.53","3,341,462.44","5,947,883.08","13,470,641.61","2,355,839.96"
营业外收入,"13,878,150.00","20,327,806.36","6,532,346.00","3,814,000.00","7,557,956.28","9,861,287.23","15,532,611.90","4,466,836.00","16,144,996.89","19,948,740.53","22,845,759.53","5,747,826.63","8,499,897.95","8,902,037.15","16,854,265.41","8,848,575.20","16,290,817.74","16,649,820.42","17,532,091.99","1,569,043.20","9,247,041.26","15,564,230.27","19,402,386.05","2,029,154.71","1,853,933.00","3,386,457.64","2,243,323.15","1,451,880.40","3,552,491.68","4,513,145.15","5,943,562.00","1,190,495.70"
销售费用,"3,299,403.72","6,244,531.18","19,910,604.36","4,229,986.32","9,389,387.21","14,443,460.70","20,869,785.56","4,192,674.13","9,955,881.11","15,399,876.63","19,428,755.50","3,493,806.45","8,452,355.52","12,434,055.30","30,582,661.87","6,467,701.63","13,574,522.83","21,695,976.29","42,769,340.25","8,656,925.21","33,043,460.61","53,090,762.46","93,384,558.12","17,162,781.19","45,310,943.46","76,822,412.71","117,962,958.01","14,192,987.85","41,438,088.47","65,452,312.40","107,718,362.47","16,690,252.91"
减:营业外支出,"391,910.96","333,536.43","187,458.42",,"2,313.94","178,975.50","576,139.12","5,807.06","1,252,812.05","3,911,210.10","7,250,702.88","50,095.07","1,171,915.50","5,711,124.53","11,507,803.46","291,487.71","906,425.46","1,377,227.26","2,453,819.07","193,244.15","683,100.45","1,099,918.67","8,787,462.86","763,523.93","3,793,367.10","5,064,678.19","19,727,318.94","131,462.24","673,126.39","2,575,988.53","13,243,331.38","178,432.04"
管理费用,"9,110,223.99","19,988,492.00","34,475,433.22","7,541,346.73","15,556,128.05","24,702,344.06","40,580,029.63","9,796,792.87","19,199,150.79","28,590,589.27","41,149,405.22","10,870,674.62","21,139,295.39","32,903,533.64","57,005,151.08","17,650,688.01","37,449,113.78","62,286,683.43","79,655,839.16","17,569,571.96","47,997,254.77","77,970,375.71","118,153,405.03","24,476,171.81","56,314,732.52","88,971,259.65","142,629,340.53","24,861,372.20","55,678,823.06","56,125,265.54","92,376,228.00","19,179,923.49"
其中:非流动资产处置净损失,"391,880.96","271,869.60",,,,,"576,139.12",,,"3,911,210.10","4,434,915.11","50,095.07","1,169,532.48","5,685,553.54","8,138,472.99","181,563.58","789,153.29","1,279,309.07","2,093,264.70",,"141,478.03","285,658.93","8,172,966.96","607,264.02","3,297,487.03","4,004,151.45",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"495,316.22","1,078,235.50","12,012,491.88","4,197,521.87","10,478,758.54","13,752,144.17","13,341,954.26","94,616.67","-266,266.46","-909,216.56","-2,307,521.15","-710,679.25","-1,470,452.29","-2,443,984.53","-1,537,551.10","391,962.81","944,802.77","1,059,995.84","1,328,475.71","-660,723.13","114,819.59","3,671,331.65","6,832,625.03","5,228,364.47","13,662,030.06","26,410,377.50","28,871,139.38","9,425,311.13","19,912,334.88","25,829,264.44","35,420,999.40","10,380,884.45"
三、利润总额,"14,079,604.58","44,124,724.97","51,388,642.50","15,717,091.08","33,706,723.56","50,503,174.50","63,417,581.61","16,097,316.47","46,416,026.91","63,048,699.87","75,894,033.03","16,645,147.30","33,437,578.54","43,221,217.11","69,060,585.34","19,412,766.60","36,232,743.43","42,371,170.97","46,457,020.74","19,634,912.07","47,853,228.26","111,579,369.95","160,539,182.22","52,674,376.53","135,653,729.27","232,444,966.82","301,447,044.59","94,363,278.44","145,177,522.93","229,392,056.33","250,169,033.66","55,402,276.24"
资产减值损失,"1,679,750.35","130,681.92","-280,089.55","1,168,832.01","1,345,710.40","2,399,619.15","1,768,054.53","650,373.68","522,566.01","60,691.55","1,365,146.68","825,417.02","141,768.28","-98,846.10","5,511,386.53","-511,539.78","-2,937,066.61","-604,063.17","1,500,148.08","292,691.89","-1,559,374.36","-1,893,715.71","5,683,357.41","2,436,376.36","3,687,125.05","4,234,044.22","45,431,325.68","5,773,920.04","-429,442.41","-845,350.13","12,201,152.39","-13,285,450.05"
减:所得税,"2,046,759.66","4,905,577.77","5,220,407.77","1,388,409.80","2,488,683.56","3,496,343.82","4,045,788.36","1,234,836.12","4,706,280.87","5,493,305.06","7,040,795.77","940,764.16","2,168,423.58","2,678,727.91","6,130,862.11","1,131,788.32","3,915,826.85","3,770,877.07","4,331,756.50","1,606,272.60","5,184,042.28","12,075,570.50","15,991,792.36","6,111,324.87","22,213,499.91","33,879,016.22","46,132,170.01","14,937,745.16","25,813,284.36","38,698,332.62","41,917,799.46","7,603,819.78"
