科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"29,671,165.95","61,922,099.09","86,763,232.78","103,037,009.54","11,699,159.16","1,401,900.00","22,848,002.90","42,628,474.91","10,782,398.78","17,736,979.19","29,229,206.34","1,890,640.74","2,936,664.33","4,112,853.85","5,686,232.58","496,401.43","2,446,479.60","3,346,203.75","4,304,844.51","911,020.69","1,883,271.30","10,851.30","3,567,691.30","947,760.00","1,826,420.00","2,866,230.00","3,832,640.00","875,218.00","3,906,740.00"
二、营业利润,"-17,625,872.16","-33,875,535.57","-50,482,560.08","-74,218,892.65","-3,921,602.75","-41,644,679.31","-57,315,698.36","-75,616,928.57","-31,723,330.27","-47,511,532.28","-69,884,717.12","-14,868,718.09","-30,275,540.50","-45,312,916.79","-63,216,719.69","-15,712,015.14","-27,741,157.75","-43,126,890.09","-62,802,956.67","-14,704,118.84","-29,733,781.08","-45,676,056.02","-61,588,643.56","-14,850,901.03","-30,283,943.40","-45,040,365.69","-60,323,565.82","-14,893,669.92","-59,690,939.69"
减:营业成本,"24,928,805.10","51,946,183.10","73,856,096.04","88,371,656.43","10,678,886.63","83,704.50","18,549,802.11","37,482,910.91","8,555,303.69","14,136,895.76","24,644,856.07","1,308,220.91","1,759,572.78","2,048,137.98","4,127,736.55","557,582.29","825,571.08","905,419.07","2,776,119.13","26,026.09","82,721.20","139,246.45","1,831,195.93","142,567.04","233,178.94","249,368.54","1,945,232.42","92,571.02","1,870,437.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"185,201.14","472,811.87","657,969.22","806,365.90","144,848.01",,"151,346.36","196,705.69","6,370.66","9,506.52","13,541.28",535.26,855.76,"1,050.72","2,077.47",101.48,"4,896.09","5,344.84","6,642.36",25.72,221.37,221.37,221.37,,,,,,
营业外收入,"29,835.50","30,795.50","30,795.50","32,295.50","52,694.07",,"52,694.07","55,794.07","33,111.78","33,111.78","1,960,503.02","6,000.00","6,000.00","6,000.00","40,506.00",440.00,440.00,"1,046.00","23,466,455.00",,,,,,,,,,"13,667.85"
销售费用,"2,586,351.66","4,998,716.12","7,242,797.02","9,342,398.75","1,402,555.13",,"2,763,419.33","4,381,525.13","1,000,808.58","1,525,178.87","2,233,281.38","396,714.04","650,661.33","958,098.81","1,467,478.22","159,746.49","348,094.83","473,369.76","617,402.56","57,920.58","75,567.14","75,567.14","75,567.14",,,,,,
减:营业外支出,"477,252.16","514,547.26","530,649.64","3,029,588.03",,"2,100.00","51,856.05","54,727.21","2,253.04","2,303.04","1,716,802.22","2,060.00","3,760.00","9,664.20","18,235.68","24,079.33","24,079.33","26,991.63","2,303,005.26",,,"1,300.00","1,300.00",,,280.00,280.00,"4,715.70","11,381.51"
管理费用,"4,876,269.44","9,286,204.35","12,820,469.34","21,080,871.01","2,975,559.10","3,362,714.46","8,011,955.27","11,427,625.93","4,707,712.18","7,188,743.72","12,630,860.95","2,747,053.21","4,398,171.72","6,786,661.85","9,400,813.23","1,604,320.96","3,990,028.86","5,882,654.34","8,885,341.75","1,333,413.92","3,063,191.18","4,769,213.50","6,602,804.38","1,457,603.99","3,481,335.16","5,111,799.38","5,463,446.19","1,478,481.44","4,956,676.46"
其中:非流动资产处置净损失,,,,"520,944.36",,,,,,,"1,406,088.34",,,,,,"23,979.33","23,979.33",,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
