科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"152,854,456.34","171,591,431.39","150,695,013.17","111,290,887.00","205,219,287.57","52,368,124.36","104,969,378.20","162,443,075.21","237,630,581.07","59,291,282.96","108,842,870.76","171,485,392.67","238,940,413.61","67,293,713.60","131,800,701.70","203,106,289.81","267,760,767.58","75,133,912.79","147,244,247.57","229,589,616.46","304,669,663.59","78,019,416.70","146,795,933.66","230,675,044.99","308,087,463.20","82,033,911.11","157,121,421.43","242,704,959.63","328,444,166.55","91,502,850.13","191,151,658.81","291,426,771.87"
取得子公司及其他营业单位支付的现金净额,"363,846.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"43,358.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"140,000,000.00","140,000,000.00",,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"17,384,380.15","2,300,956.96","2,620,683.65","1,330,385.80","2,174,403.51","1,777,408.18","1,554,671.58","3,437,216.56","6,320,685.41","5,379,142.10","6,868,837.89","7,955,881.91","10,525,920.76","3,946,773.05","6,075,267.37","6,980,111.24","8,311,036.21","211,355.94","2,426,042.98","2,636,287.11","4,905,923.77","2,465,293.98","7,177,785.05","7,889,376.58","8,816,370.99","1,538,069.04","2,242,627.65","4,015,349.40","4,215,646.15","473,160.76","876,330.07","2,877,711.24"
投资活动现金流出小计,"19,714,202.18","19,953,297.22","29,850,595.63","20,208,437.54","25,916,027.99","5,092,783.84","16,406,230.41","24,208,410.32","27,183,786.42","6,364,864.21","9,978,746.98","18,487,805.64","21,602,425.94","6,799,383.46","150,536,079.16","151,914,991.03","456,139,579.42","4,849,997.82","342,806,659.22","340,144,743.02","325,364,874.25","266,466,886.20","383,463,633.96","391,698,042.17","454,122,388.25","45,766,049.02","153,130,386.93","277,704,649.37","409,116,682.10","84,694,424.00","158,667,823.61","198,457,745.22"
经营活动现金流入小计,"170,282,195.09","173,892,388.35","153,315,696.82","112,621,272.80","207,393,691.08","54,145,532.54","106,524,049.78","165,880,291.77","243,951,266.48","64,670,425.06","115,711,708.65","179,441,274.58","249,466,334.37","71,240,486.65","137,875,969.07","210,086,401.05","276,071,803.79","75,345,268.73","149,670,290.55","232,225,903.57","309,575,587.36","80,484,710.68","153,973,718.71","238,564,421.57","316,903,834.19","83,571,980.15","159,364,049.08","246,720,309.03","332,659,812.70","91,976,010.89","192,027,988.88","294,304,483.11"
投资活动产生的现金流量净额,"-17,756,449.40","-19,887,037.73","-29,850,595.63","-20,208,437.54","-25,913,027.99","-5,092,783.84","-16,344,430.41","-24,101,898.30","-27,121,986.42","-6,364,864.21","-9,978,746.98","-18,487,805.64","-21,391,656.71","-6,799,383.46","-150,536,079.16","-151,914,991.03","-265,844,987.52","20,297,357.82","2,968,089.65","-1,717,528.40","17,256,776.03","-94,609,837.07","-73,003,404.59","-59,437,672.24","-121,122,231.42","-2,325,391.48","17,405,034.25","-11,724,324.08","-33,895,886.14","-1,680,145.38","7,921,554.30","8,263,637.09"
购买商品、接受劳务支付的现金,"92,999,196.80","84,634,403.20","65,786,887.34","49,389,956.85","88,404,566.44","28,635,512.75","52,561,624.77","75,523,215.83","120,018,175.46","19,563,438.24","54,073,799.12","73,084,713.90","104,907,552.14","25,034,383.96","55,104,440.48","83,712,274.12","118,579,669.78","40,215,585.25","69,899,138.68","98,701,015.14","136,097,094.10","37,268,828.38","70,187,730.33","104,017,282.90","133,941,536.26","37,628,918.24","67,195,212.89","104,295,952.02","138,912,826.45","44,215,165.09","84,967,244.96","134,298,040.04"
吸收投资收到的现金,,,,,,"345,200,000.00","345,200,000.00","345,200,000.00","345,200,000.00",,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"17,335,546.40","26,163,056.61","27,271,772.12","18,538,869.96","41,604,287.96","10,472,343.36","23,684,682.39","35,492,188.07","48,009,819.77","13,806,242.15","25,925,564.01","38,169,206.79","51,698,777.60","14,072,771.19","29,579,884.30","43,954,048.09","56,709,693.32","15,141,476.52","32,917,727.29","48,633,820.54","62,780,747.07","18,178,492.63","37,673,665.63","53,142,265.54","70,510,065.54","18,330,946.25","37,251,499.76","53,401,638.39","71,002,689.60","18,699,880.26","39,238,176.90","57,441,983.50"
取得借款收到的现金,"77,200,000.00","140,500,000.00","101,000,000.00","102,000,000.00","189,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
