科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"77,390,062.68","109,217,313.04","151,912,977.56","45,280,086.69","104,991,320.48","148,781,160.76","182,750,715.63","36,933,007.78","65,943,423.00","102,710,663.31","141,905,844.62","37,286,946.88","111,938,737.12","194,697,448.65","305,458,012.61","103,203,844.41","245,742,142.18","376,834,024.69","505,543,903.07","117,557,517.56","237,627,897.53","349,983,287.90","421,162,740.83","88,840,799.87","148,291,852.11","235,355,349.78","362,447,205.87","52,272,363.09","131,956,771.40","231,469,466.19","353,215,210.81","46,420,380.59","96,733,518.31"
二、营业利润,"15,122,056.00","16,466,301.93","36,882,789.08","12,695,652.55","28,641,831.93","37,843,752.69","45,931,363.35","12,257,361.29","15,990,303.38","21,422,490.14","24,693,733.71","7,409,368.14","20,414,779.50","36,129,255.49","57,220,297.95","27,763,506.84","65,263,547.56","97,867,945.57","118,877,107.02","30,625,195.60","59,702,325.34","71,281,573.68","64,605,838.94","7,747,778.26","11,449,022.89","19,280,649.31","16,905,938.81","-2,138,367.38","1,758,819.78","1,403,901.86","-5,921,569.97","-1,566,493.77","886,052.13"
减:营业成本,"42,946,510.04","68,209,630.45","82,832,073.92","24,502,509.09","51,524,751.34","72,156,453.67","96,023,138.05","20,458,751.11","38,162,295.85","57,346,870.27","81,163,273.04","21,740,399.19","64,263,271.29","111,917,435.36","170,456,078.12","55,615,275.71","134,173,923.66","202,501,053.15","276,047,684.80","68,105,058.25","137,718,813.33","208,302,358.01","252,520,364.34","57,721,084.36","101,669,232.20","157,352,655.90","247,405,661.83","31,262,240.97","85,000,198.91","155,696,085.43","249,115,026.36","35,474,948.38","72,845,285.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"551,564.18","561,967.28","1,536,940.11","273,230.82","965,093.56","1,805,516.47","1,936,031.88","241,211.35","484,791.18","826,559.28","1,184,859.42","151,196.54","370,682.32","887,276.18","2,958,396.57","596,962.37","1,911,189.82","2,887,312.84","4,246,483.76","1,264,453.28","2,448,825.81","3,034,093.62","3,563,370.91","306,052.06","821,767.87","1,199,418.48","2,990,200.04","365,932.17","1,129,987.33","1,608,617.99","3,986,328.29","779,975.06","2,713,201.78"
营业外收入,"119,000.00","2,510,000.00","6,897,895.30","754,310.73","985,741.46","3,748,212.19","5,299,632.53","2,260,365.81","3,523,736.19","4,088,355.60","5,657,820.46","1,459,263.08","1,694,926.16","2,321,840.65","2,653,505.22","253,518.54","839,239.39","3,468,866.60","5,228,600.01","240,952.93","6,082,533.83","6,436,677.01","15,142,941.96","5,301,180.21","8,530,631.44","12,160,744.59","17,436,565.33","268,926.44","942,910.71","3,364,688.68","2,261,375.93","1,802.81",
销售费用,"5,329,465.60","5,745,344.04","8,546,118.48","2,757,411.16","8,838,586.75","15,580,710.04","11,353,204.51","2,207,186.88","4,484,319.17","6,492,443.22","10,875,488.62","2,832,959.65","11,947,858.85","15,540,102.67","27,377,816.30","6,422,064.67","14,074,125.23","21,003,743.42","31,395,543.28","4,508,710.05","8,701,210.43","12,187,783.02","25,210,814.09","6,849,124.55","11,346,041.54","16,551,874.46","26,782,639.72","6,142,232.92","12,190,155.57","18,358,155.47","24,955,365.22","3,681,957.34","9,653,206.54"
减:营业外支出,"164,121.50","556,877.74","5,190,471.20","64,034.03","313,199.65","263,470.36","545,522.07","121,720.58","156,169.30","101,605.03","345,553.74","67,259.00","347,206.58","474,633.84","653,843.23","1,193,213.73","1,377,677.11","1,587,757.58","2,614,025.92","168,968.63","408,327.70","658,265.16","918,213.93","145,806.04","201,491.28","212,895.07","337,772.64","153,636.29","159,817.94","206,764.77","225,910.10","26,072.51","31,610.27"
管理费用,"10,418,213.53","15,337,991.44","19,849,398.41","5,129,055.37","13,702,448.77","19,161,534.88","27,224,669.83","4,796,344.45","10,900,574.56","18,347,104.38","25,506,680.99","7,503,738.92","14,506,619.40","26,199,353.17","42,158,965.77","10,582,842.78","26,595,715.39","43,504,708.78","62,530,644.98","11,161,301.08","23,617,423.17","42,214,895.61","59,429,351.17","12,203,559.47","24,379,316.10","40,026,744.50","61,865,442.01","17,399,376.11","35,974,870.81","52,558,103.24","72,300,759.01","16,010,409.10","32,037,616.65"
其中:非流动资产处置净损失,,,,"287,052.58",,"2,712.83","4,968.98","-24,131.84",563.24,"-51,831.49","3,862.16",205.38,205.38,205.38,"27,832.75",,"12,063.20","12,063.20","13,156.88",,,,600.00,,"65,609.20","65,609.20","65,609.20",,"2,416.48","2,416.48",,,
