科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"96,123,488.87","88,885,453.91","125,263,970.89",,"372,968,469.04","400,226,005.75","207,670,949.30","251,456,818.67","199,137,146.70","315,311,867.97","231,796,218.63","115,818,888.69","103,921,320.08","52,805,128.12"
短期借款,"21,400,000.00","16,000,000.00","16,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"15,404,231.30","29,750,679.93","13,398,374.86",,"1,818,825.80","1,878,300.00","20,817,492.80","14,297,000.00","19,790,575.49","14,665,255.79","18,900,745.44","16,701,037.55","25,743,874.46","18,826,594.88"
应付票据,"3,565,000.00","5,000,000.00","8,000,000.00",,"193,000.00",,"11,902,000.00","7,902,000.00",,,,,,
应收账款,"140,556,242.83","183,700,816.35","214,471,226.67",,"200,703,590.37","196,405,836.83","196,761,813.61","149,134,569.62","165,714,092.63","140,709,549.09","145,489,550.21","146,778,969.61","191,624,980.55","193,984,798.83"
应付账款,"59,855,913.19","57,834,120.71","57,266,565.95",,"62,340,583.53","56,531,605.53","67,998,998.86","49,445,015.66","69,607,629.02","72,659,605.53","75,817,715.28","55,339,295.84","65,249,601.35","74,253,332.63"
预付款项,"3,675,747.36","6,583,127.97","12,303,537.45",,"17,795,602.57","12,627,045.05","8,401,621.16","15,288,738.81","11,991,388.15","13,387,516.25","10,928,993.57","19,945,586.98","14,982,255.87","33,569,029.27"
预收款项,"36,382,877.37","61,269,640.30","46,994,570.34",,"72,403,009.26","94,882,799.61","96,882,199.45","124,468,325.53","87,319,307.61","88,379,983.77","77,445,018.42","104,120,192.39","99,714,141.49","123,041,172.39"
其他应收款,"13,486,842.14","12,950,707.49","7,862,062.96",,"15,652,839.21","12,029,102.11","7,244,100.09","9,352,119.89","12,033,315.38","16,185,919.21","6,772,611.80","15,730,411.39","9,149,172.68","8,580,501.36"
应付职工薪酬,"6,457,669.23","9,439,357.61","9,723,946.81",,"3,871,959.47","3,769,559.44","11,487,293.94","2,436,903.69","3,438,706.61","3,779,402.80","13,063,860.33","3,436,833.93","4,402,038.64","4,531,970.45"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"-7,130,738.79","6,198,589.82","6,772,998.01",,"6,585,635.21","-5,403,635.22","7,101,734.40","-596,613.69","-2,396,479.79","1,201,365.99","9,197,396.49","2,056,630.91","14,560,667.06","7,282,674.75"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,"12,300,000.00",,,,,,,"291,200.00","291,200.00"
存货,"70,191,219.47","79,120,488.05","61,427,657.31",,"65,789,880.75","105,206,499.46","108,801,518.27","130,996,794.68","123,392,060.32","121,234,123.18","127,802,695.56","144,297,588.42","133,027,952.00","173,669,942.22"
其他应付款,"13,273,707.35","8,515,622.60","4,919,079.79",,"18,085,169.76","15,034,252.59","9,963,901.48","6,475,283.70","8,242,626.87","5,590,613.22","23,770,340.82","24,444,463.21","28,674,313.41","15,020,779.54"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,
其他流动资产,,"9,000,000.00",,,"41,966,407.41",,"241,038,756.11","212,190,591.34","265,923,565.93","190,820,926.44","289,182,705.38","374,808,929.81","399,596,969.10","421,257,747.08"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"339,437,771.97","409,991,273.70","434,726,830.14",,"716,695,615.15","728,372,789.20","790,736,251.34","782,716,633.01","797,982,144.60","812,315,157.93","830,873,520.59","834,081,412.45","878,046,524.74","902,693,741.76"
流动负债合计,"133,804,428.35","164,257,331.04","149,677,160.90",,"163,479,357.23","177,114,581.95","205,336,128.13","190,130,914.89","166,211,790.32","171,610,971.31","199,294,331.34","189,397,416.28","212,891,961.95","224,421,129.76"
可供出售金融资产,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","26,404,000.00"
长期借款,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,"11,019,075.55","8,435,200.00",,,,,,,,,"3,843,815.00","2,893,815.00","2,893,815.00","2,814,300.00"
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,"5,000,000.00",,,,,,,,
专项应付款,"720,000.00","6,710,000.00","6,550,000.00",,"6,550,000.00","6,550,000.00","8,650,000.00","8,650,000.00","8,650,000.00","8,650,000.00","10,090,000.00","10,090,000.00","10,090,000.00","10,090,000.00"
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"56,296,909.33","52,272,302.59","48,874,668.01",,"98,992,002.98","97,186,031.17","97,730,210.02","96,374,193.78","96,868,431.33","94,675,741.70","94,292,054.70","91,826,484.78","89,402,953.97","87,413,904.89"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"301,801.87","18,871.60","49,314,721.46",,"1,283,064.05","27,183,064.05","2,127,159.56","2,450,733.08","3,914,290.93","7,315,596.77","31,201,615.90","34,019,819.73","34,194,675.00","37,098,389.59"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"3,769,125.27","9,629,903.15","9,090,681.03",,"9,001,069.97","8,956,264.44","14,558,125.59","14,463,125.59","14,278,514.53","14,138,708.99","17,404,180.15","17,237,347.58","17,055,540.99","16,879,048.36"
固定资产清理,,,,,,,,,,,,,,
负债合计,"137,573,553.62","173,887,234.19","158,767,841.93","190,431,400.00","172,480,427.20","186,070,846.39","219,894,253.72","204,594,040.48","180,490,304.85","185,749,680.30","216,698,511.49","206,634,763.86","229,947,502.94","241,300,178.12"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,710,000.00","100,710,000.00","100,710,000.00","100,710,000.00","302,130,000.00","302,366,400.00"
油气资产,,,,,,,,,,,,,,
资本公积,"126,551,037.47","126,551,037.47","126,551,037.47",,"371,753,737.47","371,753,737.47","371,753,737.47","371,753,737.47","385,956,577.47","385,862,237.85","389,531,220.74","390,802,648.92","191,685,864.01","194,224,750.28"
无形资产,"12,930,709.33","17,145,464.83","16,761,285.60",,"16,607,944.42","16,496,892.34","16,337,808.51","16,163,340.06","15,017,405.04","15,115,447.47","23,541,127.38","23,395,457.37","23,181,624.09","23,070,478.88"
盈余公积,"19,245,771.83","24,616,019.38","30,953,457.23",,"30,953,457.23","30,953,457.23","36,932,901.56","36,932,901.56","36,932,901.56","36,932,901.56","44,427,440.49","44,427,440.49","44,427,440.49","44,427,440.49"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"14,912,840.00","14,912,840.00","14,799,240.00","11,660,458.80"
商誉,,,,,,,,,,,,,,
未分配利润,"64,857,550.99","110,091,749.32","165,144,711.58",,"190,128,802.69","192,164,618.58","214,758,668.37","223,487,952.15","248,065,546.67","259,574,262.08","275,496,610.79","287,064,663.56","302,095,992.31","321,786,022.76"
长期待摊费用,"92,251.28","64,578.78","39,329.84",,"26,219.96","19,665.02","13,110.08","6,555.14","32,329.11","740,279.73","483,426.14","994,447.95","864,389.75","798,012.07"
少数股东权益,,"2,000,000.00","1,834,091.91",,"3,782,776.67","3,760,933.34","3,868,809.65","3,759,140.61","3,768,187.47","3,650,880.78","3,894,629.52","3,865,077.32","3,708,178.56","3,636,180.43"
递延所得税资产,"3,149,394.58","5,865,146.86","7,534,305.07",,"9,494,354.70","10,445,151.23","8,267,831.26","8,345,317.20","7,379,079.70","7,363,569.86","8,151,157.42","7,904,784.37","6,159,862.56","6,237,792.89"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,"18,353,202.00","1,000,000.00",,"26,000,000.00",,"26,996,000.00","29,471,000.00","29,729,837.31","29,954,169.11","8,458,855.90","8,475,532.50","9,451,893.20","9,549,893.20"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"83,790,141.94","102,154,766.66","123,524,309.98",,"152,403,586.11","156,330,803.81","156,472,119.43","157,811,139.26","157,941,373.42","160,164,804.64","184,972,052.44","184,510,341.70","181,149,213.57","193,386,771.52"
所有者权益(或股东权益)合计,"285,654,360.29","338,258,806.17","399,483,298.19","407,483,000.00","696,618,774.06","698,632,746.62","727,314,117.05","735,933,731.79","775,433,213.17","786,730,282.27","799,147,061.54","811,956,990.29","829,248,235.37","854,780,335.16"
资产总计,"423,227,913.91","512,146,040.36","558,251,140.12","597,914,400.00","869,099,201.26","884,703,593.01","947,208,370.77","940,527,772.27","955,923,518.02","972,479,962.57","1,015,845,573.03","1,018,591,754.15","1,059,195,738.31","1,096,080,513.28"
负债和所有者(或股东权益)合计,"423,227,913.91","512,146,040.36","558,251,140.12","597,914,400.00","869,099,201.26","884,703,593.01","947,208,370.77","940,527,772.27","955,923,518.02","972,479,962.57","1,015,845,573.03","1,018,591,754.15","1,059,195,738.31","1,096,080,513.28"
