科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"81,122,953.76","106,847,901.44","144,557,902.72","80,158,702.81","124,414,660.89","203,120,392.83","31,119,716.09","80,420,603.85","136,521,802.11","229,341,621.84","50,646,410.76","108,942,035.41","160,600,382.62","224,909,895.77","21,347,212.95","72,001,648.94","150,331,576.91","216,718,761.43","20,455,786.21","78,207,613.63","143,335,957.90","234,087,846.18","9,669,186.27","58,021,640.54","173,047,003.42","336,379,707.27","34,769,927.60","103,311,527.82","157,325,808.98","445,888,898.15","81,816,345.07","207,183,192.46","301,573,672.02","557,472,620.70"
二、营业利润,"14,735,973.88","20,236,306.31","27,120,796.56","14,032,267.73","24,799,687.51","40,685,158.65","-673,658.15","7,918,303.62","6,655,721.86","26,613,563.48","1,841,287.05","2,829,868.43","1,652,035.08","11,649,156.46","-1,993,446.20","1,008,890.84","-6,116,543.42","-1,996,251.49","-6,150,887.99","-10,073,399.94","-919,330.48","-1,478,580.32","-22,766,224.07","-27,612,015.20","-23,613,605.49","19,118,926.40","-17,089,662.94","-20,026,632.87","-34,186,404.56","39,579,747.86","-5,061,655.88","286,608.95","-1,322,995.66","-4,467,759.37"
减:营业成本,"48,173,804.82","56,521,221.78","73,051,155.21","39,515,739.51","58,685,342.23","99,199,912.98","13,715,662.16","36,052,536.29","73,116,940.08","126,750,010.31","34,512,838.09","77,914,643.39","113,625,446.31","148,729,121.11","10,295,935.36","49,278,746.12","117,393,286.03","159,611,051.17","7,833,630.04","48,565,959.15","76,529,607.55","127,801,668.16","4,125,658.63","33,693,695.73","110,696,491.72","191,113,484.06","26,371,499.08","68,710,729.07","103,084,899.67","281,426,866.12","56,621,424.41","145,274,414.05","207,503,724.14","403,395,498.60"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"337,994.61","442,472.79","718,948.42","359,504.39","479,113.44","1,223,670.83","271,615.75","821,896.65","1,136,795.04","1,959,762.82","134,751.27","393,540.64","705,542.19","1,411,593.44","137,189.48","219,480.40","306,972.29","1,834,934.11","32,373.95","495,550.77","701,752.58","2,933,440.55","29,522.17","401,605.63","801,566.64","2,982,618.26","116,946.57","249,270.61","572,425.53","1,474,449.58","227,042.51","504,676.62","784,408.64","2,242,013.99"
营业外收入,"4,139,060.16","3,162,704.01","4,775,217.23","3,561,740.91","4,565,283.09","6,248,982.18","2,745,712.92","4,673,806.87","7,740,205.62","9,171,030.18","593,703.34","5,331,245.27","5,984,715.06","9,614,683.95","314,245.99","2,822,906.30","6,535,078.73","7,764,526.46","168,119.68","1,825,822.20","2,111,895.65","2,465,513.01","344,999.99","1,540,790.67","3,710,020.10","6,036,844.05","1,055,911.21","2,588,553.70","3,375,527.02","5,827,763.91","661,773.49","215,184.22","582,043.17","744,050.37"
销售费用,"5,049,829.33","14,281,297.55","19,783,493.67","10,778,968.65","16,600,424.54","29,159,020.32","7,710,357.06","14,803,952.10","25,646,354.53","34,158,842.42","7,702,778.65","12,565,462.05","21,321,283.73","27,651,716.25","4,397,788.43","8,228,531.29","12,771,185.63","18,690,567.33","5,159,007.60","11,609,408.55","20,350,199.04","33,460,574.66","10,236,020.78","21,975,426.60","32,762,502.29","42,600,327.73","6,938,224.30","15,092,583.07","25,002,436.67","37,207,482.85","12,144,097.63","24,405,631.64","38,744,358.84","51,076,937.86"
减:营业外支出,"2,464.02","96,204.10",,"15,890.36","98,023.62","98,023.62",,,,,300.00,685.85,805.85,805.85,,"3,367.27","3,367.27","8,781.82",50.00,50.00,"132,544.05","3,342,933.23",,"18,360.00","25,810.00","36,707.95","4,358.97","126,697.67","280,989.60","350,893.83","10,565.89","130,995.83","139,299.76","94,403.37"
管理费用,"12,144,478.87","13,528,597.33","22,046,475.79","11,598,353.48","17,922,293.57","25,016,724.82","7,722,952.20","15,227,792.46","25,635,426.17","33,694,817.25","7,478,040.75","14,538,022.04","24,285,862.16","37,611,317.77","9,516,295.36","17,006,776.24","27,954,139.00","39,876,187.84","12,049,463.44","23,633,019.62","38,062,786.46","54,636,496.20","14,421,387.30","30,267,009.16","47,161,894.20","63,556,729.09","17,483,759.14","35,674,617.74","53,614,475.17","74,042,291.10","19,084,822.19","37,471,749.18","55,801,252.75","76,370,835.70"
其中:非流动资产处置净损失,,"10,217.34",,,,"15,890.36",,,,,,,,,,,,"3,367.27",,,,"3,815.58",,,,,,"55,034.05",,"100,794.43",,"93,822.01",,
