科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"745,409,685.19","774,426,450.80","699,411,215.47","562,548,894.63","1,946,314,962.38","1,759,595,340.21","1,974,233,426.52","1,744,352,594.50","1,463,201,009.36","1,468,344,207.81","1,335,939,008.43","1,253,213,688.34","1,047,239,741.34","895,421,724.49","908,661,134.39","1,372,953,452.68","1,259,960,764.35","844,469,407.45","803,025,113.24","935,822,027.28","767,251,999.97","786,867,503.56","492,653,301.67","520,355,874.60","389,160,568.28","623,880,032.35","490,988,052.30","424,903,543.83","332,115,880.92","587,681,038.91","504,876,494.63","764,341,386.70","657,087,969.08","1,335,183,723.89","1,225,772,916.83"
短期借款,"45,000,000.00","49,500,000.00",,"15,125,000.00","78,000,000.00","3,000,000.00","3,000,000.00","6,000,000.00",,,,"14,546,050.00","54,209,431.24","240,958,663.00","215,000,000.00","46,553,399.62","149,291,136.71","114,897,755.21","102,550,400.00","435,022,363.50","318,410,894.00","290,490,183.75","354,960,333.89","505,321,585.74","574,580,029.45","553,713,532.91","435,000,000.00","432,000,000.00","300,000,000.00","360,000,000.00","440,000,000.00","408,023,000.00","426,154,600.00","378,131,600.00","311,131,600.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"163,738,856.21","86,373,091.32","248,754,934.34","183,541,583.29","178,463,405.05","217,514,946.15","236,814,946.86","379,001,489.47","385,270,967.98","439,974,442.12","413,422,478.64","417,872,915.26","586,999,904.41","623,984,983.19","602,767,458.26","490,850,407.25","563,354,781.62","537,043,908.02","799,975,708.58","666,647,057.51","389,131,659.14","486,361,650.17","533,537,090.28","354,250,042.31","308,491,011.89","611,531,433.44","651,191,701.24","438,527,163.38","477,152,419.64","583,164,879.23","642,855,865.16","686,430,939.32","639,090,983.51","1,016,148,519.33","1,156,340,410.11"
应付票据,"123,414,356.00","220,534,224.80","46,578,136.85","39,516,180.00","81,380,535.88","118,797,335.27","137,179,739.34","114,328,286.87","137,049,607.18","158,299,543.35","206,076,758.00","165,837,023.00","161,828,579.40","252,148,801.90","367,873,400.11","307,326,543.78","277,404,894.57","227,164,060.65","299,091,877.18","346,475,509.40","327,754,332.00","245,396,658.00","264,972,120.65","243,426,176.40","237,975,364.25","289,867,141.98","280,335,469.26","219,844,016.57","133,305,689.92","120,057,273.13","123,580,311.03","176,407,039.51","207,377,572.98","193,753,367.13","219,118,045.63"
应收账款,"581,661,551.54","576,139,982.99","653,442,072.23","805,349,862.16","854,585,466.30","866,171,690.09","836,361,521.97","987,413,506.36","1,092,242,302.21","1,047,768,515.57","1,112,081,963.58","1,234,864,995.30","1,311,619,205.61","1,562,042,063.96","1,416,145,019.83","1,516,804,535.94","1,509,889,963.29","1,657,655,183.49","1,605,657,126.24","1,727,529,593.86","1,891,397,707.50","1,890,782,932.04","1,615,863,722.14","1,865,514,007.82","2,107,692,292.00","2,416,618,357.65","1,951,266,195.92","2,132,593,258.82","2,005,915,511.52","2,079,081,444.31","1,825,027,838.60","2,249,470,117.41","1,827,210,188.89","1,768,074,698.01","1,678,450,272.19"
应付账款,"372,323,182.77","485,106,334.82","554,638,422.92","742,197,723.59","783,356,774.57","797,056,900.18","689,878,837.40","682,734,143.79","747,482,982.72","824,386,894.50","726,914,439.27","870,532,311.62","890,782,213.25","1,112,269,657.98","1,092,108,912.75","1,160,809,665.18","1,044,885,086.28","1,171,129,687.81","1,145,854,514.75","1,291,306,502.15","1,232,474,142.65","1,144,553,462.94","1,005,355,148.73","1,077,642,291.50","1,272,664,324.13","1,608,928,751.30","1,179,121,169.84","1,181,265,907.86","1,128,385,054.96","1,273,568,611.84","1,077,191,359.42","1,274,632,812.17","1,143,075,234.36","1,201,563,367.30","1,020,883,178.28"
预付款项,"180,091,122.53","301,961,763.27","236,279,526.96","255,682,643.27","240,355,555.38","346,803,459.36","399,866,062.25","340,029,964.33","503,990,677.45","592,818,983.71","508,655,931.42","625,928,369.36","721,855,050.03","759,805,896.94","458,948,533.20","636,900,510.11","894,515,900.28","661,171,622.00","575,672,330.49","680,456,592.54","737,280,631.06","726,572,589.59","504,494,490.25","338,279,942.86","532,221,481.89","322,395,066.43","239,330,244.14","313,543,288.16","363,926,300.36","397,917,085.79","409,704,446.26","616,814,712.99","574,848,175.00","637,166,898.74","554,150,169.13"
预收款项,"1,130,806,001.22","1,195,660,331.53","1,014,396,941.78","975,019,467.21","923,343,890.38","1,076,215,710.83","1,289,058,535.52","1,286,464,061.73","1,351,229,301.72","1,399,229,987.98","1,304,794,896.04","1,482,670,927.47","1,574,128,529.77","1,710,291,640.42","1,380,459,165.89","1,639,459,655.33","1,759,813,005.93","1,435,246,372.51","1,842,281,768.27","1,758,189,495.16","1,661,995,234.63","1,505,555,948.57","951,472,622.83","762,337,186.15","999,953,882.75","961,211,265.06","843,412,269.63","766,352,434.64","845,047,248.50","863,726,247.66","1,084,429,909.07","1,632,615,715.51","1,234,768,880.35","1,593,728,534.74","1,779,206,411.83"
