科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"32,845,032.64","51,438,382.10","106,773,176.96","32,691,661.72","561,578,640.94","463,668,608.78","605,574,195.41","514,002,808.01","454,796,098.71","394,052,244.59","481,737,906.18","233,806,841.17","270,108,154.91","221,827,286.67","312,126,031.59","248,076,075.41","230,815,570.05","144,546,613.45","377,316,565.44","418,202,564.34","431,786,015.99","385,197,004.02","479,009,158.00","355,707,201.59","283,463,173.47","232,719,488.12","357,819,957.53","317,134,875.49","236,169,317.74","70,803,491.90","292,258,117.44","1,195,075,278.49","1,231,377,637.20","1,127,281,551.12"
短期借款,"15,000,000.00","20,000,000.00","41,613,473.03","53,801,199.85","5,000,000.00",,,,,,"50,000,000.00","179,000,000.00","179,000,000.00","179,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"165,000.00",,,,,,,,,,,,,,,,,,,,,,,,"50,000.00",,,
应付票据,"3,430,530.00","51,218,894.00","90,892,005.00","56,429,747.92","71,760,015.66","94,640,771.00","56,690,103.20","79,009,408.14","102,628,846.50","58,766,845.00","118,286,686.00","196,535,488.00","197,001,938.00","138,170,000.00","202,100,520.00","196,198,675.00","106,308,600.00","70,724,500.00","18,899,920.00","23,203,678.00","16,235,320.40","10,587,000.00","10,619,190.00",,,,,,,,,,,
应收账款,"39,909,355.85","52,979,918.87","53,000,947.69","70,791,169.54","82,672,701.02","131,876,862.29","46,866,663.37","82,719,315.31","136,799,790.82","136,066,067.03","93,197,594.61","143,018,633.95","179,047,272.37","103,458,739.45","71,160,413.04","82,150,554.23","81,242,806.55","77,003,741.68","66,571,482.12","46,852,532.69","47,452,815.17","56,827,794.44","42,214,808.76","46,028,453.96","49,102,213.59","39,572,945.69","35,818,575.88","34,819,836.94","49,325,685.25","52,956,602.90","56,277,885.70","61,101,841.06","65,238,919.12","103,906,966.26"
应付账款,"66,650,366.54","80,860,434.60","84,080,726.78","86,966,076.81","54,457,166.93","84,591,908.18","67,142,401.95","85,985,549.62","53,751,931.66","78,404,576.57","63,068,646.16","64,430,869.52","14,599,567.84","14,634,750.08","26,106,609.10","32,370,310.83","16,471,357.25","19,940,922.79","14,646,922.66","10,057,666.95","15,640,998.68","18,367,410.11","10,098,638.92","12,177,381.80","10,481,486.74","11,850,648.27","9,583,544.18","8,144,672.94","16,360,737.76","11,505,432.99","5,975,351.60","16,216,092.72","21,871,931.46","25,756,702.48"
预付款项,"34,974,055.74","48,685,569.86","57,647,230.53","74,149,555.66","88,287,197.71","141,559,935.63","64,893,188.87","89,890,625.85","108,435,001.03","91,702,419.15","136,547,915.66","505,697,256.34","171,005,872.03","208,751,907.72","159,330,258.50","214,780,985.90","121,960,279.64","97,013,314.06","34,173,916.07","53,682,903.70","75,908,633.06","86,702,773.42","28,451,712.16","32,800,281.37","27,576,050.82","33,605,709.92","33,430,804.22","28,773,983.88","31,877,599.33","32,114,173.36","58,824,617.12","74,879,334.67","59,395,062.74","94,067,033.85"
预收款项,"8,963,264.07","7,684,673.28","7,968,537.95","14,320,653.28","4,393,587.75","6,711,118.77","1,866,405.29","2,502,728.11","1,597,177.79","2,745,363.90","5,067,327.55","1,903,530.13","5,640,404.28","18,395,451.88","1,892,990.80","7,616,100.78","2,079,010.96","2,079,266.46","2,065,281.27","3,119,264.79","2,825,428.14","7,247,206.48","4,957,638.57","959,739.04","3,051,785.95","8,536,651.94","918,358.14","2,414,886.06","2,214,411.55","1,676,169.77","8,271,235.16","11,816,972.17","1,445,776.54","1,886,568.89"
