科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"131,818,659.30","138,758,488.53","80,457,937.50","52,667,420.66","55,502,648.62","146,111,297.86","182,089,713.25","170,884,873.94","252,925,303.92","256,952,196.04","279,640,888.83","251,175,750.22","232,213,945.66","342,402,951.90","319,551,809.59","476,619,485.21","470,790,797.85","613,295,714.05","448,289,147.55","573,364,059.85","707,527,312.10","744,726,053.61"
短期借款,,,,"65,000,000.00","95,000,000.00",,,,,,,,,,,"11,734,950.00","39,011,500.00","77,346,200.00","90,721,000.00","86,611,000.00","96,897,600.00","100,219,100.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,460,190.85","13,338,696.93","68,850,949.93","58,503,723.55","63,623,121.20","91,199,925.66","71,085,544.46","92,464,203.28","103,090,226.88","122,748,299.62","158,672,894.59","198,938,169.85","211,976,750.82","233,170,800.87","193,327,924.81","178,288,637.43","174,565,076.26","201,656,329.24","193,121,063.70","169,989,263.53","154,458,877.58","210,200,072.39"
应付票据,"1,508,028.99","2,813,429.16","7,714,297.59","1,020,921.42","1,512,759.90","1,655,885.57","2,988,084.15","1,975,267.07","188,260.34","255,485.73","228,547.84","72,877.02","5,569,046.25","8,339,171.20","13,988,010.64","13,361,769.87","12,996,365.80","18,936,951.26","20,063,427.52",,"27,179,128.60",
应收账款,"105,586,212.52","118,308,534.56","173,299,649.46","202,773,992.92","258,454,112.87","251,048,223.47","220,834,547.18","216,183,909.81","294,700,926.35","247,602,238.86","294,086,201.95","259,270,712.20","475,938,400.60","349,057,375.93","442,885,081.68","371,876,131.91","515,609,129.79","446,642,008.56","539,370,826.97","506,140,827.46","527,088,290.32","468,926,155.45"
应付账款,"53,371,700.50","56,748,829.87","104,275,524.08","153,609,432.60","142,587,666.41","121,892,174.14","110,887,411.02","136,239,507.76","175,834,120.90","174,696,352.93","163,735,887.10","188,468,690.05","311,784,920.55","256,694,844.40","242,015,491.60","272,355,722.62","308,111,419.42","281,035,232.91","311,472,377.91",,"325,784,602.11",
预付款项,"17,987,565.68","10,225,613.85","23,944,970.30","7,116,753.02","9,391,704.16","13,001,509.36","7,261,823.77","8,953,943.24","6,747,467.42","8,941,926.25","5,628,827.99","8,858,635.58","4,714,914.98","9,453,698.70","5,892,537.04","8,554,671.91","5,022,939.39","29,309,254.76","21,074,418.28","29,314,097.43","9,840,066.93","20,478,480.20"
预收款项,"585,349.20",,"316,424.59","474,834.95",,,,"38,351.83","297,600.94","512,751.15","773,030.25","480,613.25","937,344.47","3,750,094.06","1,286,743.31","514,382.44","2,994,080.73","601,989.43","5,014,995.09","6,640,462.64","14,431,076.93","3,334,520.34"
其他应收款,"17,386,802.91","1,514,059.38","1,620,507.01","7,686,980.07","7,381,953.08","7,779,893.50","3,771,596.60","2,704,424.67","2,248,889.23","2,674,634.58","6,989,248.41","8,222,168.65","7,706,759.09","5,540,700.06","4,251,645.68","4,932,329.63","2,193,690.07","12,035,995.78","7,583,860.56","3,937,829.16","4,322,189.09","4,825,781.26"
应付职工薪酬,"6,764,923.11","8,463,469.92","16,472,904.46","10,298,640.88","21,743,175.04","17,304,891.78","12,414,332.27","11,865,654.62","27,675,607.71","20,271,306.92","15,153,520.46","25,286,906.60","35,163,990.41","29,256,107.45","26,373,177.50","30,817,704.39","38,396,196.76","34,417,892.04","30,417,641.94","34,877,407.20","42,744,119.66","39,391,671.49"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,582,325.10","2,798,711.39","14,688,063.00","11,564,405.34","17,398,449.17","12,217,050.69","14,029,757.08","11,170,675.67","14,073,346.96","19,219,100.58","19,352,653.88","18,513,414.96","32,453,119.48","27,936,974.01","29,627,088.59","18,706,294.54","26,088,458.02","19,957,592.64","26,825,090.54","28,648,245.55","52,171,874.64","26,519,903.86"
应收利息,,,,,,,,,,,"470,166.67","366,527.78","289,333.34","302,166.67",,,,,,,,
应付利息,,,,"104,888.89","156,933.33",,,,,,,,,,,"8,801.21","29,669.34","21,901.22","200,935.96","345,166.33","51,895.45","21,399.96"
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"54,600,000.00",,,,,,,,,,,
存货,"92,724,626.01","99,065,957.13","143,601,442.23","184,627,989.70","180,281,969.92","172,942,300.81","176,871,588.57","199,675,556.04","204,178,162.96","244,933,402.84","221,183,665.52","269,916,964.75","314,819,720.67","339,123,513.00","296,713,586.52","333,606,550.96","373,525,726.32","385,840,710.06","371,732,566.66","373,910,681.58","393,891,950.46","366,552,317.95"
其他应付款,"950,545.04","868,618.10","273,685.60","316,938.87","1,707,194.76","5,307,752.45","2,341,535.34","1,552,676.62","2,121,669.15","1,713,256.84","2,617,299.45","2,694,919.74","3,001,268.17","2,486,000.67","1,934,100.58","2,157,528.94","887,120.69","52,802,831.54","56,037,826.07","54,652,849.24","55,774,638.93","57,395,585.78"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,"1,637,121.86","220,781.40","250,045,087.51","198,133,095.52","225,335,173.12","152,418,417.60","177,651,539.06","94,784,350.90","102,223,067.67","109,303,202.42","77,497,027.05","14,903,334.46","6,400,926.49","14,693,849.07","10,535,015.04","22,971,861.16","17,701,848.89","15,468,848.80","10,627,274.44"
其他流动负债,,,"6,140,000.00","5,079,855.12",,,,,,,,,,,,,,,,,,
流动资产合计,"381,964,057.27","381,211,350.38","491,775,456.43","515,013,981.78","574,856,291.25","932,128,238.17","860,047,909.35","916,202,084.10","1,016,309,394.36","1,061,504,237.25","1,061,456,244.86","1,098,971,996.70","1,356,963,027.58","1,356,548,234.18","1,277,525,919.78","1,380,278,733.54","1,556,401,208.75","1,699,315,027.49","1,604,143,744.88","1,674,358,607.90","1,812,597,535.28","1,826,336,135.30"
流动负债合计,"67,762,871.94","71,693,058.44","149,880,899.32","247,469,918.07","280,106,178.61","158,377,754.63","142,661,119.86","162,842,133.57","220,190,606.00","216,668,254.15","256,460,938.98","235,517,421.62","388,909,689.33","328,463,191.79","315,224,612.22","349,657,154.01","428,514,810.76","485,120,591.04","540,753,295.03","517,792,493.69","614,983,040.87","588,996,010.37"
可供出售金融资产,,,,,,,,,,"1,500,000.00","40,000,000.00","40,000,000.00",,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,"1,169,248.95"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,"1,174,482.43","1,147,990.53",,,,,,,"2,000,000.00","3,517,802.04","1,493,688.65","1,453,541.36","1,408,302.53","23,646,173.12","24,275,269.18","5,933,618.54","1,268,201.35","1,188,503.65",,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,"23,015,073.91","22,782,525.86","22,507,099.34","33,513,200.38","21,960,184.29",,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,
固定资产,"84,835,070.04","102,521,968.26","108,624,743.36","357,880,554.81","380,386,484.24","379,999,044.72","414,656,646.31","421,908,158.53","429,113,331.85","424,642,657.45","432,151,630.73","433,255,034.52","436,342,382.19","437,234,613.40","438,150,782.18","426,381,348.23","439,052,000.79","460,669,061.81","462,943,939.40","468,995,661.84","489,058,894.37","483,100,995.68"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,
在建工程,"1,605,186.56","23,204,503.94","160,892,610.77","29,563,867.76","36,459,116.68","42,451,761.54","16,533,107.66","9,622,303.95","7,107,765.04","8,529,149.58","11,167,444.24","16,576,208.79","12,124,673.12","14,893,694.37","16,324,700.83","36,123,314.36","50,263,820.42","68,197,237.18","78,151,850.91","93,042,289.31","82,940,927.71","103,666,993.18"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,"4,284,748.21","3,496,944.91","2,617,230.21","1,744,820.13","872,410.05",,,,,,,"3,094,763.51","3,079,054.04","6,157,477.24","6,125,900.44","6,094,323.64","7,478,131.40","8,570,927.84"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,
负债合计,"67,762,871.94","71,693,058.44","149,880,899.32","247,469,918.07","284,390,926.82","161,874,699.54","145,278,350.07","164,586,953.70","221,063,016.05","216,668,254.15","256,460,938.98","235,517,421.62","388,909,689.33","328,463,191.79","315,224,612.22","352,751,917.52","431,593,864.80","491,278,068.28","546,879,195.47","523,886,817.33","622,461,172.27","597,566,938.21"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"180,000,000.00","180,000,000.00","180,000,000.00","360,000,000.00","360,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","630,000,000.00","630,000,000.00","630,000,000.00","637,719,200.00","637,719,200.00","637,719,200.00","639,649,000.00","639,413,200.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,
资本公积,"206,683,628.58","206,683,628.58","206,683,628.58","26,683,628.58","26,683,628.58","405,945,201.58","405,945,201.58","405,945,201.58","405,945,201.58","405,945,201.58","405,945,201.58","405,945,201.58","405,916,058.37","405,916,058.37","195,916,058.37","195,916,058.37","195,916,058.37","239,409,807.39","244,427,370.37","249,372,570.37","259,713,107.02","262,220,980.17"
无形资产,"16,168,692.78","56,157,860.97","61,252,215.89","62,253,698.00","61,782,127.14","61,961,404.48","74,942,768.04","75,365,136.10","77,277,887.13","77,332,899.82","76,800,492.03","76,464,338.30","72,099,695.90","90,263,056.87","89,743,855.19","89,103,284.68","93,166,174.54","90,645,616.80","92,121,042.56","107,744,358.79","113,402,817.89","112,035,969.07"
盈余公积,"3,232,813.75","17,795,795.02","35,548,520.57","35,548,520.57","54,134,601.59","54,134,601.59","54,134,601.59","54,134,601.59","71,759,515.40","71,759,515.40","71,759,515.40","71,759,515.40","96,886,145.78","96,886,145.78","96,886,145.78","96,886,145.78","126,832,333.09","126,832,333.09","126,832,333.09","126,832,333.09","156,587,351.33","156,587,351.33"
开发支出,,,,,,,,,,,,,,,,,,,"2,344,159.91","4,374,402.09","6,781,072.55","9,541,767.25"
减:库存股,,,,,,,,,,,,,,,,,,"47,164,312.00","47,164,312.00","47,164,312.00","53,424,994.00","51,984,256.00"
商誉,,,,,"7,325.68","6,255.58","6,448.09","6,721.13","6,721.13","6,881.06","6,881.06","6,881.06","6,858.16","6,919.45","6,919.45","6,919.45","7,323.24","7,262.70","7,181.70","4,048,217.10","3,170,086.33","3,169,817.32"
未分配利润,"28,263,134.32","92,419,296.95","258,655,687.94","305,368,294.19","340,918,906.41","393,182,214.83","364,793,683.51","407,086,580.90","436,658,564.73","496,104,770.93","496,413,692.64","559,130,033.37","606,643,787.24","680,186,677.39","645,441,609.13","723,801,305.01","768,744,716.96","847,091,722.18","735,426,948.36","822,854,998.63","862,879,951.06","922,215,042.85"
长期待摊费用,,"3,101,013.27","2,929,528.70","2,926,415.31","2,872,794.18","2,819,173.05","2,990,409.45","12,324,644.66","12,172,339.75","11,660,882.02","11,250,002.84","11,426,132.49","10,973,999.29","10,560,820.53","9,800,828.63","6,881,250.19","9,706,297.47","6,879,865.70","10,580,444.40","9,801,598.71","6,373,452.73","5,814,919.44"
少数股东权益,"628,910.04","2,806,629.22","806,214.80","2,262,763.93","3,371,237.04","4,547,003.41","2,745,401.83","3,265,609.37","2,872,651.71","459,742.73","2,940,175.22","13,344,159.11","16,125,983.76","20,014,880.32","12,677,941.29","15,519,840.00","37,122,419.65","43,713,571.85","42,249,504.83","45,785,589.50","41,884,433.57","43,051,507.07"
