科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"325,067,937.26","222,346,933.84","369,166,269.81","192,332,729.39","432,351,603.89","101,517,567.53","188,855,913.57","293,355,469.01","378,648,306.04","102,672,408.73","216,542,180.85","316,711,619.05","409,666,124.22","140,883,863.77","323,467,046.40","499,699,758.66","698,785,927.27","187,114,688.44","317,542,877.44","508,925,482.43","726,879,091.43","188,156,467.54","353,486,041.23","544,454,769.53","756,561,518.94","211,606,743.52","401,652,813.62","618,556,310.85","872,316,504.17","197,035,517.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,697,462.54","6,124,256.29","18,674,999.80","9,440,226.57","19,090,113.50","6,489,100.54","11,319,228.65","17,663,995.42","29,526,274.40","10,100,264.98","18,956,684.36","33,308,097.91","46,189,942.79","12,923,352.27","21,575,595.83","32,766,007.81","44,491,276.14","13,433,470.18","28,190,231.09","36,502,519.09","47,108,008.78","11,123,019.33","17,561,934.64","33,439,977.93","41,161,461.27","6,352,385.75","7,951,039.70","11,273,931.57","14,963,596.90","2,993,711.06"
支付其他与投资活动有关的现金,,,,,,,,,,"5,000,000.00",,,,,,,,,,,,,,,,,,"35,000,000.00","51,272,750.00",
收到其他与经营活动有关的现金,"3,571,316.70","10,864,215.47","14,481,066.99","1,509,903.85","3,694,513.17","990,089.02","4,671,298.33","6,452,440.82","9,967,335.37","7,535,907.06","5,757,693.14","6,069,223.35","31,900,539.95","633,013.89","2,242,635.41","2,404,021.35","26,731,432.54","5,643,283.51","6,015,369.53","6,982,465.16","15,110,668.63","139,388.10","1,678,151.20","2,375,371.81","4,366,984.22","3,034,180.66","3,854,441.39","7,569,989.44","8,383,891.42","1,827,721.76"
投资活动现金流出小计,"65,749,996.56","25,804,122.78","50,866,906.19","25,055,449.86","61,671,751.90","15,460,464.76","60,227,297.94","93,879,419.99","153,968,581.17","107,048,737.89","133,246,182.34","153,419,682.33","159,074,978.75","16,222,801.76","32,670,031.79","60,095,836.49","70,921,133.68","14,631,034.91","37,406,078.23","54,558,559.97","130,899,020.76","16,136,834.08","33,284,154.05","65,579,867.52","81,131,049.01","15,538,834.97","26,023,178.68","71,337,804.74","93,318,184.70","10,587,587.86"
经营活动现金流入小计,"332,336,716.50","239,335,405.60","402,322,336.60","203,282,859.81","455,136,230.56","108,996,757.09","204,846,440.55","317,471,905.25","418,141,915.81","120,308,580.77","241,256,558.35","356,088,940.31","487,756,606.96","154,440,229.93","347,285,277.64","534,869,787.82","770,008,635.95","206,191,442.13","351,748,478.06","552,410,466.68","789,097,768.84","199,418,874.97","372,726,127.07","580,270,119.27","802,089,964.43","220,993,309.93","413,458,294.71","637,400,231.86","895,663,992.49","201,856,950.68"
投资活动产生的现金流量净额,"-59,494,268.86","-15,796,922.78","-49,366,906.19","-25,055,449.86","-61,671,751.90","-15,460,464.76","-60,227,297.94","-93,869,419.99","-140,444,144.72","-80,718,737.89","-106,916,182.34","-126,297,869.75","-148,092,229.73","-16,046,368.89","-32,306,201.66","-59,347,102.25","-42,939,315.52","-14,401,665.05","-37,176,708.37","-54,329,190.11","-124,092,102.92","-16,136,834.08","-33,284,154.05","-65,579,867.52","-79,890,849.01","-13,491,334.97","-23,975,678.68","-67,286,010.86","-88,472,280.82","-10,522,587.86"
购买商品、接受劳务支付的现金,"175,860,037.95","145,727,280.05","241,047,101.50","139,985,721.76","284,899,921.06","67,475,080.13","119,619,124.67","215,796,820.16","272,908,028.35","89,176,502.43","148,872,864.77","236,770,763.32","260,561,064.62","118,900,075.00","210,634,621.99","336,384,011.97","454,561,967.92","159,197,155.77","275,430,214.21","399,549,365.35","472,059,095.60","143,596,101.62","251,667,152.08","397,725,477.77","533,515,635.12","165,481,868.34","263,822,356.83","435,210,832.87","561,416,710.72","174,815,231.18"
吸收投资收到的现金,"12,000,000.00",,,,,"289,770,000.00","289,770,000.00","289,770,000.00","289,770,000.00",,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"50,632,088.20","50,924,673.66","78,189,009.15","43,858,151.87","80,432,996.32","26,776,183.81","52,971,205.35","68,765,614.67","102,087,509.67","28,737,989.86","58,019,179.23","85,264,354.35","110,691,321.51","26,997,798.83","70,505,474.74","109,929,206.76","149,939,544.34","42,193,245.64","72,365,705.20","109,013,969.59","155,124,574.85","47,465,831.94","86,104,193.45","137,593,740.70","195,846,268.28","56,927,424.00","107,977,712.25","160,411,680.99","215,084,564.49","57,065,691.63"
取得借款收到的现金,"59,979,260.84","106,675,719.01","97,821,548.14","69,749,015.03","105,578,485.03","16,588,090.12","25,394,477.13","143,303,540.61","202,180,319.17","56,219,436.81","99,365,201.85","225,181,600.65","311,155,323.08","71,154,095.27","113,769,584.27","214,630,364.10","318,060,937.20","134,426,847.50","268,140,875.78","388,571,595.78","507,693,831.78","67,909,090.65","174,791,244.03","288,948,548.31","414,784,709.09","80,000,000.00","162,700,000.00","307,700,000.00","390,000,000.00","99,201,740.96"
支付的各项税费,"23,105,129.19","12,954,846.72","11,842,259.93","8,892,287.25","15,106,550.81","5,866,228.92","10,929,715.73","13,940,530.22","17,058,773.89","4,606,081.85","8,822,978.80","11,600,133.95","18,048,337.66","999,790.60","16,199,336.78","22,296,171.94","28,756,815.97","8,310,054.77","15,819,514.50","21,288,711.40","26,225,212.02","5,299,090.43","7,677,465.80","12,251,818.10","16,105,454.37","3,040,626.30","10,525,716.74","16,144,437.85","16,202,070.93","4,426,527.90"
收到其他与筹资活动有关的现金,,"9,124,000.00",,"4,690,000.00",,,"9,446,000.00","9,446,000.00","9,446,000.00",,,,,,,,"31,041,639.34","30,929,000.00","30,929,000.00","77,229,000.00","78,524,171.56",,"13,872,015.20","26,892,928.41","74,985,394.92",,51.16,51.16,51.16,
支付其他与经营活动有关的现金,"29,649,539.92","18,076,072.32","21,638,172.42","15,763,982.35","17,642,001.30","11,521,173.06","26,761,991.81","30,288,200.80","25,821,481.48","11,371,825.43","14,850,738.23","21,850,482.78","43,634,821.92","8,597,204.89","13,263,670.50","26,302,502.74","68,913,154.12","8,184,905.29","22,569,151.48","29,076,652.98","64,335,521.06","21,710,785.68","20,381,733.22","32,996,338.55","33,475,284.24","9,861,443.19","15,883,958.55","23,774,443.13","28,954,954.27","9,182,978.89"
筹资活动现金流入小计,"71,979,260.84","115,799,719.01","97,821,548.14","74,439,015.03","105,578,485.03","306,358,090.12","324,610,477.13","442,519,540.61","501,396,319.17","56,219,436.81","99,365,201.85","225,181,600.65","311,155,323.08","71,154,095.27","113,769,584.27","214,630,364.10","349,102,576.54","165,355,847.50","299,069,875.78","465,800,595.78","586,218,003.34","67,909,090.65","188,663,259.23","315,841,476.72","489,770,104.01","80,000,000.00","162,700,051.16","307,700,051.16","390,000,051.16","99,201,740.96"
经营活动现金流出小计,"279,246,795.26","227,682,872.75","352,716,543.00","208,500,143.23","398,081,469.49","111,638,665.92","210,282,037.56","328,791,165.85","417,875,793.39","133,892,399.57","230,565,761.03","355,485,734.40","432,935,545.71","155,494,869.32","310,603,104.01","494,911,893.41","702,171,482.35","217,885,361.47","386,184,585.39","558,928,699.32","717,744,403.53","218,071,809.67","365,830,544.55","580,567,375.12","778,942,642.01","235,311,361.83","398,209,744.37","635,541,394.84","821,658,300.41","245,490,429.60"
偿还债务支付的现金,"32,497,594.70","100,059,631.00","76,461,698.30","29,957,543.75","54,553,255.75","32,790,000.00","92,350,546.03","165,639,561.23","208,805,288.58","4,361,666.66","64,228,451.13","184,361,895.54","286,164,693.37","67,572,568.78","104,061,708.78","194,564,528.78","298,664,426.16","101,381,683.40","197,393,190.70","316,654,513.92","431,829,363.91","44,139,542.90","151,838,816.83","237,491,502.83","367,491,502.83","94,135,134.53","182,600,557.98","294,935,929.70","411,771,009.33","71,994,393.11"
经营活动产生的现金流量净额,"53,089,921.24","11,652,532.85","49,605,793.60","-5,217,283.42","57,054,761.07","-2,641,908.83","-5,435,597.01","-11,319,260.60","266,122.42","-13,583,818.80","10,690,797.32","603,205.91","54,821,061.25","-1,054,639.39","36,682,173.63","39,957,894.41","67,837,153.60","-11,693,919.34","-34,436,107.33","-6,518,232.64","71,353,365.31","-18,652,934.70","6,895,582.52","-297,255.85","23,147,322.42","-14,318,051.90","15,248,550.34","1,858,837.02","74,005,692.08","-43,633,478.92"
分配股利、利润或偿还利息支付的现金,"24,310,657.40","5,486,080.75","5,258,005.46","12,712,415.45","17,112,399.53","2,245,134.27","13,052,233.08","17,362,123.37","19,254,657.75","1,974,351.91","9,121,346.90","16,257,532.73","18,122,304.87","2,581,220.66","5,803,541.93","9,734,873.83","11,253,053.51","2,348,199.80","7,404,242.62","10,090,076.16","14,451,651.64","2,677,504.55","9,839,045.35","13,204,744.69","18,009,992.97","2,956,545.82","10,708,583.72","16,614,784.08","21,552,262.31","3,772,966.24"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00",
支付其他与筹资活动有关的现金,"4,288,750.00",,"3,664,000.00","9,446,000.00","4,756,000.00",,,,,,,,,"18,400,000.00","30,705,600.00","43,234,000.00","74,205,200.00","46,300,000.00","59,256,617.02","106,533,713.07","106,646,416.30","123,500.00","123,500.00","123,500.00",,,,,,"161,631.12"
取得投资收益收到的现金,,,,,,,,,"14,436.45",,,"751,812.58","982,749.02","151,232.87","338,630.13","697,534.24","909,589.03","229,369.86","229,369.86","229,369.86","229,369.86",,,,,,,"4,293.88","4,293.88",
筹资活动现金流出小计,"61,097,002.10","105,545,711.75","85,383,703.76","52,115,959.20","76,421,655.28","35,035,134.27","105,402,779.11","183,001,684.60","228,059,946.33","6,336,018.57","73,349,798.03","200,619,428.27","304,286,998.24","88,553,789.44","140,570,850.71","247,533,402.61","384,122,679.67","150,029,883.20","264,054,050.34","433,278,303.15","552,927,431.85","46,940,547.45","161,801,362.18","250,819,747.52","385,501,495.80","97,091,680.35","193,309,141.70","311,550,713.78","433,323,271.64","75,928,990.47"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,800.00","7,200.00",,,,,,"10,000.00","10,000.00",,,"40,000.00",,"25,200.00","25,200.00","51,200.00","27,072,229.13",,,,,,,,"1,240,200.00","2,047,500.00","2,047,500.00","2,047,500.00","2,841,610.00","65,000.00"
筹资活动产生的现金流量净额,"10,882,258.74","10,254,007.26","12,437,844.38","22,323,055.83","29,156,829.75","271,322,955.85","219,207,698.02","259,517,856.01","273,336,372.84","49,883,418.24","26,015,403.82","24,562,172.38","6,868,324.84","-17,399,694.17","-26,801,266.44","-32,903,038.51","-35,020,103.13","15,325,964.30","35,015,825.44","32,522,292.63","33,290,571.49","20,968,543.20","26,861,897.05","65,021,729.20","104,268,608.21","-17,091,680.35","-30,609,090.54","-3,850,662.62","-43,323,220.48","23,272,750.49"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,"6,577,547.98",,,,,,,,,
四、汇率变动对现金的影响,"-289,771.28","-10,428.96","-1,158,150.68","-519,270.95","-1,238,438.39","-146,740.06","192,057.33","636,726.95","318,833.60","-504,976.29","-1,380,961.42","-1,853,121.24","-2,337,781.00","-234,663.89","666,868.78","629,580.01","850,929.40","1,286,450.35","1,582,080.16","2,542,653.77","2,920,085.74","-159,751.00","414,867.37","454,312.49","2,319,168.38","-437,050.51","-1,334,281.57","-1,959,566.68","-2,439,463.31","-1,540,127.47"
收到其他与投资活动有关的现金,"6,246,927.70","10,000,000.00","1,500,000.00",,,,,,"13,500,000.00","26,330,000.00","26,330,000.00","26,330,000.00","10,000,000.00",,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,255,727.70","10,007,200.00","1,500,000.00",,,,,"10,000.00","13,524,436.45","26,330,000.00","26,330,000.00","27,121,812.58","10,982,749.02","176,432.87","363,830.13","748,734.24","27,981,818.16","229,369.86","229,369.86","229,369.86","6,806,917.84",,,,"1,240,200.00","2,047,500.00","2,047,500.00","4,051,793.88","4,845,903.88","65,000.00"
五、现金及现金等价物净增加额,"4,188,139.84","6,099,188.37","11,518,581.11","-8,468,948.40","23,301,400.53","253,073,842.20","153,736,860.40","154,965,902.37","133,477,184.14","-44,924,114.74","-71,590,942.62","-102,985,612.70","-88,740,624.64","-34,735,366.34","-21,758,425.69","-51,662,666.34","-9,271,335.65","-9,483,169.74","-35,014,910.10","-25,782,476.35","-16,528,080.38","-13,980,976.58","888,192.89","-401,081.68","49,844,250.00","-45,338,117.73","-40,670,500.45","-71,237,403.14","-60,229,272.53","-32,423,443.76"
购建固定资产、无形资产和其他长期资产支付的现金,"65,749,996.56","25,804,122.78","50,866,906.19","25,055,449.86","61,671,751.90","15,460,464.76","60,227,297.94","93,879,419.99","153,968,581.17","102,048,737.89","133,246,182.34","153,419,682.33","159,074,978.75","16,222,801.76","32,670,031.79","60,095,836.49","70,921,133.68","14,631,034.91","37,406,078.23","54,558,559.97","70,899,020.76","16,136,834.08","33,284,154.05","65,579,867.52","81,131,049.01","15,538,834.97","26,023,178.68","34,337,804.74","40,045,434.70","10,587,587.86"
期初现金及现金等价物余额,"12,750,004.91","16,938,144.75","23,037,333.12","34,555,914.23","34,555,914.23","57,857,314.76","57,857,314.76","57,857,314.76","57,857,314.76","191,334,498.90","191,334,498.90","191,334,498.90","191,334,498.90","102,593,874.26","102,593,874.26","102,593,874.26","102,593,874.26","93,322,538.61","93,322,538.61","93,322,538.61","93,322,538.61","76,794,458.23","76,794,458.23","76,794,458.23","76,794,458.23","126,638,708.23","126,638,708.23","126,638,708.23","126,638,708.23","66,409,435.70"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,"60,000,000.00",,,,,,,"2,000,000.00","2,000,000.00",
期末现金及现金等价物余额,"16,938,144.75","23,037,333.12","34,555,914.23","26,086,965.83","57,857,314.76","310,931,156.96","211,594,175.16","212,823,217.13","191,334,498.90","146,410,384.16","119,743,556.28","88,348,886.20","102,593,874.26","67,858,507.92","80,835,448.57","50,931,207.92","93,322,538.61","83,839,368.87","58,307,628.51","67,540,062.26","76,794,458.23","62,813,481.65","77,682,651.12","76,393,376.55","126,638,708.23","81,300,590.50","85,968,207.78","55,401,305.09","66,409,435.70","33,985,991.94"
