科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"221,810,294.55","220,935,428.54","64,315,475.01","410,425,166.29","40,002,941.24","135,395,053.68","326,537,523.70","449,974,383.25","16,089,992.00","62,863,954.00","71,817,357.58","74,554,834.99","67,018,595.75","66,736,184.78","125,552,298.46","159,627,056.65","2,813,881.33","28,969,807.95","98,439,001.55","199,908,738.78","89,732,435.20","232,359,892.06","336,150,847.46","653,767,667.76","246,375,322.29"
取得子公司及其他营业单位支付的现金净额,,,,"6,000,000.00",,,"3,600,000.00","3,600,000.00",,,,"20,000,000.00",,"54,000,000.00","54,000,000.00","44,000,000.00",,,,,"137,615,480.00","72,734,633.81","72,734,633.81","74,560,285.76",
收到的税费返还,,,,,,,,"208,141.14",306.00,306.00,306.00,,,,,,,,,"2,260,363.81",,"1,185,840.23","2,661,090.39","6,479,344.29","3,369,065.91"
支付其他与投资活动有关的现金,,,,,,,"73,000.00",,,,,,,,,,,,"2,855,269.77","6,502,960.91","568,922.02","3,244,018.51","4,889,083.37","3,805,707.53","159,000.00"
收到其他与经营活动有关的现金,"2,960,575.31","2,952,098.96","1,292,134.41","9,715,531.84","6,563,839.60","11,471,558.82","15,299,098.92","6,055,496.02","3,270,898.04","12,201,771.60","14,789,492.72","11,648,123.47","2,302,464.70","6,334,646.53","4,768,987.47","10,855,427.63","3,160,979.86","8,279,606.49","11,773,958.84","14,760,990.63","5,892,369.27","16,570,026.18","16,878,306.40","19,876,961.39","1,193,526.23"
投资活动现金流出小计,"122,213,199.95","16,345,840.92","51,282,122.81","175,697,353.30","22,584,619.18","65,689,322.55","86,566,031.04","765,922,940.66","95,246,090.10","208,654,962.22","211,018,789.22","253,865,408.33","106,475,488.81","165,191,537.17","415,191,537.17","176,209,975.94","3,702,304.52","608,951,772.52","1,212,171,615.73","112,331,492.22","745,398,554.34","85,854,223.84","91,694,847.35","101,081,790.59","524,793,926.98"
经营活动现金流入小计,"224,770,869.86","223,887,527.50","65,607,609.42","420,140,698.13","46,566,780.84","146,866,612.50","341,836,622.62","456,238,020.41","19,361,196.04","75,066,031.60","86,607,156.30","86,202,958.46","69,321,060.45","73,070,831.31","130,321,285.93","170,482,484.28","5,974,861.19","37,249,414.44","110,212,960.39","216,930,093.22","95,624,804.47","250,115,758.47","355,690,244.25","680,123,973.44","250,937,914.43"
投资活动产生的现金流量净额,"8,320,223.35","-16,300,840.92","-51,275,285.20","-175,590,353.30","27,515,380.82","-15,243,836.45","-36,120,544.94","-389,787,024.46","-6,246,090.12","-57,966,361.99","145,920,769.91","109,232,969.03","-106,475,488.81","-164,422,496.17","-164,422,496.17","-174,726,880.22","-3,702,304.52","-608,051,772.52","-455,524,355.45","-96,119,410.02","-745,398,554.34","-79,860,258.72","-85,049,923.33","-81,862,817.99","-523,215,844.78"
购买商品、接受劳务支付的现金,"87,072,095.68","97,609,885.26","31,711,665.17","172,992,285.32","47,427,861.07","61,181,657.03","88,013,078.54","165,410,042.72","15,615,485.05","114,943,756.94","133,151,177.29","83,685,915.46","7,311,915.21","19,217,687.90","33,881,295.90","36,795,318.59","14,424,131.91","42,307,592.64","65,608,329.30","79,730,171.93","50,141,874.11","115,164,784.32","180,655,426.01","257,056,683.92","137,286,480.22"
吸收投资收到的现金,,,,,,,"379,004,400.00","379,004,400.00",,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"734,355,478.70","734,355,478.70","734,355,478.70",,,"17,500,000.00","17,500,000.00",
支付给职工以及为职工支付的现金,"14,611,921.44","15,208,825.58","9,049,558.89","21,811,741.09","5,635,604.64","11,138,008.97","16,347,745.21","22,727,087.48","7,913,355.25","12,298,057.70","17,423,390.00","24,128,256.92","4,843,107.41","10,074,690.61","10,102,748.68","20,261,241.70","5,484,888.31","10,749,804.54","15,124,817.44","23,181,646.87","8,666,156.29","28,518,474.11","48,534,777.85","72,604,420.87","25,614,705.83"
取得借款收到的现金,,,,,"5,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","20,000,000.00","107,000,000.00","297,000,000.00","297,000,000.00",,"5,000,000.00","5,000,000.00","50,000,000.00",,,,,"50,000,000.00","50,000,000.00","100,000,000.00","100,000,000.00",
支付的各项税费,"28,728,220.62","27,477,384.74","8,795,789.13","31,850,395.59","10,570,084.48","20,419,244.92","27,819,642.49","34,198,242.40","10,304,285.04","31,191,355.40","40,971,660.47","50,991,998.26","8,611,901.14","20,394,506.07","20,394,506.07","53,097,843.25","12,604,993.60","33,949,715.39","44,535,749.03","58,032,220.44","2,459,587.40","14,254,272.80","30,696,083.19","38,935,795.50","19,598,834.87"
