科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"73,985,702.44","107,235,706.54","101,357,183.32","92,535,076.84","69,695,739.92","98,401,886.97","66,137,729.14","65,186,389.03","175,169,638.66","143,038,145.21","151,024,196.80","190,794,694.36"
短期借款,,,,,,,,,,,,"74,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,,,"400,000.00","212,449.68","300,000.00",,,"340,000.00",,,"211,807,871.78"
应付票据,"10,359,289.85","11,843,883.83","26,092,046.70","16,451,860.92","20,744,001.08","24,208,104.45","26,713,014.88","31,915,103.71","31,638,844.86","48,949,992.48","43,679,253.53","242,519,376.89"
应收账款,"46,717,579.29","52,952,125.36","78,806,788.93","81,951,518.32","100,893,483.33","101,272,995.27","99,207,258.83","107,437,970.94","122,628,836.77","127,115,711.69","106,564,405.84","192,344,540.51"
应付账款,"43,862,658.53","49,956,475.39","47,431,194.53","54,735,424.82","59,248,265.22","75,895,076.20","86,924,326.71","92,027,274.96","101,521,737.90","128,087,806.58","109,437,181.29","242,732,196.40"
预付款项,"2,087,422.56","3,240,868.16","5,850,290.27","9,059,704.15","9,101,728.94","10,166,277.79","4,528,590.51","2,626,003.24","4,050,308.92","3,380,237.61","6,069,270.67","8,700,631.77"
预收款项,"49,425.03","46,679.54","78,228.66","30,001.83","6,827.21","74,626.51","26,412.03","29,289.16","69,511.61","103,216.31","126,842.68","154,247.35"
其他应收款,"4,021,735.01","1,095,049.98","964,088.10","1,104,725.87","477,326.52","663,958.72","700,999.29","822,185.32","998,210.96","869,857.53","1,249,016.69","8,580,016.88"
应付职工薪酬,"2,681,119.34","3,684,106.02","4,642,707.57","3,748,336.23","3,883,046.59","3,861,335.58","4,574,756.17","4,390,169.06","4,268,005.84","4,497,943.21","5,683,925.16","11,668,660.83"
应收关联公司款,,,,,,,,,,,,
应交税费,"3,734,003.05","3,310,358.32","4,339,892.51","3,740,065.77","2,747,672.53","8,390,373.29","2,971,805.49","2,745,591.56","4,056,785.02","2,981,779.24","922,805.23","6,194,523.11"
应收利息,,,,,,,,,,,,
应付利息,,,,,,,,,,,,"106,540.57"
应收股利,,,,,,,,,,,,
