科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,315,485,902.18","1,652,524,593.70","718,563,034.65","1,131,061,935.58","1,695,426,850.22","502,959,285.82","1,203,921,868.15","1,979,129,855.78","2,918,720,343.05","808,744,020.63","1,877,373,408.29","3,007,959,954.34","4,798,798,090.41","1,384,663,264.26","2,677,263,183.88","4,195,051,696.66","6,325,725,715.27","1,596,113,460.53","2,890,935,710.25","4,392,844,151.18","8,075,051,541.67","1,464,043,199.44","3,688,357,987.82","9,246,071,624.62","1,711,562,964.94","3,315,623,891.83","5,005,653,732.33","12,139,976,629.35","2,610,437,760.99","4,843,766,092.99","7,614,776,448.38","11,291,634,930.64","2,919,464,659.25","8,543,349,642.47","11,640,494,646.71","19,414,957,765.20","3,244,351,752.90","7,379,232,394.38"
二、营业利润,"180,694,100.92","169,429,059.55","96,177,387.49","143,871,224.84","210,602,134.91","41,220,332.38","119,054,407.33","146,468,889.63","197,556,464.38","41,114,135.53","117,190,098.44","161,979,561.96","241,512,945.78","62,984,361.60","144,918,249.30","187,646,423.82","277,751,074.42","-102,629,867.78","-220,838,367.74","-301,283,851.09","307,506,801.14","-133,119,043.20","-1,451,658.91","289,007,061.28","-40,831,682.42","-268,676,576.60","-388,208,227.03","626,361,077.11","22,531,721.66","-101,037,850.27","-192,529,504.27","58,122,079.60","-265,261,523.70","52,097,062.15","57,110,793.52","426,361,050.21","34,991,491.32","48,273,682.30"
减:营业成本,"1,071,612,534.61","1,348,862,296.08","561,186,162.80","894,542,354.96","1,348,442,315.92","424,310,229.90","1,000,475,328.04","1,689,796,204.00","2,547,668,798.07","704,860,408.52","1,607,167,663.40","2,597,783,226.74","4,135,855,914.42","1,151,593,064.25","2,194,092,428.46","3,466,142,632.21","5,084,944,434.43","1,442,215,708.33","2,526,152,949.49","3,817,292,062.54","6,470,394,793.91","1,257,966,406.80","2,997,563,665.40","7,124,061,360.10","1,360,149,897.76","2,721,154,704.75","4,091,232,059.08","9,378,401,023.22","2,102,094,737.75","3,926,278,333.61","6,311,019,005.43","9,082,168,830.75","2,577,809,151.28","7,250,029,514.43","9,861,864,890.01","16,130,067,895.02","2,756,271,174.22","6,037,025,849.96"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,149,961.63","5,183,328.48","1,841,222.10","2,439,833.07","4,235,686.39","919,327.58","2,234,270.20","2,817,079.21","4,400,711.48","1,229,259.34","3,450,278.09","5,105,776.54","9,096,160.47","1,069,282.83","3,301,986.36","5,274,330.00","24,672,591.41","3,986,237.84","5,630,857.70","7,930,318.68","48,426,541.20","11,177,518.75","14,114,755.00","43,941,800.47","3,089,372.94","9,262,575.59","13,406,237.04","62,851,567.40","6,432,758.48","1,703,354.10","9,829,793.02","56,498,351.67","12,967,851.18","30,089,354.74","40,749,565.45","66,669,202.98","9,819,542.83","23,888,273.42"
营业外收入,"1,323,466.90","3,482,895.46","2,297,681.06","3,698,400.44","5,958,995.80","8,883,169.51","9,605,645.45","9,894,006.05","30,507,145.61","5,043,913.17","24,277,695.06","24,222,238.06","30,311,408.77","3,370,218.62","10,722,342.91","27,033,283.13","115,966,015.79","16,745,143.61","10,044,923.67","20,776,086.47","39,273,173.58","4,623,936.81","18,357,172.48","92,921,044.53","4,276,578.33","12,286,509.48","24,186,493.44","38,854,941.69","27,457,578.03","37,897,950.64","69,082,552.37","80,379,906.07","7,317,812.06","4,897,023.17","16,551,684.64","9,434,687.94","3,090,277.54","17,860,903.30"
销售费用,"25,352,148.24","40,812,650.27","28,530,736.23","43,017,904.79","62,077,973.87","19,246,610.63","40,950,120.24","62,867,514.99","86,973,308.13","22,335,953.20","47,450,691.54","77,095,324.62","137,404,565.45","53,329,087.58","112,877,413.38","177,728,236.47","246,676,910.75","66,077,056.81","127,082,962.44","188,196,688.31","286,731,165.56","57,227,124.99","139,413,957.43","337,680,704.66","114,212,286.11","186,343,608.66","264,390,860.50","334,159,974.45","127,738,344.34","232,354,052.35","326,211,916.24","491,477,025.23","131,265,897.00","271,162,536.58","397,042,666.84","515,216,465.69","100,900,997.58","269,138,580.93"
减:营业外支出,"3,406,177.55","3,323,444.40","1,534,698.29","2,225,558.33","3,161,927.96","1,005,433.23","2,401,157.87","4,275,828.00","5,966,164.22","2,919,871.83","4,984,239.04","6,645,962.85","9,611,666.73","1,447,072.59","3,339,083.28","5,920,967.98","11,508,959.02","1,181,837.07","9,045,561.62","11,029,651.56","21,485,452.27","2,413,041.21","9,801,776.76","17,311,742.21","1,479,376.28","4,175,523.73","7,326,051.96","12,377,470.60","1,196,591.61","8,361,567.20","14,723,153.06","25,318,615.57","2,185,449.84","4,630,467.35","9,315,911.06","30,654,691.83","1,589,759.05","6,415,549.42"
管理费用,"26,875,584.55","39,829,121.00","19,745,595.52","32,470,320.20","51,847,341.85","24,036,348.07","53,318,203.73","89,890,301.69","88,344,887.63","38,320,324.51","88,611,763.77","127,859,862.23","192,620,374.48","71,455,088.34","134,350,248.61","208,783,650.79","298,077,002.07","85,361,112.44","187,775,938.92","302,920,126.16","432,576,659.41","153,233,739.99","248,305,891.14","624,097,239.44","161,953,741.90","322,991,154.82","510,391,005.28","801,042,213.30","215,406,603.52","414,416,521.68","619,951,664.46","989,098,543.66","235,268,409.01","509,927,615.57","728,800,023.00","1,038,443,509.73","190,062,876.07","481,274,975.26"
其中:非流动资产处置净损失,"3,676.70","205,484.57",,,,,,"243,289.83","421,926.69","157,056.15","157,056.15",,"164,738.48",,,,"366,355.34",,,,"3,490,404.62",,"982,303.50","1,732,679.94",,"373,376.04","529,121.90","1,002,984.88","271,302.57","86,561.20",,"348,211.77","227,591.46","353,441.64","825,802.58",,,
