科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"876,041,448.45","1,262,201,913.52","1,367,272,691.66","726,910,431.90","1,333,857,614.89","342,538,851.44","712,471,621.86","1,056,064,747.00","1,376,366,150.00","346,000,944.12","714,766,573.65","1,056,736,108.44","1,345,086,440.77","346,444,994.64","662,426,139.88","1,041,072,404.71","1,275,419,863.73","353,848,872.14","723,990,640.72","1,053,975,907.22","1,374,764,469.92","407,013,831.68"
二、营业利润,"80,561,303.68","180,736,095.84","204,274,489.33","104,380,446.71","183,283,211.21","36,033,900.06","91,257,737.79","108,963,918.25","116,185,112.69","20,178,370.30","59,380,676.24","77,825,652.78","72,204,146.45","21,983,025.56","41,699,619.09","47,486,031.25","44,527,176.49","27,518,040.53","61,113,617.18","72,093,804.50","59,698,199.29","38,256,380.00"
减:营业成本,"603,721,490.30","834,713,686.17","887,337,613.20","466,792,163.65","852,593,426.05","220,515,282.60","454,791,683.27","705,015,560.00","918,393,357.27","243,647,588.01","489,420,927.51","750,206,931.61","938,838,781.57","241,852,528.34","448,096,398.24","744,093,571.93","906,006,133.98","229,601,633.58","480,033,006.84","695,065,544.61","930,921,550.92","263,339,329.85"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,136,938.99","8,172,556.33","7,372,028.91","5,913,772.02","9,716,334.24","2,599,003.73","5,050,814.15","7,957,645.92","9,871,230.89","2,954,752.48","4,728,199.04","4,804,442.04","9,534,338.79","3,232,281.62","4,475,263.41","6,920,580.45","24,328,744.23","9,857,817.02","18,987,024.55","28,257,397.35","35,303,692.50","8,192,218.11"
营业外收入,"20,085,546.66","7,867,800.21","7,737,377.12","4,907,627.35","10,106,270.49","925,546.46","2,152,314.70","4,908,180.55","9,421,807.10","1,674,100.49","3,677,655.20","9,224,882.47","14,984,073.10","2,898,436.65","5,534,736.93","7,625,938.01","12,909,605.63","3,542,955.55","471,326.03","496,340.07","232,451.48",
销售费用,"33,499,319.61","44,701,806.73","51,398,534.26","26,108,093.15","50,933,235.77","15,877,120.41","32,441,881.61","48,916,866.47","61,811,088.76","13,004,609.24","24,714,896.96","38,023,583.72","51,587,826.72","11,051,499.94","25,273,691.90","35,117,326.33","45,474,520.61","12,287,452.29","23,781,817.91","34,811,068.06","48,891,441.34","12,102,239.75"
减:营业外支出,"489,310.88","293,570.77","576,470.56",,"550,000.00",,"200,000.00","200,000.00","421,227.88",,"719,680.71","806,902.71","1,333,253.11","20,000.00","170,000.00","529,786.08","723,286.08",,"20,000.00","21,414.91","494,758.33",724.56
管理费用,"89,289,587.08","104,258,463.06","116,244,956.91","60,303,358.13","119,007,347.47","37,377,688.17","69,181,193.16","95,062,894.65","140,328,124.82","43,742,760.46","83,589,779.07","117,259,329.89","161,926,469.84","44,646,260.09","86,981,514.01","128,811,001.54","154,729,400.66","45,499,121.57","83,901,330.91","142,498,022.54","180,779,675.23","48,283,928.03"
其中:非流动资产处置净损失,"206,310.88","30,943.30","11,470.56",,,,,,"321,227.88",,,"719,680.71","739,531.11",,,"109,786.08","109,786.08",,,,,
