科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,769,735,891.87","3,315,476,814.58","3,276,843,484.24","939,426,352.02","1,611,091,987.02","2,882,112,702.54","4,037,697,927.09","808,788,160.15","1,707,006,762.82","3,306,991,087.27","4,483,081,290.73","895,417,875.71","2,326,000,749.03","3,389,199,017.31","4,337,122,249.00","1,481,277,171.56","3,222,243,838.09","5,536,415,423.99","8,315,152,780.14","1,390,090,044.85","3,594,044,150.10","5,562,450,147.75","8,274,689,514.76","720,698,807.77","2,125,537,716.24","5,372,374,486.90","10,239,416,933.80","1,140,698,081.21","5,531,879,832.48","8,912,706,561.49","13,664,121,209.77","2,010,478,680.26","5,697,592,160.26","9,736,243,222.84"
取得子公司及其他营业单位支付的现金净额,"58,868,573.85",,,,,"46,760,916.86","53,163,864.49",,,,,"-35,137,759.01","-6,337,759.01","-6,381,981.52",,,,,,,,,,,,,,,,,,,,
收到的税费返还,"22,450,770.28","37,341,028.06","24,051,628.23","2,895,749.79","12,153,493.14","12,153,493.14","22,484,041.42",,"6,734,166.39","13,533,218.25","6,109,261.00","1,833,102.93","1,864,827.65","3,898,453.93","15,232,634.23","9,252,005.56","9,252,005.56","16,482,764.33","9,778,136.85","33,000.00","1,564,246.67","5,058,745.38","21,407,167.33","12,137.56","12,137.56","2,837,464.14","6,906,615.42","3,179,394.39",,,"10,185,613.76",,"3,201,629.75","3,201,629.75"
支付其他与投资活动有关的现金,"65,297,287.40","12,500,121.01","33,011,629.81","13,214,877.93","2,623,047.93","134,026,528.48","20,132,170.70","86,787,173.61","967,508.56","2,011,464.96","79,800,000.00","13,604,589.49","20,500,000.00","20,500,000.00","17,406,341.86","15,842,003.26","2,355,917.92","14,333,813.02","75,842,873.34","12,842,344.21","432,712.45","5,727,093.89","99,289,489.32","2,423,003.70","800,351.77","842,959.77","51,596,472.43","2,312,098.57","5,281,113.75","6,399,028.66","65,802,818.72","9,821,597.23","9,993,597.23","9,969,857.48"
收到其他与经营活动有关的现金,"19,683,827.83","37,915,415.84","38,000,780.11","4,040,649.35","8,764,111.98","15,745,974.27","30,468,295.82","2,527,803.43","20,819,577.76","28,739,762.16","86,251,205.58","7,075,791.04","13,790,956.93","21,086,434.46","356,558,622.30","1,393,790.61","38,797,808.64","29,421,364.33","48,231,171.55","24,811,274.75","46,505,102.34","52,749,723.19","72,932,825.83","6,421,745.93","25,033,184.00","38,221,350.26","101,339,864.95","10,342,585.47","29,832,817.74","54,081,270.41","113,418,316.42","7,397,172.37","14,693,848.34","21,559,705.58"
投资活动现金流出小计,"752,495,249.86","825,896,318.78","675,290,357.07","175,669,299.35","475,390,728.09","898,892,026.19","1,110,044,251.12","383,829,087.93","776,081,600.59","1,215,638,453.93","1,690,606,889.23","375,495,194.80","421,219,499.25","491,414,439.03","549,617,584.26","115,289,813.96","52,351,256.26","128,546,161.16","685,395,405.31","193,791,385.34","49,910,112.17","103,925,980.40","542,916,961.99","6,278,104.87","57,810,885.03","72,905,592.81","160,256,566.08","20,221,364.01","441,480,884.52","446,665,040.11","375,633,808.97","78,347,471.90","162,187,822.16","311,632,317.29"
经营活动现金流入小计,"2,811,870,489.98","3,390,733,258.48","3,338,895,892.58","946,362,751.16","1,632,009,592.14","2,910,012,169.95","4,090,650,264.33","811,315,963.58","1,734,560,506.97","3,349,264,067.68","4,575,441,757.31","904,326,769.68","2,341,656,533.61","3,414,183,905.70","4,708,913,505.53","1,491,922,967.73","3,270,293,652.29","5,582,319,552.65","8,373,162,088.54","1,414,934,319.60","3,642,113,499.11","5,620,258,616.32","8,369,029,507.92","727,132,691.26","2,150,583,037.80","5,413,433,301.30","10,347,663,414.17","1,154,220,061.07","5,561,712,650.22","8,966,787,831.90","13,787,725,139.95","2,017,875,852.63","5,715,487,638.35","9,761,004,558.17"
投资活动产生的现金流量净额,"-211,480,378.59","-674,178,913.32","-669,761,467.62","-175,090,416.52","-472,005,607.09","-887,106,905.19","-1,092,276,799.30","-376,448,223.73","-768,680,752.23","-1,181,775,096.49","-1,675,446,074.60","-372,559,194.80","-417,240,055.85","-443,513,687.80","-344,309,105.50","-117,486,215.10","-45,668,373.74","-97,525,611.38","-661,913,281.93","-197,536,088.53","-49,196,356.91","-92,855,811.72","82,097,253.48","-540,401.27","202,800,023.53","187,745,776.81","108,807,766.46","518,663,295.28","115,446,773.80","903,403,841.51","1,047,582,421.44","-55,138,404.55","660,792,769.03","648,695,080.46"
购买商品、接受劳务支付的现金,"1,802,038,733.46","2,721,848,844.94","2,629,510,716.54","758,084,677.86","1,314,264,190.36","2,446,939,835.06","3,282,545,844.93","588,614,901.25","1,310,495,725.01","2,760,057,713.91","3,698,262,587.02","695,977,013.79","1,971,182,767.09","2,887,012,165.62","3,532,054,731.54","1,269,492,690.23","2,780,845,703.67","4,927,285,198.39","7,128,455,889.91","1,067,857,258.49","3,248,029,663.48","5,093,677,072.40","7,593,648,550.08","540,270,214.30","1,770,594,196.59","4,876,974,625.27","9,671,008,278.94","994,985,007.73","5,193,979,723.11","8,398,384,149.61","12,608,796,046.82","1,759,198,279.02","5,247,187,928.55","9,026,620,955.81"
吸收投资收到的现金,"725,680,000.00","22,500,000.00","28,000,000.00",,"1,485,312,000.00","1,504,912,000.00","1,505,184,000.00",,,"19,600,000.00","19,600,000.00",,"96,000,000.00","96,000,000.00","96,000,000.00",,,,,,,,,,,,,,,"100,000,000.00",,,,
