科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"202,133,601.97","212,102,266.03","103,097,882.73","175,130,236.00","268,808,092.36","38,727,929.37","79,682,227.73","143,338,731.52","359,064,246.68","70,336,635.54","190,616,834.37","297,871,811.12","530,278,165.72","98,372,321.00","227,577,449.95","362,227,892.26","610,781,847.55","86,214,806.38","226,642,543.08","386,097,499.24","611,880,577.80","95,105,256.36","191,790,225.24","381,490,056.72","774,120,628.94","215,743,183.10","517,890,012.44","722,500,123.62","1,262,020,479.99","371,398,048.30","996,025,269.13","1,526,622,531.03","2,126,708,617.11","781,304,558.46","1,357,754,919.70","1,888,044,004.70","2,410,387,857.65","627,445,340.02","1,149,436,633.61","1,589,112,597.74","1,917,596,899.46","283,856,995.02"
二、营业利润,"58,151,686.06","48,135,442.20","13,614,533.62","23,414,375.33","54,225,813.99","758,031.46","3,431,105.57","8,871,539.78","30,356,918.28","-1,229,024.54","748,007.20","2,712,686.68","16,931,689.58","-4,105,054.69","-4,245,986.13","-950,666.85","13,934,641.99","-1,403,723.23","-3,651,354.15","-2,316,954.12","7,613,733.83","-60,850.12","-235,631.23","4,905,916.67","44,426,038.64","4,712,925.43","54,931,924.48","63,627,640.00","131,185,706.14","47,237,507.88","149,048,824.94","223,310,569.09","214,046,733.79","48,159,164.62","148,016,804.84","193,422,286.16","283,011,580.25","46,306,460.05","-211,146,134.47","-327,549,280.61","-2,504,885,286.24","-222,727,352.13"
减:营业成本,"107,198,392.44","116,212,612.36","63,243,150.21","106,190,486.82","159,946,030.90","25,942,244.52","50,823,467.38","94,675,219.18","262,620,582.98","60,025,069.97","156,502,434.01","239,732,298.95","420,353,502.64","79,002,591.01","178,322,977.50","274,315,477.16","455,391,857.57","63,397,433.75","170,766,442.40","293,075,430.24","459,233,708.09","69,973,072.03","143,405,616.73","284,206,128.68","571,259,094.85","141,748,145.73","335,034,805.06","459,675,487.18","821,868,806.98","186,738,179.32","564,964,426.22","859,843,012.08","1,254,365,496.74","557,228,551.45","844,848,486.45","1,036,554,015.49","1,401,069,432.54","276,450,745.83","542,620,833.50","732,768,587.75","988,299,909.24","184,529,583.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"304,384.13","329,181.21","120,851.14","256,434.95","374,218.14","23,392.16","65,875.15","117,852.01","1,864,900.42","87,782.94","254,312.15","551,594.77","1,600,943.54","374,229.28","974,961.90","1,427,013.30","4,131,933.76","191,885.95","430,180.42","792,315.07","3,955,263.48","101,689.88","354,984.96","2,011,964.70","8,955,775.94","6,686,879.74","16,996,412.71","23,924,149.49","37,422,518.72","11,936,538.65","24,217,787.72","32,923,077.07","47,364,581.81","12,950,837.81","21,734,990.53","31,564,361.57","40,974,643.89","2,536,233.76","3,152,964.95","6,145,502.83","11,490,464.69","2,456,774.62"
营业外收入,"6,477,080.66","5,970,716.23","4,354,828.91","6,510,059.46","9,054,591.69","34,761.00","1,591,482.08","2,936,523.72","3,260,929.92","1,985,059.09","5,981,386.29","6,090,489.60","9,067,108.97","4,939,176.11","8,462,440.65","8,769,613.64","15,977,707.75","1,037,913.59","5,275,987.56","5,755,344.83","10,192,979.81","165,847.09","2,290,987.23","4,170,495.62","5,544,588.45","473,517.77","16,826,655.32","17,192,821.68","14,217,532.01","593,024.92","3,381,918.82","6,436,671.98","8,462,842.92","3,379,201.27","5,831,568.50","22,617,882.07","6,962,315.79","4,337,606.51","15,291,312.65","18,193,570.20","454,356,828.67","224,294.67"
销售费用,"15,216,710.36","15,736,750.26","9,674,983.97","15,997,368.17","20,430,989.69","3,814,395.57","10,035,650.09","15,334,779.56","24,755,175.47","6,085,905.74","17,185,147.15","29,285,995.69","45,530,631.66","10,802,210.74","24,836,205.05","40,542,801.79","63,362,800.64","9,745,613.42","27,392,266.93","38,902,903.80","60,307,837.16","8,930,826.22","21,084,128.52","39,458,666.15","74,044,797.91","26,994,459.64","57,062,875.05","84,909,043.11","146,189,620.30","34,780,357.20","72,328,583.33","103,665,194.83","150,787,380.14","25,930,589.51","103,431,703.81","170,977,988.08","232,525,402.60","122,818,145.68","257,532,535.60","379,023,776.40","488,013,258.87","36,419,080.71"
减:营业外支出,"168,141.64","22,215.78","75,105.32","90,140.78","90,140.78",200.00,"112,780.75","144,925.94","161,036.94",50.00,"32,608.69","32,608.70","72,199.05","23,220.00","126,220.11","174,779.57","1,165,089.36",200.03,"191,786.04","197,160.99","693,924.26",200.00,"68,335.35","74,354.00","206,869.07","59,584.04","405,965.42","684,560.37","1,361,234.66","69,547.27","399,559.23","597,924.75","2,299,673.86","8,892,032.21","8,979,493.41","9,445,914.98","11,009,922.55","124,237.13","2,667,299.56","4,196,021.36","197,901,060.08","18,996.53"
管理费用,"20,961,051.68","23,475,479.60","15,004,646.34","24,117,073.01","33,185,895.72","9,328,900.07","18,675,561.58","30,480,507.50","43,706,978.41","10,680,709.06","23,415,692.81","37,240,618.54","54,697,293.52","16,697,173.21","31,838,548.62","48,608,513.20","67,318,256.59","17,413,228.58","34,821,964.25","52,322,635.36","70,989,789.86","17,860,462.59","36,905,863.68","60,142,447.81","89,049,080.03","29,059,963.40","62,396,316.79","88,307,844.01","110,974,631.93","73,758,614.63","138,822,993.67","221,869,923.61","329,960,244.09","96,989,109.54","168,692,668.49","274,048,190.37","452,077,971.35","95,718,495.82","207,766,880.87","263,062,203.84","377,743,011.86","33,618,062.87"
其中:非流动资产处置净损失,,"1,998.50","75,105.32",,"75,105.32",,,,"72,102.00",,,"3,000.00","39,895.50",,"88,000.11","118,500.11","1,021,546.09",,,,"293,680.89",,"68,135.35","68,135.35","163,522.20","58,215.44","350,089.33","317,380.69","1,157,984.34","5,269.95","284,706.04","403,697.31","528,837.98","8,377,301.47","8,431,224.86","8,564,081.83",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
