科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"507,502,337.42","761,341,336.15","1,448,293,132.70","765,947,222.62","1,090,602,065.61","1,220,061,003.62","189,915,872.38","478,318,717.71","611,741,964.60","804,468,244.96","171,391,756.30","459,561,429.01","604,483,973.83","883,700,750.83","216,442,177.60","454,309,557.61","608,885,391.07","739,760,319.63","130,853,731.98","229,504,666.35","384,880,903.55","573,580,576.88","126,172,960.96","219,253,361.86","311,555,398.34","462,377,768.18","138,943,084.02","271,138,681.88","345,366,523.80","525,597,211.75","160,777,550.42","276,192,571.20"
二、营业利润,"197,867,931.46","320,273,490.25","668,787,666.42","348,696,224.81","484,575,375.83","490,210,710.87","86,856,410.89","230,915,932.36","275,537,928.84","325,637,399.57","77,378,593.56","200,958,237.35","261,005,934.83","362,128,990.97","97,851,832.08","204,651,634.08","266,961,921.52","298,135,507.52","44,639,472.07","70,462,341.46","116,356,231.16","163,179,650.16","30,357,706.35","56,076,277.96","75,034,542.38","109,504,943.88","40,212,371.32","68,998,686.13","88,458,926.36","149,581,559.59","44,046,064.70","94,211,230.57"
减:营业成本,"246,096,160.94","368,239,283.90","669,922,382.75","356,885,579.36","528,266,401.09","601,099,115.49","93,150,428.08","228,578,588.24","303,648,557.41","401,133,436.76","90,257,276.95","234,840,650.86","307,009,017.46","444,889,959.58","107,755,667.46","217,079,049.00","293,107,521.05","362,028,143.53","77,740,088.79","125,255,061.48","218,023,480.40","309,301,352.76","77,268,535.73","119,317,553.63","173,488,508.30","252,460,918.46","78,858,288.84","158,044,420.99","199,158,670.90","293,568,623.32","98,536,846.57","148,462,967.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,577,636.90","9,119,838.83","15,805,884.52","9,117,027.84","11,592,377.69","13,573,001.13","1,540,499.37","4,402,547.42","6,190,204.43","9,194,983.38","1,742,628.44","4,107,110.70","6,129,786.23","9,888,011.24","1,406,977.24","3,458,620.09","5,175,146.30","6,468,782.89","1,195,332.70","2,587,769.50","5,562,483.15","6,940,543.79","1,280,270.95","1,886,263.46","2,252,363.29","8,704,986.95","1,657,603.22","3,861,778.73","4,086,356.43","7,088,887.37","1,789,346.06","4,299,718.66"
营业外收入,"2,476,171.08","6,704,615.71","7,410,119.09","837,699.98","1,170,499.98","9,910,296.74","4,850,408.09","6,816,239.69","15,250,569.89","19,277,849.89","1,130,865.79","1,342,165.79","1,868,845.80","5,104,540.92","921,000.00","1,132,000.00","1,939,000.00","6,850,432.34","1,582,946.19","3,022,946.42","5,443,190.01","5,986,435.88","578,612.80","2,120,379.20","3,243,014.36","4,599,120.95","588,806.50","436,933.45","558,761.98","1,769,138.00",,"168,253.21"
销售费用,"23,433,713.77","31,384,156.91","48,739,080.74","24,264,517.18","28,172,417.70","50,475,039.45","5,672,580.97","10,434,736.59","17,424,718.07","37,541,892.71","5,784,065.05","17,811,862.56","25,027,979.40","40,906,931.40","4,634,722.68","16,369,740.99","25,642,533.86","39,221,117.32","3,490,596.38","10,755,921.26","19,383,663.60","26,589,181.15","5,029,444.51","10,479,896.62","18,512,951.99","30,435,960.19","6,489,799.54","15,232,082.42","22,027,851.46","35,410,419.31","7,998,026.29","15,483,194.32"
减:营业外支出,"845,460.16","1,545,900.04","225,984.55","92,553.37","800,179.71","806,198.18","70,141.46","119,808.96","120,571.36","190,235.09",,"1,209,392.00","1,210,038.00","1,217,597.91","26,000.00","58,986.73","61,447.95","70,799.24","26,571.78","57,307.78","67,307.78","576,816.15","3,065.17","694,614.76","1,491,038.27","1,788,938.27","440,382.19","549,455.50","396,766.94","571,181.01","34,290.59","412,013.27"
管理费用,"37,730,575.16","47,945,720.48","54,200,362.71","28,391,212.70","41,349,682.67","75,401,552.66","14,140,516.60","33,217,864.41","49,948,408.96","72,956,008.48","9,866,239.11","24,591,677.35","37,635,766.33","63,745,751.72","12,760,756.97","27,084,232.45","42,678,253.30","64,587,400.85","13,039,223.31","31,578,033.34","44,607,449.58","72,263,007.64","16,836,506.03","34,569,146.17","49,990,084.96","70,433,977.00","12,279,664.11","26,356,922.48","39,921,281.12","61,454,343.45","13,602,386.78","29,357,765.81"
其中:非流动资产处置净损失,"162,330.16","1,543,494.88","24,107.55","59,273.37",,,,"74,808.96","75,571.36","145,235.09",,184.00,830.00,"8,389.91",,"28,400.73","30,861.95","40,213.24","26,371.78","26,371.78","26,371.78","533,480.15","3,065.17","663,879.76","1,432,503.27","1,727,759.73","403,983.00","485,179.58","328,091.02",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
