科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"196,694,748.21","186,450,395.45","168,865,490.47","78,071,551.62","107,490,544.98","194,404,831.69","27,995,837.74","83,431,292.93","136,188,223.49","226,913,834.67","26,012,766.47","115,200,635.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"18,353,956.12","18,353,956.12","5,051,573.20","5,051,573.20"
收到的税费返还,"17,188,456.71","10,768,476.74","17,461,557.22","3,947,365.50","9,621,780.67","10,880,311.60",,"3,744,224.65","7,733,293.88","11,018,709.55","4,356,482.69","8,101,961.45"
支付其他与投资活动有关的现金,,,,,,"300,035,000.00","320,419,625.00","616,220,908.33","1,047,310,000.00","1,258,510,000.00","626,129,000.00","1,292,977,000.00"
收到其他与经营活动有关的现金,"4,008,717.77","15,684,473.26","7,225,519.87","3,038,978.62","3,565,981.16","8,801,900.73","1,188,016.74","3,653,766.63","10,046,777.05","16,820,583.26","2,464,979.53","5,287,161.41"
投资活动现金流出小计,"16,717,932.84","5,066,151.11","46,789,680.54","14,030,726.73","17,908,864.46","333,363,010.07","324,013,945.99","624,624,976.42","1,075,704,152.32","1,299,591,835.33","642,892,174.56","1,333,637,904.46"
经营活动现金流入小计,"217,891,922.69","212,903,345.45","193,552,567.56","85,057,895.74","120,678,306.81","214,087,044.02","29,183,854.48","90,829,284.21","153,968,294.42","254,753,127.48","32,834,228.69","128,589,758.08"
投资活动产生的现金流量净额,"-16,717,932.84","-5,066,151.11","-46,721,188.22","-14,030,726.73","-17,908,864.46","-333,363,010.07","-21,782,106.37","-59,619,926.69","-39,489,981.94","271,169,376.47","-432,667,443.29","-412,233,316.67"
购买商品、接受劳务支付的现金,"94,579,275.39","83,250,053.53","74,771,909.35","50,576,420.98","61,492,974.01","79,007,579.33","13,606,254.75","26,988,415.82","49,649,763.09","77,444,748.33","22,628,533.12","69,012,442.15"
吸收投资收到的现金,,,,,,"290,080,000.00",,,,,"33,235,560.00","33,235,560.00"
支付给职工以及为职工支付的现金,"21,042,842.45","21,939,836.18","25,669,486.04","15,311,871.24","20,426,429.85","26,631,190.93","10,644,466.32","16,639,117.60","24,514,587.45","34,662,885.56","16,697,959.79","30,632,949.53"
取得借款收到的现金,,,,,,,,,,,,
