科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"504,045,103.23","515,639,015.75","731,331,614.11","317,154,127.96",,"810,613,146.86","177,956,081.17","497,408,585.46","738,918,707.70","1,032,897,155.84","265,765,474.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"595,506.41","1,002,880.52","569,613.25","767,057.28",,"767,057.28","888,294.07","888,294.07","1,632,093.55","1,632,093.55","628,482.14"
支付其他与投资活动有关的现金,,,,,,,"400,000,000.00","974,000,000.00","1,159,000,000.00","1,839,000,000.00","600,000,000.00"
收到其他与经营活动有关的现金,"19,913,116.04","21,101,252.54","35,347,505.55","20,107,695.00",,"40,100,697.73","27,409,220.02","40,384,598.75","53,548,370.44","84,365,334.57","15,323,384.43"
投资活动现金流出小计,"17,293,887.96","22,237,013.11","29,111,883.07","12,687,388.16",,"78,736,671.59","417,460,395.83","1,024,401,239.99","1,364,201,999.52","2,087,521,240.25","660,317,882.71"
经营活动现金流入小计,"524,553,725.68","537,743,148.81","767,248,732.91","338,028,880.24",,"851,480,901.87","206,253,595.26","538,681,478.28","794,099,171.69","1,118,894,583.96","281,717,341.17"
投资活动产生的现金流量净额,"-16,689,448.39","-21,937,035.96","-28,127,978.21","-12,663,367.78","-61,167,452.52","-35,159,688.58","-307,013,658.13","-526,785,652.36","-493,108,066.65","-140,526,610.68","-456,526,449.75"
购买商品、接受劳务支付的现金,"290,300,799.47","308,124,010.42","424,005,786.58","176,082,137.15",,"407,641,329.41","160,970,464.98","324,403,101.40","511,578,910.33","678,546,153.16","209,627,382.90"
吸收投资收到的现金,,,,,,,"501,719,300.00","486,524,515.63","486,524,515.63","518,524,515.63",
支付给职工以及为职工支付的现金,"76,611,048.98","80,814,849.46","103,307,522.83","53,640,444.40",,"119,194,688.91","50,160,480.84","87,355,478.62","126,507,605.80","169,426,237.41","59,077,843.58"
取得借款收到的现金,"45,000,000.00","11,000,000.00",,,,,,,,,
支付的各项税费,"38,424,177.07","48,608,655.08","66,618,128.40","22,147,590.52",,"72,304,020.71","14,952,654.74","39,159,785.14","67,625,915.92","85,705,142.68","38,600,496.12"
收到其他与筹资活动有关的现金,,,,,,,,,,"8,632,242.57",
支付其他与经营活动有关的现金,"34,310,095.05","49,229,706.62","66,588,205.33","30,292,247.56",,"82,064,648.86","38,260,096.22","85,508,291.22","115,270,071.91","151,973,190.07","34,069,257.27"
筹资活动现金流入小计,"45,000,000.00","11,000,000.00",,,,,"501,719,300.00","486,524,515.63","486,524,515.63","527,156,758.20",
经营活动现金流出小计,"439,646,120.57","486,777,221.58","660,519,643.14","282,162,419.63",,"681,204,687.89","264,343,696.78","536,426,656.38","820,982,503.96","1,085,650,723.32","341,374,979.87"
偿还债务支付的现金,"55,000,000.00","11,000,000.00","5,000,000.00",,,,,,,,
经营活动产生的现金流量净额,"84,907,605.11","50,965,927.23","106,729,089.77","55,866,460.61","92,099,384.78","170,276,213.98","-58,090,101.52","2,254,821.90","-26,883,332.27","33,243,860.64","-59,657,638.70"
分配股利、利润或偿还利息支付的现金,"21,391,252.46","20,238,536.11","20,178,333.32","20,000,000.00",,"20,000,000.00",,"33,134,585.01","33,134,585.01","33,134,585.01",
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"14,430,369.05",,,"479,498.15",
取得投资收益收到的现金,,,,,,,"426,186.32",,,,
筹资活动现金流出小计,"76,391,252.46","31,238,536.11","25,178,333.32","20,000,000.00",,"20,000,000.00","14,430,369.05","33,134,585.01","33,134,585.01","33,614,083.16",
处置固定资产、无形资产和其他长期资产收回的现金净额,"604,439.57","299,977.15","983,904.86","24,020.38",,"179,583.01","20,551.38","20,551.38","20,551.38","67,000.45",634.00
筹资活动产生的现金流量净额,"-31,391,252.46","-20,238,536.11","-25,178,333.32","-20,000,000.00","-20,000,000.00","-20,000,000.00","487,288,930.95","453,389,930.62","453,389,930.62","493,542,675.04",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-535,533.05","-10,167.96","1,253,495.33","352,895.27","541,572.87","1,822,134.00","-33,023.16","-1,299,579.89","-1,852,858.25","-2,007,902.82","-396,718.41"
收到其他与投资活动有关的现金,,,,,,"43,397,400.00","110,000,000.00","497,595,036.25","871,073,381.49","1,946,927,629.12","203,790,798.96"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"604,439.57","299,977.15","983,904.86","24,020.38",,"43,576,983.01","110,446,737.70","497,615,587.63","871,093,932.87","1,946,994,629.57","203,791,432.96"
五、现金及现金等价物净增加额,"36,291,371.21","8,780,187.20","54,676,273.57","23,555,988.10","11,473,505.13","116,938,659.40","122,152,148.14","-72,440,479.73","-68,454,326.55","384,252,022.18","-516,580,806.86"
购建固定资产、无形资产和其他长期资产支付的现金,"17,293,887.96","22,237,013.11","29,111,883.07","12,687,388.16",,"78,736,671.59","17,460,395.83","50,401,239.99","205,201,999.52","248,521,240.25","60,317,882.71"
期初现金及现金等价物余额,"9,036,287.12","45,327,658.33","54,107,845.53","108,784,119.10",,"108,784,119.10","225,722,778.50","225,722,778.50","225,722,778.50","225,722,778.50","609,974,800.68"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"45,327,658.33","54,107,845.53","108,784,119.10","132,340,107.20",,"225,722,778.50","347,874,926.64","153,282,298.77","157,268,451.95","609,974,800.68","93,393,993.82"
