科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"12,115,770.01","12,588,829.96","30,955,020.25","53,653,821.64","643,358,901.93","574,325,847.50","539,114,553.45","494,742,294.06","510,828,790.56","501,645,645.39","464,181,196.72","434,105,650.08","420,689,808.55","312,887,638.04","284,252,098.44","228,574,027.08","199,868,932.78","239,270,094.35","129,878,074.83","836,093,439.61","441,160,181.12","711,766,145.96","335,156,917.66","434,767,026.97","294,242,944.87","436,569,591.80","347,639,469.69","186,304,698.55","292,767,224.65","492,610,686.69","303,360,623.60","443,432,786.41"
短期借款,"7,020,000.00","39,520,000.00","12,000,000.00","30,000,000.00","30,000,000.00",,,"20,000,000.00",,,,,,"18,094,426.54","61,000,000.00","84,979,828.20","125,423,035.30","245,443,207.10","294,443,207.10","359,000,000.00","15,000,000.00","229,000,000.00","239,000,000.00","149,000,000.00","90,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","15,000,000.00","24,000,000.00","34,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,603,224.40","24,877,138.79","26,591,118.16","53,671,287.87","35,326,166.10","46,808,019.62","34,552,309.70","43,182,915.00","57,705,041.51","72,460,603.71","29,267,712.64","31,593,049.00","34,022,635.00","65,356,055.02","42,299,928.91","43,116,653.85","65,533,616.41","115,370,847.29","76,596,027.45","76,748,216.99","51,193,400.30","103,943,221.78","39,712,696.20","59,356,896.36","30,226,024.00","41,102,274.87","39,012,788.00","57,929,865.70","75,641,635.29","76,150,653.77","34,774,766.50","46,015,596.09"
应付票据,"9,350,000.00","24,846,484.28","17,315,000.00","31,169,000.00","22,658,000.00","5,058,000.00","4,250,000.00","11,000,000.00","17,100,000.00","23,523,040.00","41,008,040.00","80,585,000.00","89,030,000.00","110,926,099.44","85,030,713.00","111,357,351.40","187,312,978.20","193,347,093.80","101,482,622.46","118,358,266.96","110,047,651.00","86,092,809.00","84,085,452.00","69,573,755.00","68,146,405.50","87,146,037.50","108,912,620.55","79,246,956.55","63,170,611.00","100,591,203.09","164,272,786.93","212,590,381.01"
应收账款,"62,357,981.81","81,281,359.83","92,867,858.91","121,728,688.41","152,515,550.60","170,732,867.83","184,217,642.02","220,090,325.54","243,405,555.67","234,558,847.37","238,169,450.85","317,137,212.28","367,834,761.05","637,271,088.42","675,717,936.72","746,363,216.02","800,972,735.57","768,277,579.24","770,695,170.50","864,958,994.34","902,265,233.58","830,856,826.78","853,587,944.91","839,349,013.19","862,764,764.43","751,493,583.47","709,844,647.76","754,271,621.12","794,432,728.73","722,707,483.41","700,350,116.95","831,419,913.69"
应付账款,"26,386,940.93","43,942,848.25","59,835,240.67","76,421,782.57","64,600,994.25","76,775,029.35","62,560,978.50","67,944,361.59","73,693,793.17","85,206,580.99","90,479,919.07","117,090,497.32","138,009,406.41","247,560,940.44","245,512,432.00","283,230,784.46","316,333,017.21","411,362,748.06","325,327,928.90","581,827,656.77","507,379,337.13","678,030,620.46","524,076,482.80","569,066,691.07","579,501,740.87","476,890,514.31","410,598,909.99","418,528,446.05","419,115,926.80","436,853,855.45","382,900,443.25","393,598,404.99"
预付款项,"4,409,806.68","3,793,921.03","2,968,320.27","6,807,462.99","6,393,616.80","3,944,094.66","12,342,536.08","15,399,023.99","10,330,842.86","12,385,053.68","13,106,551.34","14,725,588.05","17,859,561.02","46,403,772.05","54,519,789.64","98,350,936.54","70,917,014.24","68,899,713.94","102,151,855.89","66,536,133.26","84,498,440.26","23,196,337.13","33,157,812.15","39,239,512.52","77,737,553.10","52,980,803.46","79,120,806.24","83,047,854.73","108,617,897.14","61,934,593.63","74,724,956.66","90,268,675.45"
预收款项,"63,922,368.41","56,667,605.51","57,718,234.49","68,757,240.94","72,737,380.41","60,674,823.66","59,475,726.77","87,681,800.02","126,403,246.27","154,401,803.54","154,116,953.03","139,211,632.43","132,227,025.10","183,594,604.91","201,497,717.90","203,881,078.02","206,723,312.76","166,001,359.23","180,875,256.97","187,725,544.45","163,589,451.31","120,602,815.07","135,137,377.76","135,959,894.30","133,276,031.94","143,581,973.08","163,111,586.10","191,809,287.80","223,070,045.99","291,703,954.49","284,091,327.02","253,517,675.22"
