科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"84,250,192.38","112,018,552.24","167,225,612.07","86,058,214.04","155,926,585.99","235,820,738.65","44,990,209.50","104,978,527.93","182,927,506.60","291,451,342.82","48,881,587.66","122,070,183.23","218,451,764.98","327,547,072.77","57,069,027.74","130,432,845.81","240,240,222.87","380,325,961.95","55,982,878.93","140,185,598.21","268,265,590.64","380,486,279.73","84,263,313.24","195,928,829.78","316,179,677.42","505,945,860.78","101,941,116.31","234,614,724.34","468,086,258.92","744,891,093.73","127,062,896.53"
二、营业利润,"7,229,030.47","20,480,082.53","38,151,509.73","19,667,499.73","39,517,288.84","58,849,225.04","11,518,745.06","30,371,928.61","51,062,523.75","79,770,436.92","11,614,665.65","30,809,206.38","58,596,967.38","87,013,506.42","14,464,328.10","32,487,191.94","65,021,790.61","102,247,598.94","13,952,616.42","30,920,510.69","55,972,501.79","74,091,958.23","18,368,567.10","40,583,231.95","67,067,042.48","103,417,274.65","14,870,330.74","38,438,447.85","112,657,651.36","190,956,399.49","16,105,311.05"
减:营业成本,"63,451,678.14","75,962,006.78","101,252,177.32","49,973,082.57","89,682,443.61","133,261,542.62","25,705,644.14","58,481,450.51","101,246,324.82","157,642,004.14","26,101,175.01","66,023,280.78","118,247,817.83","178,410,921.25","30,478,657.10","68,933,888.73","129,039,371.25","208,894,002.58","30,417,913.30","77,549,835.30","159,632,652.16","223,814,623.83","46,476,002.28","110,222,307.08","177,279,421.71","284,905,135.61","56,735,517.96","125,330,246.03","238,613,673.68","377,707,675.41","61,936,678.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"314,375.29","770,735.88","903,158.26","502,559.97","969,440.91","1,892,568.20","489,169.23","1,139,894.97","2,140,553.80","3,532,373.51","307,254.60","820,854.78","1,642,291.95","2,873,562.70","771,371.80","1,662,837.25","3,050,310.83","4,948,647.70","886,033.79","1,698,818.23","3,017,666.33","3,757,195.18","1,062,406.97","2,098,062.12","2,880,623.75","7,491,579.24","1,782,218.18","3,947,170.75","6,844,061.85","11,242,064.84","1,844,978.09"
营业外收入,"253,198.52","350,000.00","7,038,100.05","2,486,442.16","4,335,053.58","6,836,553.58","10,427,000.52","10,428,371.12","13,174,265.71","14,005,219.89","14,489,942.60","17,923,162.63","19,859,604.02","32,709,799.36","89,867.76","1,648,851.51","14,627,421.74","19,901,345.99","1,097,644.02","6,203,072.63","10,096,668.83","16,505,395.73","579,666.97","3,974,893.58","12,371,904.13","22,914,986.36","5,323,603.55","4,136,723.02","4,747,684.74","8,059,712.96","3,398,261.25"
销售费用,"5,434,264.86","7,362,163.26","12,904,649.93","8,058,019.66","13,107,011.03","21,934,183.42","4,885,312.82","9,447,922.32","18,302,204.95","30,681,098.79","7,272,239.11","14,022,428.03","23,793,168.37","36,069,357.18","8,375,890.30","18,777,204.07","29,270,448.65","42,075,677.28","7,360,830.66","20,095,855.39","31,717,266.44","43,322,051.75","10,152,689.30","21,191,776.87","34,320,885.62","57,170,023.55","13,046,336.68","32,722,232.35","56,448,213.09","98,664,778.67","26,804,448.05"
减:营业外支出,"63,381.97","14,774.06","26,164.00","2,242.50","2,522.50","43,932.50","5,645.00","11,027.50","16,373.41","16,973.41","109,215.74","206,242.21","206,442.21","206,442.21",,"27,226.53","53,134.30","577,639.61",,"1,950.00","2,339.18","7,471.36",504.29,"25,955.03","75,186.83","80,446.71","188,603.28","224,860.07","378,584.90","234,196.03","52,725.00"
管理费用,"7,277,579.52","8,484,498.31","13,455,541.77","8,077,333.66","12,357,985.07","22,520,093.50","5,178,127.80","10,047,369.22","17,049,797.24","27,351,456.10","6,054,974.23","13,501,561.60","22,378,978.18","32,179,633.93","6,883,172.20","15,073,032.76","23,110,179.91","35,780,858.62","7,820,412.70","17,159,356.93","29,257,045.68","50,079,059.71","12,629,074.88","27,403,972.22","42,682,748.70","64,582,656.43","18,548,112.41","38,946,644.75","65,892,972.65","104,050,961.11","24,656,452.05"
其中:非流动资产处置净损失,"34,426.65","13,182.66","26,164.00","2,242.50","2,522.50","3,932.50","5,645.00","11,027.50","11,027.50","11,027.50","1,311.15","1,936.05","1,936.05","1,936.05",,,"12,179.49","18,111.54",,,389.18,"2,957.02",,,"48,331.80","53,572.75","174,997.00","192,986.23","218,374.87",,
