科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置固定资产、无形资产和其他长期资产收回的现金净额,,"118,000.00",,,,,,,,,"98,918.16",,,"359,174.76","501,815.53",,,
筹资活动产生的现金流量净额,"-28,560,996.95","-13,085,100.05","-11,988,100.00","-15,480,835.06","-13,451,500.00","306,775,113.90","307,121,730.90",,"75,284,037.36","112,992,622.01","343,417,717.75","50,832,116.52","12,564,163.33","46,423,929.84","49,486,454.53","-19,399,118.51","-44,256,172.73","-40,622,160.59"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,0.79,,,
收到其他与投资活动有关的现金,"21,908,770.56","10,747,322.00",,"2,903,133.36",,,,,,,"95,587,680.00","360,000.00","360,000.00","1,368,437.50","800,125.00","307,562.00","307,562.00","1,050,699.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"21,908,770.56","10,865,322.00",,"2,903,133.36",,,,,,,"95,686,598.16","360,000.00","360,000.00","1,727,612.26","1,301,940.53","307,562.00","307,562.00","1,050,699.50"
五、现金及现金等价物净增加额,"44,685,512.71","67,178,767.66","138,417,100.00","15,601,652.19","158,990,100.00","347,503,386.37","337,485,500.06","-20,770,842.37","-308,266,368.24","-315,951,084.28","-255,377,393.49","-114,926,371.35","-163,077,236.15","-84,158,780.18","-91,367,957.90","-10,098,741.29","-61,748,932.22","-41,877,758.02"
购建固定资产、无形资产和其他长期资产支付的现金,"7,721,514.03","32,201,071.85",,"46,050,234.59",,"15,787,350.53","26,984,527.62","22,205,622.64","45,859,635.25","70,601,429.20","101,240,615.71","124,856,686.87","144,723,683.21","158,393,364.10","170,852,165.87","3,253,899.48","10,026,857.30","20,518,695.45"
期初现金及现金等价物余额,"35,337,347.66","80,022,860.37",,"147,201,628.03",,"162,803,280.22","162,803,280.22","500,288,780.28","500,288,780.28","500,288,780.28","500,288,780.28","244,911,386.79","244,911,386.79","244,911,386.79","244,911,386.79","153,543,428.89","153,543,428.89","153,543,428.89"
投资支付的现金,,,,,,,,"20,000,000.00",,,,,,,"71,853,192.15",,,
期末现金及现金等价物余额,"80,022,860.37","147,201,628.03",,"162,803,280.22",,"510,306,666.59","500,288,780.28","479,517,937.91","192,022,412.04","184,337,696.00","244,911,386.79","129,985,015.44","81,834,150.64","160,752,606.61","153,543,428.89","143,444,687.60","91,794,496.67","111,665,670.87"
